Artist,Title,Album,Duration,Filename,BPM,RawBPM,ResolvedBPM,Tunebat BPM,BPMConfidence,BPMFamily,Key,KeyConfidence,KeyAmbiguous,KeyRunnerUp,Tunebat Key,KeyCorrectionReason,LUFS_I,PeakdBFS,DynamicRangeLU,LRA,Energy,Danceability,Acousticness,Instrumentalness,Liveness,CueIn_s,CueOut_s,IntroDuration_s,OutroDuration_s,TransitionDifficulty,BeatGridConfidence,SpectralCentroid_Hz,OnsetDensity,HFPercussiveScore,Duration_s,SampleRate_Hz,AnalysisValid,AnalysisError
Yosi Horikawa,Bubbles,Unknown,5:49,Yosi Horikawa - Bubbles.mp3,122.3,122.3,122.3,,0.7188,BASE,12A,0.7955,FALSE,A Minor,,,-30.6,0,13.2,13.2,64,92,66.2,0,29.5,0.1,343.36,16.5,17.133,18.1,0.8,2100,4.902,0.0088,349.633,48000,TRUE,
Vanny Vabiola,I Love You,Unknown,5:14,Vanny Vabiola - I Love You.mp3,87.9,175.8,87.9,,0.5386,HALF,2B,0.7768,FALSE,B Major,F# Major,,-27.4,0,3.4,3.4,70.3,79.2,25,22.8,18.9,0.18,310.86,0,7.833,51.5,0.8,3125,2.36,0.0501,314.833,48000,TRUE,
XXXTentacion,Numb,Unknown,3:06,XXXTentacion - Numb.mp3,80.4,80.4,80.4,160,0.538,BASE,10A,0.4114,TRUE,F# Major,B Mminor,,-30.1,0,12.2,12.2,65.4,68,66.7,12.9,37.4,0.05,180.94,0.5,11.337,65.4,0.8,1896,3.928,0.0267,186.337,48000,TRUE,
Tom MacDonald,No Lives Matter,No Lives Matter - Single,3:12,Tom MacDonald - No Lives Matter.mp3,129.4,64.7,129.4,,0.5938,DOUBLE,4A,0.9134,FALSE,Ab Major,C Major,,-23.7,0,10.5,10.5,74.1,95.8,40.9,0,37.9,0.08,185.25,9,9.096,15.8,0.8,3093,2.915,0.0464,192.096,48000,TRUE,
Rob Base & DJ EZ Rock,It Takes Two,Unknown,5:02,Rob Base & DJ EZ Rock - It Takes Two.mp3,148,74,148,110-112,0.625,DOUBLE,3A,0.8649,FALSE,F# Major,D Major or E minor,,-26,0,3.8,3.8,43.2,74.2,20.4,19.9,23.4,0.85,297.24,2,12.589,37.3,0.8,4893,3.88,0.0859,302.089,48000,TRUE,
SuperTramp,The Logical Song,The Very Best of Supertramp,4:07,SuperTramp - The Logical Song.mp3,119.7,119.7,119.7,,0.8413,BASE,5B,0.5826,FALSE,Ab Major,C minor,,-29.8,0,7,7,39.7,82.9,43,16.5,25.8,0.25,240.47,0,13.468,47.1,0.8,3121,2.508,0.0509,247.968,48000,TRUE,
Snoop Dogg,Gin And Juice,Unknown,4:24,Snoop Dogg - Gin And Juice.mp3,126.4,63.2,126.4,95,0.7188,DOUBLE,3B,0.2784,TRUE,Bb Minor,E Minor,"relative-major-resolver: ambiguous 3rds (M3=168.8776 m3=187.5575), defaulting to major",-34.8,-3.9,5.9,5.9,21.6,76.1,44.7,24.3,25.7,0.75,259.84,2.5,5.861,44.6,0.8,3208,3.242,0.0701,264.361,48000,TRUE,
Shaggy,Strength Of A Woman,Best of Shaggy: The Boombastic Collection,4:00,Shaggy - Strength Of A Woman.mp3,86.5,86.5,86.5,,0.6058,BASE,3A,0.469,TRUE,Bb Major,,"dj-reinterpret-rule2: window-majority Bb Minor (2/3 windows, score=0.7131)",-30.2,-4,4.5,4.5,27.4,61.4,26.9,0,28.8,1.08,235.17,1,10.268,66.9,0.8,4227,1.919,0.0755,240.768,48000,TRUE,
Sawyer Brown,This Thing Called Wantin' and Havin' It All,This Thing Called Wantin' and Havin' It All,3:33,Sawyer Brown - This Thing Called Wantin' and Havin' It All.mp3,112.5,112.5,112.5,,0.9562,BASE,12B,0.2506,TRUE,A Major,,"fifth-pair ambiguity, margin=0.0065",-31.1,0,2.6,2.6,33.5,80.6,40.4,12.8,51.9,0.05,213.98,3,0.484,39.6,0.8,2764,5.019,0.0803,213.984,48000,TRUE,
The Who,Magic Bus,Unknown,3:19,The Who - Magic Bus.mp3,93.8,187.5,93.8,,0.6859,HALF,4B,0.5463,FALSE,Ab Minor,Ab major,,-30.5,-4.7,8,8,18.7,67.2,37.8,23.9,29.7,0.7,195.82,11,6.297,48.8,0.8,4330,4.395,0.1189,199.297,48000,TRUE,
