file_path,file_size,extension,discovered_timestamp
C:\Users\suppo\Downloads\New Music\More Music\-Interlude-.mp3,1370082,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\10 Feet Down.mp3,7235795,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\19 You + Me.mp3,7414221,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\1x1x1.mp3,6890995,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\21st Century Machine - Catie Turner Original.mp3,5368913,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\2wei - Survivor.mp3,7419965,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\3 A.m..mp3,7117671,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\3 Doors Down - Here Without You.mp3,7390209,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\3 Doors Down - Kryptonite.mp3,7575924,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\3 Doors Down - When Im Gone.mp3,8276174,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\4 Non Blondes - Whats Up.mp3,10977976,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\5 Seconds Of Summer - Amnesia Lyrics.mp3,6715368,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\5 Seconds Of Summer - Amnesia.mp3,8916101,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\5 Seconds Of Summer - Youngblood.mp3,6798481,.mp3,2026-04-07 10:21:53
C:\Users\suppo\Downloads\New Music\More Music\5sos - She Looks So Perfect.mp3,6663930,.mp3,2026-04-07 10:21:53
