original_path,original_name,proposed_name,confidence,parse_method,collision_status,duplicate_risk,source,issue_type,guessed_artist,guessed_title,filter_result,block_reasons
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Keep Ya Head Up (from album： ＂Strictly 4 My N.I.G.G.A.Z...＂.mp3,2Pac - Keep Ya Head Up (from album： ＂Strictly 4 My N.I.G.G.A.Z...＂.mp3,2pac - Keep Ya Head up (From Album - Strictly 4 My N.i.g.g.a.z.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,2Pac,Keep Ya Head Up (from album：,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ The Darkest of Winters ⧸....mp3,A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ The Darkest of Winters ⧸....mp3,A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ the Darkest of Winters ⧸....mp3,1.0,standard,no_change,none,phase4_elevated,NO_CHANGE,A Change of Seasons,The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ The Darkest of Winters ⧸...,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Back In Black (Official 4K Video).mp3,AC⧸DC - Back In Black (Official 4K Video).mp3,AC-DC - Back in Black.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AC⧸DC,Back In Black,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Hells Bells (Official 4K Video).mp3,AC⧸DC - Hells Bells (Official 4K Video).mp3,AC-DC - Hells Bells.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AC⧸DC,Hells Bells,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Highway to Hell (Official Video).mp3,AC⧸DC - Highway to Hell (Official Video).mp3,AC-DC - Highway to Hell.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AC⧸DC,Highway to Hell,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Let There Be Rock (Official Video).mp3,AC⧸DC - Let There Be Rock (Official Video).mp3,AC-DC - Let There Be Rock.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AC⧸DC,Let There Be Rock,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,AC-DC - You Shook Me All Night Long.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AC⧸DC,You Shook Me All Night Long,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Animals (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Animals (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Animals Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AD INFINITUM,Animals ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Eternal Rains (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Eternal Rains (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Eternal Rains Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AD INFINITUM,Eternal Rains ｜ Napalm Records,approved,
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - From The Ashes (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - From The Ashes (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - From the Ashes Napalm Records.mp3,1.0,standard,illegal_chars,none,phase4_elevated,ILLEGAL_CHAR,AD INFINITUM,From The Ashes ｜ Napalm Records,approved,
