original_path,new_path,action_taken,result,reason,source_hash,dest_hash
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Keep Ya Head Up (from album： ＂Strictly 4 My N.I.G.G.A.Z...＂.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\2pac - Keep Ya Head up (From Album - Strictly 4 My N.i.g.g.a.z.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,2c22b4096e2230f6fc1137fc4dc6b59f43a964ad093125bf53e22199f73266a3,2c22b4096e2230f6fc1137fc4dc6b59f43a964ad093125bf53e22199f73266a3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ The Darkest of Winters ⧸....mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ the Darkest of Winters ⧸....mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,481fe30d5a199aeda50a2e2007fbc3a92b7beb000eed34c97fd56432d08b9c18,481fe30d5a199aeda50a2e2007fbc3a92b7beb000eed34c97fd56432d08b9c18
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Back In Black (Official 4K Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\AC-DC - Back in Black.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,9e3168719db475f74ffbe0e6c1d080eef6847873ef0291659c9b4bf8cb6c385c,9e3168719db475f74ffbe0e6c1d080eef6847873ef0291659c9b4bf8cb6c385c
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Hells Bells (Official 4K Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\AC-DC - Hells Bells.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,66c3791a208b1f520aa9983fd6152a75073cfe599cfc18a4a7ebca6dd56899d8,66c3791a208b1f520aa9983fd6152a75073cfe599cfc18a4a7ebca6dd56899d8
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Highway to Hell (Official Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\AC-DC - Highway to Hell.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,cdba987076b111b00c0fc32b2f124c78d29cdb10298abeece46e8909298cfa9d,cdba987076b111b00c0fc32b2f124c78d29cdb10298abeece46e8909298cfa9d
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Let There Be Rock (Official Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\AC-DC - Let There Be Rock.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,55f32ed18d0c1f9d9a1e21bb9026bdef8c738a53bbc9b5ae922bddd77791700a,55f32ed18d0c1f9d9a1e21bb9026bdef8c738a53bbc9b5ae922bddd77791700a
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\AC-DC - You Shook Me All Night Long.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,201abc84beab67bdd2b44a3f768be32bf985c9134bb2a9dcc39bc3038029a6a9,201abc84beab67bdd2b44a3f768be32bf985c9134bb2a9dcc39bc3038029a6a9
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Animals (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Animals Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,bfe305abd3083d7edae57d5699dca077a148d5c8139181cf35607fd04a3f576b,bfe305abd3083d7edae57d5699dca077a148d5c8139181cf35607fd04a3f576b
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Eternal Rains (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Eternal Rains Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,4e8fe55e8fcc19f3b6a8b0e4dde221d8fe4367c23114ae0edc9e857a76e686b6,4e8fe55e8fcc19f3b6a8b0e4dde221d8fe4367c23114ae0edc9e857a76e686b6
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - From The Ashes (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - From the Ashes Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,9bce559852af5db52cb2b14602f399433c5466228bfdd7f109ae2cb31545b544,9bce559852af5db52cb2b14602f399433c5466228bfdd7f109ae2cb31545b544
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Inferno (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Inferno Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,3a01612bec3aa49a2160d216ece87748a38ba7bb0720563707337b512cb593bd,3a01612bec3aa49a2160d216ece87748a38ba7bb0720563707337b512cb593bd
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Seth (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Seth Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,04cc5b37b72272eee4851fb6ec5ff436ebc946316a78997e68256a7dbfb1c825,04cc5b37b72272eee4851fb6ec5ff436ebc946316a78997e68256a7dbfb1c825
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Somewhere Better (Official Video) ｜ Napalm Records.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Somewhere Better Napalm Records.mp3,rename_and_move,applied,renamed and moved to READY_NORMALIZED,8963999b10865f5f44132638e98fca861065b87d8aacabb812352e4b66b81dba,8963999b10865f5f44132638e98fca861065b87d8aacabb812352e4b66b81dba
