file_path,bpm,bpm_confidence,key,key_confidence,duration,sample_rate,bitrate,analysis_status,error_reason
C:\Users\suppo\Downloads\New Music\More Music\-Interlude-.mp3,160.71,0.6882,A# major,0.7254,49.032,48000,156726,OK,
C:\Users\suppo\Downloads\New Music\More Music\10 Feet Down.mp3,95.34,1.0,F major,0.8134,217.152,48000,259103,OK,
C:\Users\suppo\Downloads\New Music\More Music\19 You + Me.mp3,152.03,1.0,F# major,0.9682,217.44,48000,253732,OK,
C:\Users\suppo\Downloads\New Music\More Music\1x1x1.mp3,90.73,1.0,G major,0.8809,190.728,48000,271234,OK,
C:\Users\suppo\Downloads\New Music\More Music\21st Century Machine - Catie Turner Original.mp3,127.84,1.0,C# major,0.8626,255.216,48000,151364,OK,
C:\Users\suppo\Downloads\New Music\More Music\2wei - Survivor.mp3,133.93,0.8563,G major,0.8163,195.336,48000,254968,OK,
C:\Users\suppo\Downloads\New Music\More Music\3 A.m..mp3,96.98,1.0,C major,0.8972,218.232,48000,253505,OK,
C:\Users\suppo\Downloads\New Music\More Music\3 Doors Down - Here Without You.mp3,144.23,1.0,C# major,0.8809,238.872,48000,246968,OK,
C:\Users\suppo\Downloads\New Music\More Music\3 Doors Down - Kryptonite.mp3,98.68,1.0,B minor,0.9088,234.936,48000,257500,OK,
C:\Users\suppo\Downloads\New Music\More Music\3 Doors Down - When Im Gone.mp3,148.03,1.0,A minor,0.877,251.16,48000,251880,OK,
C:\Users\suppo\Downloads\New Music\More Music\4 Non Blondes - Whats Up.mp3,133.93,1.0,A major,0.9328,292.632,48000,276706,OK,
C:\Users\suppo\Downloads\New Music\More Music\5 Seconds Of Summer - Amnesia Lyrics.mp3,102.27,0.9972,D major,0.8753,235.8,48000,226425,OK,
C:\Users\suppo\Downloads\New Music\More Music\5 Seconds Of Summer - Amnesia.mp3,102.27,1.0,D major,0.8781,252.624,48000,263229,OK,
C:\Users\suppo\Downloads\New Music\More Music\5 Seconds Of Summer - Youngblood.mp3,119.68,1.0,G minor,0.8726,205.392,48000,247336,OK,
C:\Users\suppo\Downloads\New Music\More Music\5sos - She Looks So Perfect.mp3,160.71,1.0,C# minor,0.8806,205.944,48000,255355,OK,
C:\Users\suppo\Downloads\New Music\More Music\7 Years Old - By： Lukas Graham.mp3,119.68,1.0,A# major,0.9698,239.808,48000,240681,OK,
C:\Users\suppo\Downloads\New Music\More Music\7 Years Old Lukas Graham ｜ Lyricofficial.mp3,119.68,1.0,A# major,0.9688,241.416,48000,239281,OK,
C:\Users\suppo\Downloads\New Music\More Music\7 Years.mp3,119.68,1.0,A# major,0.9693,237.336,48000,254874,OK,
C:\Users\suppo\Downloads\New Music\More Music\A Million Dreams Lyrics.mp3,148.03,0.8139,G major,0.9416,267.624,48000,217087,OK,
C:\Users\suppo\Downloads\New Music\More Music\A Million Dreams.mp3,148.03,0.9105,G major,0.9419,269.496,48000,252096,OK,
C:\Users\suppo\Downloads\New Music\More Music\A Sky Full Of Stars.mp3,125.0,1.0,F# major,0.964,267.912,48000,261469,OK,
C:\Users\suppo\Downloads\New Music\More Music\A Thousand Years Lyrics - Christina Perri.mp3,140.62,1.0,A# major,0.9807,284.592,48000,226634,OK,
C:\Users\suppo\Downloads\New Music\More Music\A Thousand Years.mp3,140.62,1.0,A# major,0.9792,285.144,48000,260113,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aaron Lewis - ＂country Boy＂.mp3,122.28,1.0,F# major,0.8946,292.584,48000,245332,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aaron Lewis- Country Boy.mp3,122.28,1.0,C# major,0.8951,288.768,48000,207182,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aaron Smith - Dancin.mp3,119.68,1.0,D# minor,0.7025,256.272,48000,260951,OK,
C:\Users\suppo\Downloads\New Music\More Music\Abby Anderson - ＂make Him Wait＂.mp3,160.71,1.0,D# major,0.9552,204.216,48000,240737,OK,
C:\Users\suppo\Downloads\New Music\More Music\Abstract - Neverland.mp3,70.31,1.0,A major,0.8476,311.136,48000,247214,OK,
C:\Users\suppo\Downloads\New Music\More Music\Ace Frehley - Hide Your Heart.mp3,127.84,1.0,A# minor,0.7751,267.6,48000,248624,OK,
C:\Users\suppo\Downloads\New Music\More Music\Acrid Rot - Where Flesh Transcends… Man Stands Tall.mp3,90.73,1.0,A minor,0.7675,430.032,48000,270481,OK,
C:\Users\suppo\Downloads\New Music\More Music\AC⧸DC - Are You Ready.mp3,108.17,1.0,D major,0.7978,257.328,48000,258714,OK,
C:\Users\suppo\Downloads\New Music\More Music\AC⧸DC - Guns for Hire.mp3,127.84,1.0,A major,0.8837,210.96,48000,268380,OK,
C:\Users\suppo\Downloads\New Music\More Music\AC⧸DC - Sink the Pink.mp3,130.81,1.0,G minor,0.8531,242.256,48000,244435,OK,
C:\Users\suppo\Downloads\New Music\More Music\AC⧸DC - Thats the Way I Wanna Rock N Roll.mp3,156.25,1.0,A minor,0.7925,229.44,48000,264799,OK,
C:\Users\suppo\Downloads\New Music\More Music\AC⧸DC - Thunderstruck.mp3,133.93,1.0,B major,0.8651,292.968,48000,272549,OK,
C:\Users\suppo\Downloads\New Music\More Music\AC⧸DC - You Shook Me All Night Long.mp3,127.84,1.0,G major,0.9089,210.768,48000,262215,OK,
C:\Users\suppo\Downloads\New Music\More Music\Addicted With Lyrics.mp3,137.2,1.0,D minor,0.8972,223.896,48000,262041,OK,
C:\Users\suppo\Downloads\New Music\More Music\Adele - Hello.mp3,156.25,0.9438,G# major,0.9544,366.888,48000,239925,OK,
C:\Users\suppo\Downloads\New Music\More Music\Adele - Roling In The Deep.mp3,104.17,1.0,G# minor,0.7511,234.384,48000,199901,OK,
C:\Users\suppo\Downloads\New Music\More Music\Adele - Rolling in the Deep.mp3,104.17,1.0,G minor,0.7977,233.928,48000,241364,OK,
C:\Users\suppo\Downloads\New Music\More Music\Adele - Send My Love.mp3,165.44,1.0,B minor,0.8658,225.048,48000,259583,OK,
C:\Users\suppo\Downloads\New Music\More Music\Adele - Set Fire To The Rain Lyrics!.mp3,108.17,1.0,D minor,0.7658,242.088,48000,261288,OK,
C:\Users\suppo\Downloads\New Music\More Music\Adele - Set Fire To The Rain Lyrics.mp3,112.5,1.0,D# minor,0.7637,226.584,48000,242917,OK,
C:\Users\suppo\Downloads\New Music\More Music\Adele - Someone Like You (Official Music Video).mp3,137.2,1.0,A major,0.9561,284.952,48000,234897,OK,
C:\Users\suppo\Downloads\New Music\More Music\Adele - Someone Like You.mp3,130.81,0.8592,A major,0.9523,279.552,48000,173191,OK,
C:\Users\suppo\Downloads\New Music\More Music\Adventure Of A Lifetime.mp3,112.5,1.0,D major,0.8137,263.832,48000,272718,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aerosmith - Angel.mp3,85.23,1.0,D# major,0.8876,300.96,48000,273905,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aerosmith - Crazy.mp3,160.71,1.0,A major,0.9169,373.224,48000,278614,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aerosmith - Eat The Rich.mp3,122.28,1.0,E minor,0.8639,275.736,48000,267505,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aerosmith - I Dont Want to Miss a Thing.mp3,122.28,1.0,A major,0.8924,292.8,48000,265527,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aerosmith - Janies Got A Gun.mp3,117.19,1.0,F major,0.8862,327.504,48000,276798,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aerosmith - Livin On The Edge.mp3,83.96,1.0,D major,0.9281,376.416,48000,271713,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aerosmith - Love In An Elevator.mp3,93.75,1.0,E major,0.8727,340.512,48000,269084,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aerosmith - Rag Doll.mp3,93.75,1.0,E minor,0.7811,292.992,48000,267329,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aerosmith - What it Takes.mp3,144.23,1.0,D minor,0.8084,280.776,48000,263588,OK,
C:\Users\suppo\Downloads\New Music\More Music\After The Rain Cafe Thailand ⧸ Vlog Review No. 339.mp3,90.73,1.0,G# major,0.6902,136.68,48000,238505,OK,
C:\Users\suppo\Downloads\New Music\More Music\Aint No Rest For The Wicked By Cage The Elephant ｜lyrics｜.mp3,156.25,1.0,C major,0.8493,180.12,48000,263958,OK,
