track_id,raw_file_name,detected_artist_candidate,detected_title_candidate,authority_pair_match,reversal_confidence,notes
23,Ad Infinitum - Animals Napalm Records.mp3,Ad Infinitum,Animals Napalm Records,no,0.56,no authority pair match yet
24,Ad Infinitum - Eternal Rains Napalm Records.mp3,Ad Infinitum,Eternal Rains Napalm Records,no,0.56,no authority pair match yet
25,Ad Infinitum - From the Ashes Napalm Records.mp3,Ad Infinitum,From the Ashes Napalm Records,no,0.56,no authority pair match yet
26,Ad Infinitum - Inferno Napalm Records.mp3,Ad Infinitum,Inferno Napalm Records,no,0.56,no authority pair match yet
27,Ad Infinitum - Seth Napalm Records.mp3,Ad Infinitum,Seth Napalm Records,no,0.56,no authority pair match yet
28,Ad Infinitum - Somewhere Better Napalm Records.mp3,Ad Infinitum,Somewhere Better Napalm Records,no,0.56,no authority pair match yet
29,Ad Infinitum - Unstoppable Napalm Records.mp3,Ad Infinitum,Unstoppable Napalm Records,no,0.56,no authority pair match yet
30,Ad Infinitum - Upside Down Napalm Records.mp3,Ad Infinitum,Upside Down Napalm Records,no,0.56,no authority pair match yet
31,Aephanemer - Antigone Napalm Records.mp3,Aephanemer,Antigone Napalm Records,no,0.56,no authority pair match yet
32,Aephanemer - Panta Rhei Napalm Records.mp3,Aephanemer,Panta Rhei Napalm Records,no,0.56,no authority pair match yet
38,Amberian Dawn - Super Trouper Napalm Records.mp3,Amberian Dawn,Super Trouper Napalm Records,no,0.56,no authority pair match yet
40,Amberian Dawn - The Day Before You Came Napalm Records.mp3,Amberian Dawn,The Day Before You Came Napalm Records,no,0.56,no authority pair match yet
42,Angus Mcsix - 6666 Napalm Records.mp3,Angus Mcsix,6666 Napalm Records,no,0.56,no authority pair match yet
43,Angus Mcsix - Dig Down (Feat. Van Canto) Napalm Records.mp3,Angus Mcsix,Dig Down (Feat. Van Canto) Napalm Records,no,0.56,no authority pair match yet
45,Angus Mcsix - Laser-shooting Dinosaur Napalm Records.mp3,Angus Mcsix,Laser-shooting Dinosaur Napalm Records,no,0.56,no authority pair match yet
46,Angus Mcsix - Master of the Universe Napalm Records.mp3,Angus Mcsix,Master of the Universe Napalm Records,no,0.56,no authority pair match yet
47,Angus Mcsix - Ride to Hell Napalm Records.mp3,Angus Mcsix,Ride to Hell Napalm Records,no,0.56,no authority pair match yet
48,Angus Mcsix - Sixcalibur Napalm Records.mp3,Angus Mcsix,Sixcalibur Napalm Records,no,0.56,no authority pair match yet
51,Avantasia - The Witch (Feat. Tommy Karevik) Napalm Records.mp3,Avantasia,The Witch (Feat. Tommy Karevik) Napalm Records,no,0.56,no authority pair match yet
52,Avicii - Levels Skrillex Remix.mp3,Avicii,Levels Skrillex Remix,no,0.48,no authority pair match yet
55,Battlelore - Chambers of Fire Napalm Records.mp3,Battlelore,Chambers of Fire Napalm Records,no,0.56,no authority pair match yet
56,Battlelore - Elvenking Napalm Records.mp3,Battlelore,Elvenking Napalm Records,no,0.56,no authority pair match yet
65,Bloodbound - As Empires Fall Napalm Records.mp3,Bloodbound,As Empires Fall Napalm Records,no,0.56,no authority pair match yet
66,Bloodbound - Defenders of Jerusalem Napalm Records.mp3,Bloodbound,Defenders of Jerusalem Napalm Records,no,0.56,no authority pair match yet
69,Cancun - Jhanking ｜.mp3,Cancun,Jhanking |,no,0.48,no authority pair match yet
74,Civil War - Battle of Life Napalm Records.mp3,Civil War,Battle of Life Napalm Records,no,0.56,no authority pair match yet
75,Civil War - Invaders Napalm Records.mp3,Civil War,Invaders Napalm Records,no,0.56,no authority pair match yet
76,Civil War - Oblivion Napalm Records.mp3,Civil War,Oblivion Napalm Records,no,0.56,no authority pair match yet
94,Dominum - Danger Danger Napalm Records.mp3,Dominum,Danger Danger Napalm Records,no,0.56,no authority pair match yet
95,Dominum - Hey Living People Napalm Records.mp3,Dominum,Hey Living People Napalm Records,no,0.56,no authority pair match yet
96,Dominum - Immortalis Dominum Napalm Records.mp3,Dominum,Immortalis Dominum Napalm Records,no,0.56,no authority pair match yet
97,Dominum - One of Us Napalm Records.mp3,Dominum,One of Us Napalm Records,no,0.56,no authority pair match yet
98,Dominum - Patient Zero Napalm Records.mp3,Dominum,Patient Zero Napalm Records,no,0.56,no authority pair match yet
99,Dominum - Rock You Like a Hurricane Napalm Records.mp3,Dominum,Rock You Like a Hurricane Napalm Records,no,0.56,no authority pair match yet
101,Dominum - We All Taste the Same Napalm Records.mp3,Dominum,We All Taste the Same Napalm Records,no,0.56,no authority pair match yet
102,Dominum - We Are Forlorn Napalm Records.mp3,Dominum,We Are Forlorn Napalm Records,no,0.56,no authority pair match yet
108,E-40 - Tell Me When to Go ｜ Warner Records.mp3,E-40,Tell Me When to Go | Warner Records,no,0.56,no authority pair match yet
111,Edge of Paradise - Death Note Napalm Records.mp3,Edge of Paradise,Death Note Napalm Records,no,0.56,no authority pair match yet
116,Elvellon - A Vagabond's Heart Napalm Records.mp3,Elvellon,A Vagabond's Heart Napalm Records,no,0.56,no authority pair match yet
117,Elvellon - The Aftermath of Life Napalm Records.mp3,Elvellon,The Aftermath of Life Napalm Records,no,0.56,no authority pair match yet
123,Esperándote - Mtz Manuel Turizo ｜ Video Oficial.mp3,Esperándote,Mtz Manuel Turizo | Video Oficial,no,0.48,no authority pair match yet
124,Exit Eden - Désenchantée Napalm Records.mp3,Exit Eden,Désenchantée Napalm Records,no,0.56,no authority pair match yet
125,Exit Eden - Femme Fatale Napalm Records (Alt 1).mp3,Exit Eden,Femme Fatale Napalm Records (Alt 1),no,0.56,no authority pair match yet
127,Exit Eden - Separate Ways Napalm Records.mp3,Exit Eden,Separate Ways Napalm Records,no,0.56,no authority pair match yet
132,Feuerschwanz - Das Herz Eines Drachen Napalm Records.mp3,Feuerschwanz,Das Herz Eines Drachen Napalm Records,no,0.56,no authority pair match yet
134,Feuerschwanz Feat. Francesco Cavalieri - Wardwarf Napalm Records.mp3,Feuerschwanz Feat. Francesco Cavalieri,Wardwarf Napalm Records,no,0.56,no authority pair match yet
136,Frozen Crown - I Am the Wind Napalm Records.mp3,Frozen Crown,I Am the Wind Napalm Records,no,0.56,no authority pair match yet
137,Frozen Crown - Steel and Gold Napalm Records.mp3,Frozen Crown,Steel and Gold Napalm Records,no,0.56,no authority pair match yet
138,Frozen Crown - War Hearts Napalm Records.mp3,Frozen Crown,War Hearts Napalm Records,no,0.56,no authority pair match yet
139,Fugees - Fu-gee-la (Music Video) (Alt 1).mp3,Fugees,Fu-gee-la (Music Video) (Alt 1),no,0.76,no authority pair match yet
146,Gloryhammer - Fly Away Napalm Records.mp3,Gloryhammer,Fly Away Napalm Records,no,0.56,no authority pair match yet
147,Gloryhammer - He Has Returned Napalm Records.mp3,Gloryhammer,He Has Returned Napalm Records,no,0.56,no authority pair match yet
148,Gloryhammer - Holy Flaming Hammer of Unholy Cosmic Frost Napalm Records.mp3,Gloryhammer,Holy Flaming Hammer of Unholy Cosmic Frost Napalm Records,no,0.56,no authority pair match yet
149,Gloryhammer - Hootsforce Napalm Records.mp3,Gloryhammer,Hootsforce Napalm Records,no,0.56,no authority pair match yet
150,Gloryhammer - Keeper of the Celestial Flame of Abernethy Napalm Records.mp3,Gloryhammer,Keeper of the Celestial Flame of Abernethy Napalm Records,no,0.56,no authority pair match yet
151,"Gloryhammer - Questlords of Inverness, Ride to the Galactic Fortress! Napalm Records.mp3",Gloryhammer,"Questlords of Inverness, Ride to the Galactic Fortress! Napalm Records",no,0.56,no authority pair match yet
153,Hammer King - Ashes to Ashes Napalm Records.mp3,Hammer King,Ashes to Ashes Napalm Records,no,0.56,no authority pair match yet
154,Hammer King - Atlantis Napalm Records.mp3,Hammer King,Atlantis Napalm Records,no,0.56,no authority pair match yet
155,Hammer King - Awaken the Thunder Napalm Records.mp3,Hammer King,Awaken the Thunder Napalm Records,no,0.56,no authority pair match yet
156,Hammer King - Invisible King ｜ Napalm Records.mp3,Hammer King,Invisible King | Napalm Records,no,0.56,no authority pair match yet
157,Hammer King - Kingdemonium Napalm Records.mp3,Hammer King,Kingdemonium Napalm Records,no,0.56,no authority pair match yet
158,Hammer King - König Und Kaiser (Feat. the Tribune) Napalm Records.mp3,Hammer King,König Und Kaiser (Feat. the Tribune) Napalm Records,no,0.56,no authority pair match yet
159,Hammer King - Pariah is My Name Napalm Records.mp3,Hammer King,Pariah is My Name Napalm Records,no,0.56,no authority pair match yet
160,Hammer King - The Devil Will I Do Napalm Records.mp3,Hammer King,The Devil Will I Do Napalm Records,no,0.56,no authority pair match yet
161,Hammerfall - Hammer of Dawn Napalm Records (Alt 1).mp3,Hammerfall,Hammer of Dawn Napalm Records (Alt 1),no,0.56,no authority pair match yet
168,Ice T - O.g. Original Gangster ｜ Warner Records.mp3,Ice T,O.g. Original Gangster | Warner Records,no,0.56,no authority pair match yet
169,Ignea - Nomad's Luck Napalm Records.mp3,Ignea,Nomad's Luck Napalm Records,no,0.56,no authority pair match yet
170,Illumishade - Cloudreader Napalm Records.mp3,Illumishade,Cloudreader Napalm Records,no,0.56,no authority pair match yet
171,Illumishade - Enemy Napalm Records.mp3,Illumishade,Enemy Napalm Records,no,0.56,no authority pair match yet
172,Illumishade - Riptide Napalm Records.mp3,Illumishade,Riptide Napalm Records,no,0.56,no authority pair match yet
184,Kamelot - Eventide Napalm Records (Music Video).mp3,Kamelot,Eventide Napalm Records (Music Video),no,0.56,no authority pair match yet
186,Kamelot - One More Flag in the Ground Napalm Records.mp3,Kamelot,One More Flag in the Ground Napalm Records,no,0.56,no authority pair match yet
200,La Temperatura - Tostao X Leysong X Buay Press X Maiki VI ｜ Video Oficial.mp3,La Temperatura,Tostao X Leysong X Buay Press X Maiki VI | Video Oficial,no,0.48,no authority pair match yet
201,Led Zeppelin - Rock and Roll Hq.mp3,Led Zeppelin,Rock and Roll,no,0.48,no authority pair match yet
206,Lycii - Yoko ｜ Diversity Release.mp3,Lycii,Yoko | Diversity Release,no,0.48,no authority pair match yet
