canonical_artist,canonical_title,source,confidence,seed_result
AC-DC,For Those About To Rock,operator_verified,1.0,seeded
Tom Petty,American Girl,operator_verified,1.0,seeded
Brad Paisley,"With you, Without you",operator_verified,1.0,seeded
Brad Paisley,Policeman,operator_verified,1.0,seeded
Snoop Dogg ft. Pharrell,Drop It Like Its Hot by,operator_verified,1.0,seeded
Edine,24-7,operator_verified,1.0,seeded
Gonzalez,Haven't Stopped Dancing Yet,operator_verified,1.0,seeded
Hard,Kief Brown,operator_verified,1.0,seeded
Ice-T,6 N the Mornin,operator_verified,1.0,seeded
Ice-T,Im Your Pusher,operator_verified,1.0,seeded
Blake Shelton,Im Sorry,operator_verified,1.0,seeded
Johnny Copeland,Flying High,operator_verified,1.0,seeded
Kelsie Kimberlin,Road Trip,operator_verified,1.0,seeded
Kenney Chesney,Living in Paradise,operator_verified,1.0,seeded
Leoncavallo Pagliacciï,Vesti La Giubba,operator_verified,1.0,seeded
Luciano Pavarottiï,Celeste Aida,operator_verified,1.0,seeded
Metallica,Enter Sandman,operator_verified,1.0,seeded
Metallica,One,operator_verified,1.0,seeded
Mickey Newbury,After All These Years,operator_verified,1.0,seeded
Miranda Lambert,Lyin Here,operator_verified,1.0,seeded
Mozart  Don  Giovanni,527 Act 1,operator_verified,1.0,seeded
Tim Mcgraw,My Best Friend,operator_verified,1.0,seeded
Paul Damixie,Hypnotised,operator_verified,1.0,seeded
Smiley,Days of Summer,operator_verified,1.0,seeded
Smiley,Let Me Go,operator_verified,1.0,seeded
Smiley,Tomorrow,operator_verified,1.0,seeded
Stormy Weather,Beneath Velvet Skies,operator_verified,1.0,seeded
The Commodores,Brick House,operator_verified,1.0,seeded
Travesuras,Nicky Jam,operator_verified,1.0,seeded
Twenty One Pilots,Heathens,operator_verified,1.0,seeded
Twenty One Pilots,Stressed Out,operator_verified,1.0,seeded
Verdi,Rigoletto,operator_verified,1.0,seeded
Geto Boys,Mind Playing Tricks on Me,operator_verified,1.0,seeded
2Pac,2Pac - I Get Around,clean_high_confidence,0.76,seeded
Bad Bunny,BAD BUNNY - ESTAMOS BIEN | X100PRE (Video Oficial),clean_high_confidence,0.76,seeded
BeastieBoys,Beastie Boys - Intergalactic,clean_high_confidence,0.743,seeded
Biggie Smalls,Biggie Smalls - Notorious Thugs,clean_high_confidence,0.76,seeded
Black Sabbath,Sweet Leaf,clean_high_confidence,0.64,seeded
BlackStarVEVO,Black Star - Respiration ft. Common,clean_high_confidence,0.673,seeded
Bone Thugs-N-Harmony,Bone Thugs N Harmony - Crossroads,clean_high_confidence,0.739,seeded
Bone Thugs-N-Harmony,Bone Thugs n Harmony - Thuggish Ruggish Bone,clean_high_confidence,0.739,seeded
Charlie Daniels,Charlie Daniels Band - The South's Gonna Do It (Live),clean_high_confidence,0.72,seeded
Delain,The Quest and the Curse Napalm Records (Alt 1),clean_high_confidence,0.64,seeded
Eric Church,Eric Church - Over When It's Over (Live Performance Video),clean_high_confidence,0.76,seeded
Hank Williams,Hank Williams Jr - Simple Man,clean_high_confidence,0.72,seeded
Ice Cube / Cubevision,Ice Cube - It Was A Good Day,clean_high_confidence,0.72,seeded
Ice Cube / Cubevision,Ice Cube - You Know How We Do It,clean_high_confidence,0.72,seeded
Bad Bunny,J BALVIN x BAD BUNNY - LA CANCIÓN | OASIS (Video Oficial),clean_high_confidence,0.72,seeded
James Vickery,James Vickery - Pressure (with SG Lewis) | LIVE from London - Part 3 | The Old Vinyl Factory,clean_high_confidence,0.76,seeded
Jesús Alonso,"Jesús Alonso, La Fe de Vivir, canción de superación, para fluir con la vida. #musicaconsciente #fe",clean_high_confidence,0.76,seeded
Kamelot,Under Grey Skies ft. Charlotte Wessels Napalm Records,clean_high_confidence,0.64,seeded
Kelsie Kimberlin,Kelsie Kimberlin - Road Trip | #standwithukraine,clean_high_confidence,0.76,seeded
Ozuna,Ozuna - Se Preparó (Video Oficial) | Odisea,clean_high_confidence,0.76,seeded
Powerwolf,Beast of Gévaudan Napalm Records (Alt 1),clean_high_confidence,0.64,seeded
PTM,PTM - If It Was Easy | Lyrics Video,clean_high_confidence,0.76,seeded
QueenLatifahVEVO,Queen Latifah - U.N.I.T.Y.,clean_high_confidence,0.691,seeded
Savatage,Hall of the Mountain King,clean_high_confidence,0.64,seeded
Slayer,Hell Awaits,clean_high_confidence,0.64,seeded
SnoopDoggTV,Snoop Dogg - Gin And Juice,clean_high_confidence,0.703,seeded
The Roots,The Roots - You Got Me ft. Erykah Badu,clean_high_confidence,0.76,seeded
Ufo,Doctor Doctor,clean_high_confidence,0.64,seeded
Wind Rose,To Be a Dwarf Napalm Records (Alt 1),clean_high_confidence,0.64,seeded
Zac Brown Band,Zac Brown Band - Keep Me In Mind | You Get What You Give,clean_high_confidence,0.76,seeded
Tekashi 6ix9ine,6ix9ine - BEBE ft. Anuel AA,clean_high_confidence,0.72,seeded
Tekashi 6ix9ine,"6ix9ine - FEFE ft. Nicki Minaj, Murda Beatz",clean_high_confidence,0.72,seeded
Alaina Castillo,Alaina Castillo - éxtasis,clean_high_confidence,0.76,seeded
Alan Walker,Alan Walker - Alone,clean_high_confidence,0.76,seeded
Alan Walker,Alan Walker - Faded,clean_high_confidence,0.76,seeded
Alan Walker,Alan Walker - The Spectre,clean_high_confidence,0.76,seeded
Alejo,Alejo - RT (Video Oficial),clean_high_confidence,0.76,seeded
Alex Rose,"Alex Rose, Dalex - La Segura (Video Oficial)",clean_high_confidence,0.72,seeded
Alex Rose,"Alex Rose, Lil Cake  - GFP (Video Oficial)",clean_high_confidence,0.72,seeded
AlexandRRa,AlexandRRa - 🔥Make Me Go,clean_high_confidence,0.76,seeded
Alx Veliz,Alx Veliz - MARQUESINA (Video Oficial),clean_high_confidence,0.76,seeded
Amy Winehouse,Amy Winehouse - Back To Black,clean_high_confidence,0.76,seeded
Anuel AA,Anuel AA - Ella Quiere Beber (Remix) ft. Romeo Santos,clean_high_confidence,0.76,seeded
Anuel AA,Anuel AA - Ella Quiere Beber (Video Oficial),clean_high_confidence,0.76,seeded
Anuel AA,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)",clean_high_confidence,0.72,seeded
Anuel AA,"Anuel AA, KAROL G - Secreto",clean_high_confidence,0.72,seeded
Ariana Grande,Ariana Grande - Problem ft. Iggy Azalea,clean_high_confidence,0.76,seeded
T-Series,"Arijit Singh: Pachtaoge | Vicky Kaushal, Nora Fatehi |Jaani, B Praak, Arvindr Khaira | Bhushan Kumar",clean_high_confidence,0.64,seeded
Audioslave,Like a Stone,clean_high_confidence,0.64,seeded
Avicii,Avicii - Waiting For Love,clean_high_confidence,0.76,seeded
Aya Nakamura,Aya Nakamura - Djadja (Clip officiel),clean_high_confidence,0.76,seeded
Bad Bunny,BAD BUNNY x DRAKE - MÍA (Video Oficial),clean_high_confidence,0.72,seeded
Beyoncé,Beyoncé - Halo,clean_high_confidence,0.76,seeded
Biehu,BIEHU - Better without me,clean_high_confidence,0.76,seeded
Billie Eilish,Billie Eilish - bad guy,clean_high_confidence,0.76,seeded
Billie Eilish,"Billie Eilish, Khalid - lovely",clean_high_confidence,0.72,seeded
blackbear,blackbear - me & ur ghost,clean_high_confidence,0.76,seeded
BLACKPINK,BLACKPINK - 'Kill This Love' M/V,clean_high_confidence,0.76,seeded
BLOWSOM,BLOWSOM - HOPE YOU'LL FIND OUT,clean_high_confidence,0.76,seeded
Bon Jovi,Bon Jovi - Livin' On A Prayer,clean_high_confidence,0.76,seeded
Calum Scott,"Calum Scott, Leona Lewis - You Are The Reason (Duet Version)",clean_high_confidence,0.72,seeded
Calvin Harris,Calvin Harris & Disciples - How Deep Is Your Love,clean_high_confidence,0.72,seeded
Camila Cabello,Camila Cabello - Havana (Vertical Video) ft. Young Thug,clean_high_confidence,0.76,seeded
Carlos Vives,"Carlos Vives, Shakira - La Bicicleta",clean_high_confidence,0.72,seeded
Carly Rae Jepsen,Carly Rae Jepsen - Call Me Maybe,clean_high_confidence,0.76,seeded
Cautious Clay,"Cautious Clay, Joshua Karpeh - Ohio",clean_high_confidence,0.72,seeded
Chynoy Nacho,Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee,clean_high_confidence,0.712,seeded
Chris Tijera,Chris Tijera x  Dj Lokey - INTOCABLE (VIDEO OFICIAL),clean_high_confidence,0.72,seeded
Christian Daniel Oficial,Christian Daniel & Kevin Garcia - Me Va A Extrañar (Ricardo Montaner Cover),clean_high_confidence,0.677,seeded
CNCO,CNCO - Reggaetón Lento (Bailemos),clean_high_confidence,0.76,seeded
Daddy Yankee,Daddy Yankee & Snow - Con Calma (Video Oficial),clean_high_confidence,0.72,seeded
Daddy Yankee,Daddy Yankee - Dura (Video Oficial),clean_high_confidence,0.76,seeded
Daddy Yankee,Daddy Yankee - Limbo (Video Oficial),clean_high_confidence,0.76,seeded
Daddy Yankee,Daddy Yankee - Shaky Shaky (Video Oficial),clean_high_confidence,0.76,seeded
Dalex,"Dalex - Pa Mi (Remix) ft. Sech, Rafa Pabön, Cazzu, Feid, Khea and Lenny Tavarez",clean_high_confidence,0.76,seeded
David Guetta,David Guetta & Showtek - Bad ft.Vassy (Lyrics Video),clean_high_confidence,0.72,seeded
Smiley,Days of Summer (Toesup Remix),clean_high_confidence,0.8,seeded
Phi Tribe,Definition Of | 559 | 432Hz,clean_high_confidence,0.64,seeded
Dermot Kennedy,Dermot Kennedy - All My Friends (A Film By Brendan Canty),clean_high_confidence,0.76,seeded
soyyodioni,Dioni - Khelani (Video Lyric),clean_high_confidence,0.72,seeded
DJ Khaled,"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",clean_high_confidence,0.76,seeded
DJ Snake,DJ Snake - Let Me Love You ft. Justin Bieber,clean_high_confidence,0.76,seeded
DJ Snake,"DJ Snake, Lil Jon - Turn Down for What",clean_high_confidence,0.72,seeded
Don Omar,Don Omar - Danza Kuduro ft. Lucenzo,clean_high_confidence,0.76,seeded
MaddBayy,Don't Go (lofi Remix),clean_high_confidence,0.8,seeded
Dr. Dre,Dr. Dre - Still D.R.E. ft. Snoop Dogg,clean_high_confidence,0.76,seeded
Drake,Drake - God's Plan,clean_high_confidence,0.76,seeded
Drake,Drake - Hotline Bling,clean_high_confidence,0.76,seeded
DYNAMICS,DYNAMICS Dance Medley - VOL 2 (I'm a Believer | Friends Theme | Livin' La Vida Loca),clean_high_confidence,0.72,seeded
Ed Sheeran,Ed Sheeran - American Town (Live Acoustic),clean_high_confidence,0.76,seeded
El Emisario,El Emisario ❌ MaestroEIM - Amantes (Video Oficial),clean_high_confidence,0.72,seeded
Emile Mosseri,"Emile Mosseri - ""My Greedy Heart""",clean_high_confidence,0.76,seeded
EminemMusic,Eminem - Love The Way You Lie ft. Rihanna,clean_high_confidence,0.72,seeded
EminemMusic,Eminem - Not Afraid,clean_high_confidence,0.72,seeded
EminemMusic,Eminem - Rap God (Explicit),clean_high_confidence,0.72,seeded
Enrique Iglesias,"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona",clean_high_confidence,0.76,seeded
Enrique Iglesias,Enrique Iglesias - DUELE EL CORAZON ft. Wisin,clean_high_confidence,0.76,seeded
Enrique Iglesias,Enrique Iglesias - El Perdedor (Pop) ft. Marco Antonio Solís,clean_high_confidence,0.76,seeded
French Montana,French Montana - Unforgettable ft. Swae Lee,clean_high_confidence,0.76,seeded
Luciente,Fridah x Luciente - TU VAINA LOCA,clean_high_confidence,0.72,seeded
Gaby Crush,Gaby Crush - Me Cambiaste (Video Oficial),clean_high_confidence,0.76,seeded
Guns N' Roses,Guns N' Roses - November Rain,clean_high_confidence,0.76,seeded
Ha*Ash,HA-ASH - Lo Aprendí de Ti (Primera Fila - Hecho Realidad [En Vivo]),clean_high_confidence,0.76,seeded
Humberto e Ronaldo,Humberto e Ronaldo - Não Fala Não Pra Mim feat. Jerry Smith,clean_high_confidence,0.76,seeded
Huncho Bookie,Huncho Bookie - All Luv,clean_high_confidence,0.76,seeded
Iggy Azalea,Iggy Azalea - Fancy ft. Charli XCX,clean_high_confidence,0.76,seeded
ImagineDragons,Imagine Dragons - Radioactive,clean_high_confidence,0.746,seeded
ImagineDragons,Imagine Dragons - Thunder,clean_high_confidence,0.746,seeded
ivri,ivri - inversion,clean_high_confidence,0.76,seeded
J Balvin,J Balvin - 6 AM ft. Farruko,clean_high_confidence,0.76,seeded
James Arthur,James Arthur - Say You Won't Let Go,clean_high_confidence,0.76,seeded
Real Emaj,Jeep,clean_high_confidence,0.64,seeded
