batch_id,original_path,original_name,proposed_name,cleaned_name,guessed_artist,guessed_title,override_applied,parse_method,confidence,collision_status,duplicate_group_id,duplicate_risk,action,target_state,notes
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_Club\- Pegboard Nerds - Disconnected.mp3,- Pegboard Nerds - Disconnected.mp3,- Pegboard Nerds - Disconnected.mp3,- Pegboard Nerds - Disconnected.mp3,- Pegboard Nerds,Disconnected,,standard,1.0,no_change,,none,skip,RAW_INCOMING,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_Club\- Rootkit - Against the Sun.mp3,- Rootkit - Against the Sun.mp3,- Rootkit - Against the Sun.mp3,- Rootkit - Against the Sun.mp3,- Rootkit,Against the Sun,,standard,1.0,no_change,,none,skip,RAW_INCOMING,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_Club\- Tristam & Braken - Flight.mp3,- Tristam & Braken - Flight.mp3,- Tristam & Braken - Flight.mp3,- Tristam & Braken - Flight.mp3,- Tristam & Braken,Flight,,standard,1.0,no_change,,none,skip,RAW_INCOMING,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\017 - Ice Cube - It Was A Good Day.mp3,017 - Ice Cube - It Was A Good Day.mp3,017 - Ice Cube - it Was a Good Day.mp3,017 - Ice Cube - It Was A Good Day.mp3,017,Ice Cube - It Was A Good Day,,standard,1.0,no_change,G0102,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\026 - Bone Thugs N Harmony - Crossroads.mp3,026 - Bone Thugs N Harmony - Crossroads.mp3,026 - Bone Thugs N Harmony - Crossroads.mp3,026 - Bone Thugs N Harmony - Crossroads.mp3,026,Bone Thugs N Harmony - Crossroads,,standard,1.0,no_change,G0110,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\03. Ice Cube - AmeriKKKas Most Wanted.mp3,03. Ice Cube - AmeriKKKas Most Wanted.mp3,Ice Cube - Amerikkkas Most Wanted.mp3,Ice Cube - AmeriKKKas Most Wanted.mp3,Ice Cube,AmeriKKKas Most Wanted,,standard,1.0,ok,,none,,RAW_INCOMING,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\030 - Snoop Dogg - Gin And Juice.mp3,030 - Snoop Dogg - Gin And Juice.mp3,030 - Snoop Dogg - Gin and Juice.mp3,030 - Snoop Dogg - Gin And Juice.mp3,030,Snoop Dogg - Gin And Juice,,standard,1.0,no_change,G0096,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\034 - Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,034 - Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,034 - Dr. Dre - Still D.r.e. ft. Snoop Dogg.mp3,034 - Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,034,Dr. Dre - Still D.R.E. ft. Snoop Dogg,,standard,1.0,no_change,,none,skip,RAW_INCOMING,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\042 - Wu-Tang Clan - C.R.E.A.M. (Official HD Video).mp3,042 - Wu-Tang Clan - C.R.E.A.M. (Official HD Video).mp3,042 - Wu-tang Clan - C.r.e.a.m..mp3,042 - Wu-Tang Clan - C.R.E.A.M..mp3,042,Wu-Tang Clan - C.R.E.A.M.,,standard,1.0,ok,,none,,RAW_INCOMING,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\09. Westside connection - King Of The Hill.mp3,09. Westside connection - King Of The Hill.mp3,Westside Connection - King of the Hill.mp3,Westside connection - King Of The Hill.mp3,Westside connection,King Of The Hill,,standard,1.0,ok,,none,,RAW_INCOMING,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\098 - Queen Latifah - U.N.I.T.Y..mp3,098 - Queen Latifah - U.N.I.T.Y..mp3,098 - Queen Latifah - U.n.i.t.y..mp3,098 - Queen Latifah - U.N.I.T.Y..mp3,098,Queen Latifah - U.N.I.T.Y.,,standard,1.0,no_change,G0087,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000\100 gecs - Hollywood Baby.mp3,100 gecs - Hollywood Baby.mp3,100 Gecs - Hollywood Baby.mp3,100 gecs - Hollywood Baby.mp3,100 gecs,Hollywood Baby,,standard,1.0,no_change,,none,skip,RAW_INCOMING,
BATCH_20260405_110657_c66be753,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3","100 Greatest - Motown Hits ｜ Oldies but Goodies From the 70s, 80s & 90s ｜ Soul & R&b Classics Playlist.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3",100 Greatest,"Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist",,fallback_heuristic,0.3,illegal_chars,G0142,near_duplicate,hold,HELD_PROBLEMS,proposed name contains illegal/problematic characters
BATCH_20260405_110657_c66be753,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3","100 Greatest - Motown Hits ｜ Oldies but Goodies From the 70s, 80s & 90s ｜ Soul & R&b Classics Playlist.temp.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3",100 Greatest,"Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp",,fallback_heuristic,0.3,illegal_chars,G0142,near_duplicate,hold,HELD_PROBLEMS,proposed name contains illegal/problematic characters
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\102 - Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,102 - Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,102 - Eazy-e - Real Muthaphuckkin G's.mp3,102 - Eazy-E - Real Muthaphuckkin G's.mp3,102,Eazy-E - Real Muthaphuckkin G's,,standard,1.0,ok,G0103,near_duplicate,,REVIEW_REQUIRED,
