original_path,original_name,old_status,new_status,reason
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\175 - 2Pac - I Get Around.mp3,175 - 2Pac - I Get Around.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Ambitionz Az A Ridah.mp3,2Pac - Ambitionz Az A Ridah.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Beastie Boys - Intergalactic.mp3,Beastie Boys - Intergalactic.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Biggie Smalls - Notorious Thugs.mp3,Biggie Smalls - Notorious Thugs.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.mp3,black sabbath - sweet leaf.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Black Star - Respiration ft. Common.mp3,Black Star - Respiration ft. Common.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs N Harmony - Crossroads.mp3,Bone Thugs N Harmony - Crossroads.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Charlie Daniels Band - The South's Gonna Do It (Live).mp3,Charlie Daniels Band - The South's Gonna Do It (Live).mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Craig Mack - Flava In Ya Ear.mp3,Craig Mack - Flava In Ya Ear.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dio - The Last In Line.mp3,Dio - The Last In Line.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang.mp3,Dr Dre - Nuthin But A ＂G＂ Thang.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_Country\Eric Church - Over When Its Over.mp3,Eric Church - Over When Its Over.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Gang Starr - Above The Clouds.mp3,Gang Starr - Above The Clouds.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Geto Boys - Mind Playing Tricks On Me.mp3,Geto Boys - Mind Playing Tricks On Me.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Hank Williams Jr - Simple Man.mp3,Hank Williams Jr - Simple Man.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Heaven and Hell - Black Sabbath lyrics.mp3,Heaven and Hell - Black Sabbath lyrics.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ice Cube - It Was A Good Day.mp3,Ice Cube - It Was A Good Day.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ice Cube - You Know How We Do It.mp3,Ice Cube - You Know How We Do It.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000\Kelly Clarkson - mine.mp3,Kelly Clarkson - mine.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney - Til Its Gone.mp3,Kenny Chesney - Til Its Gone.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Led Zeppelin - Rock and Roll HQ.mp3,Led Zeppelin - Rock and Roll HQ.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mobb Deep - Quiet Storm ft. Lil Kim ft. Lil Kim.mp3,Mobb Deep - Quiet Storm ft. Lil Kim ft. Lil Kim.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Nas - It Aint Hard To Tell.mp3,Nas - It Aint Hard To Tell.mp3,READY_CANDIDATE_BLOCKED,TRUE_DUPLICATE_HOLD,Hash-verified true duplicate of existing READY file
