track_id,artist,title,genre,subgenre,harmonic_stability,loudness_lufs,avg_section_duration,tempo_stability,energy,danceability,section_count
1924,38 Special,38 Special - If I'd Been The One,Rock,,0.6212,-24.9,77.42266666666666,0.9,0.558,0.837,3.0
1926,Aaron Lewis,Aaron Lewis - Am I The Only One,Folk,,0.7975,-25.1,109.08133333333335,0.8976,0.567,0.893,3.0
1932,Aaron Tippin,Aaron Tippin - That's As Close As I'll Get To Loving You,Country,,0.8975,-29.8,63.23066666666667,0.9,0.515,0.722,3.0
1943,Adam Calhoun,Adam Calhoun feat. Demun Jones Brodnax Dusty Leigh - Gumbo,Hip-Hop,,1.0,-21.6,75.8,0.9,1.0,0.796,3.0
1945,Afroman,Afroman - Because I Got High,Hip-Hop,,0.4597,-29.0,67.978,0.7972,0.412,0.485,3.0
1949,Airbourne,Airbourne - Breakin' Outta Hell,Rock,Classic Rock,0.6163,-20.5,77.41733333333333,0.7986,0.889,0.796,3.0
1954,Airbourne,"Airbourne - Too Much, Too Young, Too Fast",Rock,Classic Rock,0.6919,-27.1,74.044,0.9,0.521,0.875,3.0
1959,Alan Jackson,Alan Jackson - Hard Hat And A Hammer,Country,,0.7966,-41.7,57.379333333333335,0.85,0.144,0.734,3.0
1960,Alan Jackson,Alan Jackson - I Don't Even Know Your Name,Country,,0.7865,-29.1,76.87933333333332,0.8982,0.429,0.841,3.0
1962,Alan Jackson,Alan Jackson - Midnight in Montgomery,Country,,0.7531,-35.9,79.81266666666666,0.8928,0.3,0.785,3.0
1963,Alan Jackson,Alan Jackson - Remember When,Country,,0.6824,-32.8,99.75866666666667,0.9,0.421,0.838,3.0
1965,Aldo Nova,Aldo Nova  -  Fantasy,Pop,,0.651,-26.5,121.911,0.85,0.371,0.819,2.0
1971,Ava Boyz,Ava Boyz - Aumaia Lou Alofa,World,,0.705,-25.2,115.04599999999999,0.8696,0.726,0.874,3.0
1977,Bad Wolves,Bad Wolves - Hear Me Now ,Rock,Classic Rock,0.7019,-22.1,79.66799999999999,0.5968,0.802,0.63,3.0
1980,Bad Wolves,Bad Wolves - Remember When,Metal,,0.5989,-22.5,72.19066666666667,0.8732,0.752,0.962,3.0
1983,Billy Currington,Billy Currington - Pretty Good At Drinkin' Beer,Country,,0.7827,-26.5,67.3,0.8989,0.781,0.973,3.0
1986,Billy Joe Shaver,Billy Joe Shaver - Georgia on a Fast Train,Country,,0.5852,-28.3,65.02733333333333,0.8949,0.433,0.842,3.0
1988,Billy Joel,Billy Joel - Only the Good Die Young,Rock,,0.8563,-26.7,82.442,0.8992,0.5,0.518,3.0
1990,Billy Joel,Billy Joel - You May Be Right,Rock,,0.8497,-26.2,88.98066666666666,0.8492,0.688,0.813,3.0
1998,Black Stone Cherry,Black Stone Cherry - Blame It On The Boom Boom,Rock,,0.7072,-22.6,65.13000000000001,0.9,0.861,0.98,3.0
2000,Black Stone Cherry,Black Stone Cherry - You,Rock,,0.9029,-24.0,89.73133333333335,0.8492,0.644,0.572,3.0
2001,Blackberry Smoke,Blackberry Smoke - Run Away From It All,Rock,,0.7614,-25.0,90.92199999999998,0.8989,0.777,0.971,3.0
2004,BlackHawk,BlackHawk - I Sure Can Smell the Rain,Country,,0.6899,-23.2,83.81333333333333,0.5304,0.288,0.438,3.0
2011,Blondie,Blondie - Heart Of Glass,Rock,,0.7286,-39.2,78.26666666666667,0.8971,0.186,0.75,3.0
2012,Blue Öyster Cult,Blue Oyster Cult - Don't Fear the Reaper,Rock,Classic Rock,0.7144,-27.5,97.89666666666669,0.85,0.552,0.857,3.0
2015,Born Jamericans,Born Jamericans - Sweet Honey,Reggae,,0.4994,-29.1,72.53466666666667,0.7993,0.628,0.566,3.0
2020,Brad Paisley,Brad Paisley - Mud On The Tires,Country,,0.8567,-28.3,75.452,0.9,0.559,0.792,3.0
2021,Brad Paisley,Brad Paisley - Old Alabama,Country,,0.9225,-28.6,83.59599999999999,0.9,0.63,0.916,3.0
2033,Brantley Gilbert,Brantley Gilbert - Country Must Be Country Wide,Country,,0.7071,-30.0,72.806,0.4634,0.368,0.468,3.0
2038,Brooks & Dunn,Brooks & Dunn - Hard Workin' Man,Country,,0.6939,-30.6,59.412,0.8978,0.395,0.678,3.0
2041,Brooks & Dunn,Brooks & Dunn - She's Not The Cheatin' Kind,Country,,0.8732,-31.6,65.31733333333334,0.9,0.37,0.819,3.0
2043,Bryan Martin,Bryan Martin - Divided States,Country,,0.7257,-24.8,64.53333333333333,0.8776,0.782,0.728,3.0
2045,Bryan Martin,Bryan Martin - We Ride,Country,,0.7615,-26.0,63.81666666666667,0.8,0.619,0.696,3.0
2046,Bubba Sparxxx,Bubba Sparxxx - Country Folks,Country,,0.6932,-26.3,74.50066666666667,0.9,0.666,0.871,3.0
2053,Buddy Brown,Buddy Brown - Don't Run From The Cops,Country,,0.8141,-26.7,59.33133333333333,0.8955,0.809,0.883,3.0
2059,Buddy Brown,Buddy Brown - Kids That Never Got Spanked,Country,,0.8001,-27.7,60.12066666666667,0.588,0.681,0.935,3.0
2066,Carrie Underwood,Carrie Underwood - Church Bells,Pop,,0.8392,-20.7,66.75533333333334,0.5607,0.85,0.63,3.0
2073,Chase Matthew,Chase Matthew - County Line,Country,,0.8018,-25.3,75.60333333333334,0.8474,0.734,0.822,3.0
2082,Chris Stapleton,Chris Stapleton - Fire Away,Country,,0.6297,-37.7,85.61399999999999,0.8962,0.271,0.782,3.0
2084,Chris Stapleton,Chris Stapleton - Hard Livin',Country,,0.6065,-31.9,60.11599999999999,0.8978,0.56,0.793,3.0
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,,0.559,-29.8,74.668,0.589,0.648,0.789,3.0
2090,Chris Stapleton,Chris Stapleton - Second One To Know,Country,,0.7297,-28.0,60.75866666666667,0.8895,0.583,0.861,3.0
2102,Chris Young,Chris Young - Who I Am with You,Country,,0.8522,-26.4,68.17266666666667,0.9,0.644,0.572,3.0
2105,Clay Walker,Clay Walker - If I Could Make a Living,Country,,0.8874,-22.8,46.693333333333335,0.8875,0.751,0.759,3.0
2111,Clay Walker,Clay Walker - What's It To You,Country,,0.7758,-31.5,57.72466666666666,0.9,0.255,0.776,3.0
2115,Collin Raye,Collin Raye - Little Red Rodeo,Country,,0.7901,-24.8,71.39,0.85,0.59,0.901,3.0
2116,Confederate Railroad,Confederate Railroad - Daddy Never Was The Cadillac Kind,Country,,0.8243,-34.9,74.98199999999999,0.9,0.271,0.604,3.0
2117,Confederate Railroad,Confederate Railroad - She Took It Like A Man,Country,,0.7733,-40.7,55.5,0.8989,0.132,0.73,3.0
