track_id,original_genre,v2_genre,harmonic_stability,loudness_lufs,avg_section_duration,tempo_stability,energy,danceability,section_count
1924,Rock,Rock,0.6212,-24.9,77.42266666666666,0.9,0.558,0.837,3.0
1926,Folk,Other,0.7975,-25.1,109.08133333333336,0.8976,0.567,0.893,3.0
1932,Country,Country,0.8975,-29.8,63.23066666666667,0.9,0.515,0.722,3.0
1943,Hip-Hop,Hip-Hop,1.0,-21.6,75.8,0.9,1.0,0.796,3.0
1945,Hip-Hop,Hip-Hop,0.4597,-29.0,67.978,0.7972,0.412,0.485,3.0
1949,Rock,Rock,0.6163,-20.5,77.41733333333333,0.7986,0.889,0.796,3.0
1954,Rock,Rock,0.6919,-27.1,74.044,0.9,0.521,0.875,3.0
1959,Country,Country,0.7966,-41.7,57.379333333333335,0.85,0.144,0.734,3.0
1960,Country,Country,0.7865,-29.1,76.87933333333332,0.8982,0.429,0.841,3.0
1962,Country,Country,0.7531,-35.9,79.81266666666666,0.8928,0.3,0.785,3.0
1963,Country,Country,0.6824,-32.8,99.75866666666668,0.9,0.421,0.838,3.0
1965,Pop,Pop,0.651,-26.5,121.911,0.85,0.371,0.819,2.0
1971,World,Other,0.705,-25.2,115.046,0.8696,0.726,0.874,3.0
1977,Rock,Rock,0.7019,-22.1,79.66799999999999,0.5968,0.802,0.63,3.0
1980,Metal,Metal,0.5989,-22.5,72.19066666666667,0.8732,0.752,0.962,3.0
1983,Country,Country,0.7827,-26.5,67.3,0.8989,0.781,0.973,3.0
1986,Country,Country,0.5852,-28.3,65.02733333333333,0.8949,0.433,0.842,3.0
1988,Rock,Rock,0.8563,-26.7,82.442,0.8992,0.5,0.518,3.0
1990,Rock,Rock,0.8497,-26.2,88.98066666666666,0.8492,0.688,0.813,3.0
1998,Rock,Rock,0.7072,-22.6,65.13000000000001,0.9,0.861,0.98,3.0
2000,Rock,Rock,0.9029,-24.0,89.73133333333335,0.8492,0.644,0.572,3.0
2001,Rock,Rock,0.7614,-25.0,90.92199999999998,0.8989,0.777,0.971,3.0
2004,Country,Country,0.6899,-23.2,83.81333333333333,0.5304,0.288,0.438,3.0
2011,Rock,Rock,0.7286,-39.2,78.26666666666667,0.8971,0.186,0.75,3.0
