group_id,file_path,original_name,proposed_name,size_bytes,size_mb,quality_score,normalized_key,file_hash,subfolder,group_type,exists,notes
G0001,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg.mp3,50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg.mp3,50 Cent - 21 Questions ft. Nate Dogg (Music Video).mp3,8765949,8.4,55,50 cent 21 questions ft nate dogg,aca5e53cfc4e44e2,Top1000_HipHop,byte_identical,True,content_suffix
G0001,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions ft. Nate Dogg.mp3,50 Cent - 21 Questions ft. Nate Dogg.mp3,50 Cent - 21 Questions ft. Nate Dogg (Version 2).mp3,8765949,8.4,65,50 cent 21 questions ft nate dogg,aca5e53cfc4e44e2,Top1000_HipHop,byte_identical,True,index_suffix
G0002,C:\Users\suppo\Downloads\New Music\Top1000\50 Cent - In Da Club.mp3,50 Cent - In Da Club.mp3,50 Cent - In Da Club (General).mp3,7653625,7.3,65,50 cent in da club,1b6f33922b89b9b5,Top1000,byte_identical,True,subfolder_suffix
G0002,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - In Da Club.mp3,50 Cent - In Da Club.mp3,50 Cent - In Da Club (HipHop).mp3,7653625,7.3,65,50 cent in da club,1b6f33922b89b9b5,Top1000_HipHop,byte_identical,True,subfolder_suffix
G0003,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation (Official HD Video).mp3,A Tribe Called Quest - Electric Relaxation (Official HD Video).mp3,A Tribe Called Quest - Electric Relaxation (Music Video).mp3,7925880,7.6,50,a tribe called quest electric relaxation,6ec279c27d02b4e9,Top1000_HipHop,byte_identical,True,content_suffix
G0003,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation.mp3,A Tribe Called Quest - Electric Relaxation.mp3,A Tribe Called Quest - Electric Relaxation (Version 2).mp3,7925880,7.6,65,a tribe called quest electric relaxation,6ec279c27d02b4e9,Top1000_HipHop,byte_identical,True,index_suffix
G0004,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Alone.mp3,Alan Walker - Alone.mp3,Alan Walker - Alone (General).mp3,6586496,6.3,60,alan walker alone,38870209fccbe5ec,Top1000,byte_identical,True,subfolder_suffix
G0004,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Alone.mp3,Alan Walker - Alone.mp3,Alan Walker - Alone (Club).mp3,6586496,6.3,60,alan walker alone,38870209fccbe5ec,Top1000_Club,byte_identical,True,subfolder_suffix
G0005,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Sing Me To Sleep (Marshmello Remix).mp3,Alan Walker - Sing Me To Sleep (Marshmello Remix).mp3,Alan Walker - Sing Me to Sleep (Marshmello Remix).mp3,6858292,6.5,65,alan walker sing me to sleep,6d3c26dafd2facf8,Top1000_Club,same_song_diff_size,True,content_suffix
G0005,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Sing Me To Sleep.mp3,Alan Walker - Sing Me To Sleep.mp3,Alan Walker - Sing Me to Sleep (Version 2).mp3,6308506,6.0,65,alan walker sing me to sleep,0fbfa8938ae8ea9f,Top1000_Club,same_song_diff_size,True,index_suffix
