file_path,duplicate_of,reason,confidence,recommended_action,notes,priority_score
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\175 - 2Pac - I Get Around.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\175 - 2pac - I Get Around.mp3,Hash-identical to READY copy (175 - 2pac - I Get Around.mp3). Hash: 258d8618a88dbd49...,1.0,DELETE_SAFE,Size: 9333219 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Ambitionz Az A Ridah.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\2pac - Ambitionz Az a Ridah.mp3,Hash-identical to READY copy (2pac - Ambitionz Az a Ridah.mp3). Hash: f79a86617ecaca72...,1.0,DELETE_SAFE,Size: 8233910 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Beastie Boys - Intergalactic.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Beastie Boys - Intergalactic.mp3,Hash-identical to READY copy (Beastie Boys - Intergalactic.mp3). Hash: e503d541e3b73462...,1.0,DELETE_SAFE,Size: 9806829 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Biggie Smalls - Notorious Thugs.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Biggie Smalls - Notorious Thugs.mp3,Hash-identical to READY copy (Biggie Smalls - Notorious Thugs.mp3). Hash: b325094397eef734...,1.0,DELETE_SAFE,Size: 12004971 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Sabbath - Sweet Leaf.mp3,Hash-identical to READY copy (Black Sabbath - Sweet Leaf.mp3). Hash: 802e6965401a612f...,1.0,DELETE_SAFE,Size: 8450180 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Black Star - Respiration ft. Common.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Star - Respiration ft. Common.mp3,Hash-identical to READY copy (Black Star - Respiration ft. Common.mp3). Hash: aa94c130a0d39710...,1.0,DELETE_SAFE,Size: 8772485 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs N Harmony - Crossroads.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bone Thugs N Harmony - Crossroads.mp3,Hash-identical to READY copy (Bone Thugs N Harmony - Crossroads.mp3). Hash: 8c5826285b7dfabc...,1.0,DELETE_SAFE,Size: 4849512 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,Hash-identical to READY copy (Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3). Hash: afb34063d3650b6b...,1.0,DELETE_SAFE,Size: 4759131 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Charlie Daniels Band - The South's Gonna Do It (Live).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Charlie Daniels Band - The South's Gonna Do it (Live).mp3,Hash-identical to READY copy (Charlie Daniels Band - The South's Gonna Do it (Li). Hash: 572dee48780563c3...,1.0,DELETE_SAFE,Size: 5654334 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Craig Mack - Flava In Ya Ear.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Craig Mack - Flava in Ya Ear.mp3,Hash-identical to READY copy (Craig Mack - Flava in Ya Ear.mp3). Hash: 08018b3c5a93e160...,1.0,DELETE_SAFE,Size: 9954523 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dio - The Last In Line.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dio - The Last in Line.mp3,Hash-identical to READY copy (Dio - The Last in Line.mp3). Hash: 6c09395b68be7e5a...,1.0,DELETE_SAFE,Size: 11216024 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Dr Dre - Nuthin but a Thang.mp3,Hash-identical to READY copy (Dr Dre - Nuthin but a Thang.mp3). Hash: 90f8290eec8144fa...,1.0,DELETE_SAFE,Size: 9157861 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Eazy-e - Real Muthaphuckkin G's.mp3,Hash-identical to READY copy (Eazy-e - Real Muthaphuckkin G's.mp3). Hash: 5cabedb1bbda16a6...,1.0,DELETE_SAFE,Size: 9331834 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_Country\Eric Church - Over When Its Over.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Eric Church - Over When Its Over.mp3,Hash-identical to READY copy (Eric Church - Over When Its Over.mp3). Hash: ebf6caefdb9ddaed...,1.0,DELETE_SAFE,Size: 6774607 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Gang Starr - Above The Clouds.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Gang Starr - Above the Clouds.mp3,Hash-identical to READY copy (Gang Starr - Above the Clouds.mp3). Hash: 70b38a494c322c3f...,1.0,DELETE_SAFE,Size: 6495281 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Geto Boys - Mind Playing Tricks On Me.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Geto Boys - Mind Playing Tricks on Me.mp3,Hash-identical to READY copy (Geto Boys - Mind Playing Tricks on Me.mp3). Hash: 8435f6a06a9325c4...,1.0,DELETE_SAFE,Size: 7444535 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Hank Williams Jr - Simple Man.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Hank Williams Jr - Simple Man.mp3,Hash-identical to READY copy (Hank Williams Jr - Simple Man.mp3). Hash: 37e48b53fcc0b42f...,1.0,DELETE_SAFE,Size: 7508888 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Heaven and Hell - Black Sabbath lyrics.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Heaven and Hell - Black Sabbath Lyrics.mp3,Hash-identical to READY copy (Heaven and Hell - Black Sabbath Lyrics.mp3). Hash: d2bb27bb9d91a69e...,1.0,DELETE_SAFE,Size: 12002378 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ice Cube - It Was A Good Day.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ice Cube - It Was a Good Day.mp3,Hash-identical to READY copy (Ice Cube - It Was a Good Day.mp3). Hash: 3e39ece0d78a0adf...,1.0,DELETE_SAFE,Size: 10537163 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ice Cube - You Know How We Do It.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ice Cube - You Know How We Do It.mp3,Hash-identical to READY copy (Ice Cube - You Know How We Do It.mp3). Hash: ec79de60216220a9...,1.0,DELETE_SAFE,Size: 7844527 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000\Kelly Clarkson - mine.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Kelly Clarkson - Mine.mp3,Hash-identical to READY copy (Kelly Clarkson - Mine.mp3). Hash: 43efe13579c69dfd...,1.0,DELETE_SAFE,Size: 6151047 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney - Til Its Gone.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Kenny Chesney - Til Its Gone.mp3,Hash-identical to READY copy (Kenny Chesney - Til Its Gone.mp3). Hash: 171a1af1574a3e59...,1.0,DELETE_SAFE,Size: 5972205 bytes. Source exists.,5
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Led Zeppelin - Rock and Roll HQ.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Led Zeppelin - Rock and Roll Hq.mp3,Hash-identical to READY copy (Led Zeppelin - Rock and Roll Hq.mp3). Hash: 5a3a139d47e9a435...,1.0,DELETE_SAFE,Size: 7211106 bytes. Source exists.,5
