original_path,blocked_name,proposed_safe_name,confidence,requires_review,method,notes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg.mp3,50 Cent - 21 Questions ft. Nate Dogg (Music Video).mp3,50 Cent - 21 Questions ft. Nate Dogg (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation (Official HD Video).mp3,A Tribe Called Quest - Electric Relaxation (Music Video).mp3,A Tribe Called Quest - Electric Relaxation (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know (Alesso & Deniz Koyu Remix ⧸ Audio) ft. Nico & Vinz.mp3,Alesso - I Wanna Know ft. Nico & Vinz (Alesso & Deniz Koyu Remix ⧸ Au).mp3,Alesso - I Wanna Know ft. Nico & Vinz (Alesso & Deniz Koyu Remix - Au).mp3,0.9,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.mp3","Best Motown Hits of All Time 🎶 Soul Legends - Marvin Gaye, Smokey Robinson & James Brown.mp3","Best Motown Hits of All Time Soul Legends - Marvin Gaye, Smokey Robinson & James Brown.mp3",0.9,no,clean_and_retry,"cs=illegal_chars, needs sanitization, conf=0.3"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big L - Put It On (Official Music Video).mp3,Big L - Put it On (Music Video).mp3,Big L - Put it On (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Still Not a Player (Official Video) ft. Joe.mp3,Big Pun - Still Not a Player ft. Joe (Music Video).mp3,Big Pun - Still Not a Player ft. Joe (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Cypress Hill - Insane In The Brain (Official HD Video).mp3,Cypress Hill - Insane in the Brain (Music Video).mp3,Cypress Hill - Insane in the Brain (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\DELAIN - The Quest And The Curse (Official Video) ｜ Napalm Records.mp3,Delain - The Quest and the Curse Napalm Records.mp3,Delain - The Quest and the Curse Napalm Records (Alt 1).mp3,0.8,no,clean_and_retry,"cs=illegal_chars, needs sanitization, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Ocarina) (Official Videoclip).mp3,Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Music Video).mp3,Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Music Video) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs Sander van Doorn - Project T (Martin Garrix Remix).mp3,Dimitri Vegas & Like Mike vs Sander Van Doorn - Project T (Martin Garrix Remix).mp3,Dimitri Vegas & Like Mike vs Sander Van Doorn - Project T (Martin Garrix Remix) (Alt 1).mp3,0.8,no,generate_alt_name,"cs=COLLISION(2), dup=exact_collision, ds=RESOLVED_ALTERNATE, conf=1.0"
