original_path,proposed_name,existing_ready_path,conflict_type,recommended_action,notes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\175 - 2Pac - I Get Around.mp3,175 - 2pac - I Get Around.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\175 - 2pac - I Get Around.mp3,TRUE_DUPLICATE,remain_blocked,"Hash match, size=9,333,219 | ds=RESOLVED_PRIMARY"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Ambitionz Az A Ridah.mp3,2pac - Ambitionz Az a Ridah.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\2pac - Ambitionz Az a Ridah.mp3,TRUE_DUPLICATE,remain_blocked,"Hash match, size=8,233,910 | ds=RESOLVED_PRIMARY"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Beastie Boys - Intergalactic.mp3,Beastie Boys - Intergalactic.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Beastie Boys - Intergalactic.mp3,TRUE_DUPLICATE,remain_blocked,"Hash match, size=9,806,829 | ds=RESOLVED_PRIMARY"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Biggie Smalls - Notorious Thugs.mp3,Biggie Smalls - Notorious Thugs.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Biggie Smalls - Notorious Thugs.mp3,TRUE_DUPLICATE,remain_blocked,"Hash match, size=12,004,971 | ds=RESOLVED_PRIMARY"
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.mp3,Black Sabbath - Sweet Leaf.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Sabbath - Sweet Leaf.mp3,TRUE_DUPLICATE,remain_blocked,"Hash match, size=8,450,180 | ds=RESOLVED_PRIMARY"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Black Star - Respiration ft. Common.mp3,Black Star - Respiration ft. Common.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Black Star - Respiration ft. Common.mp3,TRUE_DUPLICATE,remain_blocked,"Hash match, size=8,772,485 | ds=RESOLVED_PRIMARY"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs N Harmony - Crossroads.mp3,Bone Thugs N Harmony - Crossroads.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bone Thugs N Harmony - Crossroads.mp3,TRUE_DUPLICATE,remain_blocked,"Hash match, size=4,849,512 | ds=RESOLVED_PRIMARY"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,TRUE_DUPLICATE,remain_blocked,"Hash match, size=4,759,131 | ds=RESOLVED_PRIMARY"
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Charlie Daniels Band - The South's Gonna Do It (Live).mp3,Charlie Daniels Band - The South's Gonna Do it (Live).mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Charlie Daniels Band - The South's Gonna Do it (Live).mp3,TRUE_DUPLICATE,remain_blocked,"Hash match, size=5,654,334 | ds=RESOLVED_PRIMARY"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Craig Mack - Flava In Ya Ear.mp3,Craig Mack - Flava in Ya Ear.mp3,C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Craig Mack - Flava in Ya Ear.mp3,TRUE_DUPLICATE,remain_blocked,"Hash match, size=9,954,523 | ds=RESOLVED_PRIMARY"
