group_id,source_type,member_count,selected_primary_path,selected_primary_name,primary_quality_score,primary_size_mb,reason,confidence
G0001,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions ft. Nate Dogg.mp3,50 Cent - 21 Questions ft. Nate Dogg.mp3,65,8.4,quality=65; size=8.4MB; not temp file; margin=1000,high
G0002,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\50 Cent - In Da Club.mp3,50 Cent - In Da Club.mp3,65,7.3,quality=65; size=7.3MB; not temp file; margin=0,low
G0003,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation.mp3,A Tribe Called Quest - Electric Relaxation.mp3,65,7.6,quality=65; size=7.6MB; not temp file; margin=1500,high
G0004,collision,2,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Alone.mp3,Alan Walker - Alone.mp3,60,6.3,quality=60; size=6.3MB; not temp file; margin=0,low
G0005,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Sing Me To Sleep (Marshmello Remix).mp3,Alan Walker - Sing Me To Sleep (Marshmello Remix).mp3,65,6.5,quality=65; size=6.5MB; not temp file; margin=0,low
G0006,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know ft. Nico & Vinz.mp3,Alesso - I Wanna Know ft. Nico & Vinz.mp3,65,8.7,quality=65; size=8.7MB; not temp file; margin=798,high
G0007,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_Blues\Allman Brothers Band - Soulshine.mp3,Allman Brothers Band - Soulshine.mp3,65,11.6,quality=65; size=11.6MB; not temp file; margin=0,low
G0008,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_Club\Axwell Λ Ingrosso - Thinking About You (Festival Mix).mp3,Axwell Λ Ingrosso - Thinking About You (Festival Mix).mp3,65,10.4,quality=65; size=10.4MB; not temp file; margin=3,low
G0009,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big L - Put It On.mp3,Big L - Put It On.mp3,60,6.2,quality=60; size=6.2MB; not temp file; margin=500,high
G0010,collision,2,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Big Pun - Still Not a Player ft. Joe.mp3,Big Pun - Still Not a Player ft. Joe.mp3,65,8.7,quality=65; size=8.7MB; not temp file; margin=1000,high
