file_path,primary_file,reason,confidence,recommended_action,notes,priority_score
C:\Users\suppo\Downloads\New Music\Top1000\50 Cent - In Da Club.mp3,C:\Users\suppo\Downloads\New Music\Top1000\50 Cent - In Da Club.mp3,Selected as primary for group G0002. quality=65; size=7.3MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0002, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Alone.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Alone.mp3,Selected as primary for group G0004. quality=60; size=6.3MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0004, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Spectre.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - The Spectre.mp3,Group G0086: alternate copy. Primary=Alan Walker - The Spectre.mp3,low,ARCHIVE_DUPLICATE,"Group G0086, role=alternate, state=COMPLEX_DUPLICATE, source=near_duplicate. Alt name: Alan Walker - Spectre (Version 2).mp3",2
C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - The Spectre.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - The Spectre.mp3,Selected as primary for group G0086. quality=65; size=7.2MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0086, role=primary, state=NEEDS_REVIEW, source=near_duplicate. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris - Summer.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris - Summer.mp3,Selected as primary for group G0012. quality=65; size=7.6MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0012, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
"C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris, Rihanna - This Is What You Came For.mp3","C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris, Rihanna - This Is What You Came For.mp3",Selected as primary for group G0013. quality=65; size=7.7MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0013, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Clean Bandit - Rockabye.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Clean Bandit - Rockabye.mp3,Selected as primary for group G0015. quality=60; size=8.2MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0015, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Coldplay - Hymn For The Weekend.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Coldplay - Hymn For The Weekend.mp3,Selected as primary for group G0016. quality=65; size=9.0MB; not temp file; margin=1,low,KEEP_PRIMARY,"Group G0016, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise ft. L.V..mp3,C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise ft. L.V..mp3,Selected as primary for group G0017. quality=65; size=8.4MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0017, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise.mp3,Selected as primary for group G0018. quality=65; size=8.5MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0018, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\DJ Snake - Let Me Love You ft. Justin Bieber.mp3,C:\Users\suppo\Downloads\New Music\Top1000\DJ Snake - Let Me Love You ft. Justin Bieber.mp3,Selected as primary for group G0026. quality=65; size=6.4MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0026, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂Gods Eyes＂.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,Group G0021: alternate copy. Primary=Dax - ＂The Devils Calling＂.mp3,high,ARCHIVE_DUPLICATE,"Group G0021, role=alternate, state=RESOLVED_ALTERNATE, source=collision. Alt name: Dax - ＂Gods Eyes＂ (Version 2).mp3",2
C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂PTSD＂.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,Group G0021: alternate copy. Primary=Dax - ＂The Devils Calling＂.mp3,high,ARCHIVE_DUPLICATE,"Group G0021, role=alternate, state=RESOLVED_ALTERNATE, source=collision. Alt name: Dax - ＂PTSD＂ (Version 3).mp3",2
C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,Selected as primary for group G0021. quality=59; size=5.8MB; not temp file; margin=499,high,KEEP_PRIMARY,"Group G0021, role=primary, state=RESOLVED_PRIMARY, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂To Be A Man＂.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,Group G0021: alternate copy. Primary=Dax - ＂The Devils Calling＂.mp3,high,ARCHIVE_DUPLICATE,"Group G0021, role=alternate, state=RESOLVED_ALTERNATE, source=collision. Alt name: Dax - ＂To Be A Man＂ (Version 5).mp3",2
C:\Users\suppo\Downloads\New Music\Top1000\Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,Selected as primary for group G0027. quality=65; size=9.6MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0027, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Lose Yourself.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Lose Yourself.mp3,Selected as primary for group G0029. quality=65; size=7.5MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0029, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Mockingbird.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Mockingbird.mp3,Selected as primary for group G0030. quality=65; size=8.3MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0030, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Rap God.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Rap God.mp3,Selected as primary for group G0032. quality=60; size=12.2MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0032, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Without Me.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Eminem - Without Me.mp3,Selected as primary for group G0033. quality=60; size=9.0MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0033, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\George Michael - Careless Whisper (Official 4K Video).mp3,C:\Users\suppo\Downloads\New Music\Top1000\George Michael - Careless Whisper.mp3,Group G0035: alternate copy. Primary=George Michael - Careless Whisper.mp3,high,ARCHIVE_DUPLICATE,"Group G0035, role=alternate, state=RESOLVED_ALTERNATE, source=collision. Alt name: George Michael - Careless Whisper (Offic",2
C:\Users\suppo\Downloads\New Music\Top1000\George Michael - Careless Whisper.mp3,C:\Users\suppo\Downloads\New Music\Top1000\George Michael - Careless Whisper.mp3,Selected as primary for group G0035. quality=65; size=10.1MB; not temp file; margin=1000,high,KEEP_PRIMARY,"Group G0035, role=primary, state=RESOLVED_PRIMARY, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Imagine Dragons - Believer.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Imagine Dragons - Believer.mp3,Selected as primary for group G0037. quality=65; size=7.0MB; not temp file; margin=0,low,KEEP_PRIMARY,"Group G0037, role=primary, state=NEEDS_REVIEW, source=collision. Alt name: ",3
C:\Users\suppo\Downloads\New Music\Top1000\Kelly Clarkson - me.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Kelly Clarkson - mine.mp3,Group G0082: alternate copy. Primary=Kelly Clarkson - mine.mp3,high,ARCHIVE_DUPLICATE,"Group G0082, role=alternate, state=RESOLVED_ALTERNATE, source=near_duplicate. Alt name: Kelly Clarkson - me (Version 2).mp3",2
