file_path,filename_artist,filename_title
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\017 - Ice Cube - it Was a Good Day.mp3,017,Ice Cube - it Was a Good Day
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\026 - Bone Thugs N Harmony - Crossroads.mp3,026,Bone Thugs N Harmony - Crossroads
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\030 - Snoop Dogg - Gin and Juice.mp3,030,Snoop Dogg - Gin and Juice
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\098 - Queen Latifah - U.n.i.t.y..mp3,098,Queen Latifah - U.n.i.t.y.
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\102 - Eazy-e - Real Muthaphuckkin G's.mp3,102,Eazy-e - Real Muthaphuckkin G's
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\175 - 2pac - I Get Around.mp3,175,2pac - I Get Around
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\236 - Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,236,Bone Thugs N Harmony - Thuggish Ruggish Bone
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\2pac - Ambitionz Az a Ridah.mp3,2pac,Ambitionz Az a Ridah
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\2pac - I Get Around.mp3,2pac,I Get Around
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\2pac - Keep Ya Head up (From Album - Strictly 4 My N.i.g.g.a.z.mp3,2pac,Keep Ya Head up (From Album - Strictly 4 My N.i.g.g.a.z
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\319 - Beastie Boys - Intergalactic.mp3,319,Beastie Boys - Intergalactic
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\390 - Ice Cube - You Know How We Do It.mp3,390,Ice Cube - You Know How We Do It
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\440 - The Roots - You Got Me ft. Erykah Badu.mp3,440,The Roots - You Got Me ft. Erykah Badu
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\50 Cent - 21 Questions ft. Nate Dogg (Music Video) (Alt 1).mp3,50 Cent,21 Questions ft. Nate Dogg (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\530 - Black Star - Respiration ft. Common.mp3,530,Black Star - Respiration ft. Common
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ the Darkest of Winters ⧸....mp3,A Change of Seasons,The Crimson Sunrise / Innocence / Carpe Diem / the Darkest of Winters /...
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\A Tribe Called Quest - Electric Relaxation (Music Video) (Alt 1).mp3,A Tribe Called Quest,Electric Relaxation (Music Video) (Alt 1)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\AC-DC - Back in Black.mp3,AC-DC,Back in Black
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\AC-DC - Hells Bells.mp3,AC-DC,Hells Bells
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\AC-DC - Highway to Hell.mp3,AC-DC,Highway to Hell
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\AC-DC - Let There Be Rock.mp3,AC-DC,Let There Be Rock
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\AC-DC - You Shook Me All Night Long.mp3,AC-DC,You Shook Me All Night Long
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Animals Napalm Records.mp3,Ad Infinitum,Animals Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Eternal Rains Napalm Records.mp3,Ad Infinitum,Eternal Rains Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - From the Ashes Napalm Records.mp3,Ad Infinitum,From the Ashes Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Inferno Napalm Records.mp3,Ad Infinitum,Inferno Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Seth Napalm Records.mp3,Ad Infinitum,Seth Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Somewhere Better Napalm Records.mp3,Ad Infinitum,Somewhere Better Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Unstoppable Napalm Records.mp3,Ad Infinitum,Unstoppable Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ad Infinitum - Upside Down Napalm Records.mp3,Ad Infinitum,Upside Down Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Aephanemer - Antigone Napalm Records.mp3,Aephanemer,Antigone Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Aephanemer - Panta Rhei Napalm Records.mp3,Aephanemer,Panta Rhei Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Aero Chord Feat. Ddark - Shootin Stars ｜ Trap ｜ Ncs - Copyright Free Music.mp3,Aero Chord Feat. Ddark,Shootin Stars | Trap | Ncs - Copyright Free Music
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Alan Jackson - Anywhere On Earth You Are.mp3,Alan Jackson,Anywhere On Earth You Are
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Alan Jackson - Knew All Along.mp3,Alan Jackson,Knew All Along
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Albert Collins - Ice Pick.mp3,Albert Collins,Ice Pick
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Alesso - I Wanna Know ft. Nico & Vinz (Alesso & Deniz Koyu Remix - Au).mp3,Alesso,I Wanna Know ft. Nico & Vinz (Alesso & Deniz Koyu Remix - Au)
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Amberian Dawn - Super Trouper Napalm Records.mp3,Amberian Dawn,Super Trouper Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Amberian Dawn - Temptation's Gates Napalm Records.mp3,Amberian Dawn,Temptation's Gates Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Amberian Dawn - The Day Before You Came Napalm Records.mp3,Amberian Dawn,The Day Before You Came Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Ambitionz Az - A Ridah.mp3,Ambitionz Az,A Ridah
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - 6666 Napalm Records.mp3,Angus Mcsix,6666 Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Dig Down (Feat. Van Canto) Napalm Records.mp3,Angus Mcsix,Dig Down (Feat. Van Canto) Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - I Am Adam Mcsix Feat. Rhapsody of Fire + Alex Krull Napalm Records.mp3,Angus Mcsix,I Am Adam Mcsix Feat. Rhapsody of Fire + Alex Krull Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Laser-shooting Dinosaur Napalm Records.mp3,Angus Mcsix,Laser-shooting Dinosaur Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Master of the Universe Napalm Records.mp3,Angus Mcsix,Master of the Universe Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Ride to Hell Napalm Records.mp3,Angus Mcsix,Ride to Hell Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - Sixcalibur Napalm Records.mp3,Angus Mcsix,Sixcalibur Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Angus Mcsix - The Fire of Yore Feat. Uwe Ochsenknecht Napalm Records.mp3,Angus Mcsix,The Fire of Yore Feat. Uwe Ochsenknecht Napalm Records
"C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Aronchupa, Little Sis Nora - Im an Albatraoz ｜ Official Video.mp3","Aronchupa, Little Sis Nora",Im an Albatraoz |
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Avantasia - The Witch (Feat. Tommy Karevik) Napalm Records.mp3,Avantasia,The Witch (Feat. Tommy Karevik) Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Avicii - Levels Skrillex Remix.mp3,Avicii,Levels Skrillex Remix
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\B. B. King - The Thrill is Gone ｜ Stages.mp3,B. B. King,The Thrill is Gone | Stages
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Bad Bunny - Estamos Bien ｜ X100pre.mp3,Bad Bunny,Estamos Bien | X100pre
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Battlelore - Chambers of Fire Napalm Records.mp3,Battlelore,Chambers of Fire Napalm Records
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\Battlelore - Elvenking Napalm Records.mp3,Battlelore,Elvenking Napalm Records
