file_path,original_name,cleaned_name,issue_type,confidence,recommended_action,auto_clean,notes,priority_score
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8 Ball and MJG- Space Age Pimpin.mp3,8 Ball and MJG- Space Age Pimpin.mp3,8 Ball and MJG - Space Age Pimpin.mp3,LOW_CONFIDENCE,0.7,RENAME,false,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000\Aaria- Thug Love ft. Dreamdoll.mp3,Aaria- Thug Love ft. Dreamdoll.mp3,Aaria - Thug Love ft. Dreamdoll.mp3,LOW_CONFIDENCE,0.7,RENAME,false,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\ACDC- For Those About To Rock (with lyrics).mp3,ACDC- For Those About To Rock (with lyrics).mp3,AC-DC - For Those About To Rock.mp3,LOW_CONFIDENCE,0.85,RENAME,true,stripped:\bwith\s+lyrics\b,2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson- Everything I Love.mp3,Alan Jackson- Everything I Love.mp3,Alan Jackson - Everything I Love.mp3,LOW_CONFIDENCE,0.7,RENAME,false,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\All my Exs live in Texas- George Strait.mp3,All my Exs live in Texas- George Strait.mp3,George Strait - All My Exs Live In Texas.mp3,LOW_CONFIDENCE,1,RENAME,false,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\American Girl performed by Tom Petty.mp3,American Girl performed by Tom Petty.mp3,Tom Petty - American Girl.mp3,LOW_CONFIDENCE,0.7,RENAME,false,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Audio Two- Top Billin.mp3,Audio Two - Top Billin.mp3,Audio Two - Top Billin.mp3,LOW_CONFIDENCE,0.7,RENAME,false,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Blues\B.B. King- Everyday I have the Blues.mp3,B.B. King- Everyday I have the Blues.mp3,B.B. King - Everyday I Have the Blues.mp3,LOW_CONFIDENCE,1,RENAME,false,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Back Where I Come From- Kenny Chesney.mp3,Back Where I Come From- Kenny Chesney.mp3,Back Where I Come From - Kenny Chesney.mp3,LOW_CONFIDENCE,0.7,RENAME,false,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000_Classical\Beethoven Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3","Beethoven Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3","Beethoven - Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3",LOW_CONFIDENCE,0.7,RENAME,false,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
