track_id,genre,subgenre,bpm_detected,tempo_stability,key_detected,harmonic_stability,bass_energy,mid_energy,high_energy,spectral_centroid,spectral_rolloff,spectral_flux,transient_density,onset_density,vocal_presence,instrumentalness,drum_presence,guitar_presence,synth_presence,section_repeat_score,dynamic_range_score,loudness_lufs,energy,danceability,valence,zero_crossing_rate,rms_mean,spectral_bandwidth,section_count,avg_section_duration
1924,Rock,,143.6,0.9,9A,0.6212,,,,,,,,,,,,,,,,-24.9,0.558,0.837,,,,,3.0,77.42266666666666
1926,Folk,,99.4,0.8976,3B,0.7975,,,,,,,,,,,,,,,,-25.1,0.567,0.893,,,,,3.0,109.08133333333335
1932,Country,,86.1,0.9,6B,0.8975,,,,,,,,,,,,,,,,-29.8,0.515,0.722,,,,,3.0,63.23066666666667
1943,Hip-Hop,,86.1,0.9,8B,1.0,,,,,,,,,,,,,,,,-21.6,1.0,0.796,,,,,3.0,75.8
1945,Hip-Hop,,83.4,0.7972,6A,0.4597,,,,,,,,,,,,,,,,-29.0,0.412,0.485,,,,,3.0,67.978
1949,Rock,Classic Rock,172.3,0.7986,10B,0.6163,,,,,,,,,,,,,,,,-20.5,0.889,0.796,,,,,3.0,77.41733333333333
1954,Rock,Classic Rock,112.3,0.9,8A,0.6919,,,,,,,,,,,,,,,,-27.1,0.521,0.875,,,,,3.0,74.044
1959,Country,,123.0,0.85,1A,0.7966,,,,,,,,,,,,,,,,-41.7,0.144,0.734,,,,,3.0,57.379333333333335
1960,Country,,129.2,0.8982,12B,0.7865,,,,,,,,,,,,,,,,-29.1,0.429,0.841,,,,,3.0,76.87933333333332
1962,Country,,143.6,0.8928,7A,0.7531,,,,,,,,,,,,,,,,-35.9,0.3,0.785,,,,,3.0,79.81266666666666
1963,Country,,129.2,0.9,9B,0.6824,,,,,,,,,,,,,,,,-32.8,0.421,0.838,,,,,3.0,99.75866666666667
1965,Pop,,129.2,0.85,7A,0.651,,,,,,,,,,,,,,,,-26.5,0.371,0.819,,,,,2.0,121.911
1971,World,,94.5,0.8696,11B,0.705,,,,,,,,,,,,,,,,-25.2,0.726,0.874,,,,,3.0,115.04599999999999
1977,Rock,Classic Rock,107.7,0.5968,9A,0.7019,,,,,,,,,,,,,,,,-22.1,0.802,0.63,,,,,3.0,79.66799999999999
1980,Metal,,112.3,0.8732,6A,0.5989,,,,,,,,,,,,,,,,-22.5,0.752,0.962,,,,,3.0,72.19066666666667
1983,Country,,107.7,0.8989,8B,0.7827,,,,,,,,,,,,,,,,-26.5,0.781,0.973,,,,,3.0,67.3
1986,Country,,123.0,0.8949,12B,0.5852,,,,,,,,,,,,,,,,-28.3,0.433,0.842,,,,,3.0,65.02733333333333
