library_path,title,artist,genre,subgenre,label_role,confidence,notes
C:\Users\suppo\Music\38 Special - Back Where You Belong.mp3,38 Special - Back Where You Belong,38 Special,Pop,,primary,0.85,id3_tag:Pop
C:\Users\suppo\Music\38 Special - Caught Up In You.mp3,38 Special - Caught Up In You,38 Special,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\38 Special - Hold On Loosely.mp3,38 Special - Hold On Loosely,38 Special,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\38 Special - If I'd Been The One.mp3,38 Special - If I'd Been The One,38 Special,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\38 Special - Somebody Like You.mp3,38 Special - Somebody Like You,38 Special,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Aaron Lewis - Am I The Only One.mp3,Aaron Lewis - Am I The Only One,Aaron Lewis,Folk,,primary,0.85,id3_tag:Folk
C:\Users\suppo\Music\Aaron Lewis - Country Boy.mp3,Aaron Lewis - Country Boy,Aaron Lewis,Country,,primary,0.85,id3_tag:Country Folk
C:\Users\suppo\Music\Aaron Tippin - Big Boy Toys.mp3,Aaron Tippin - Big Boy Toys,Aaron Tippin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Aaron Tippin - He Believed.mp3,Aaron Tippin - He Believed,Aaron Tippin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Aaron Tippin - That's As Close As I'll Get To Loving You.mp3,Aaron Tippin - That's As Close As I'll Get To Loving You,Aaron Tippin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Aaron Tippin - The Call of the Wild.mp3,Aaron Tippin - The Call of the Wild,Aaron Tippin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Aaron Tippin - There Ain't Nothin' Wrong with the Radio.mp3,Aaron Tippin - There Ain't Nothin' Wrong with the Radio,Aaron Tippin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Aaron Tippin - Where The Stars And Stripes And The Eagle Fly.mp3,Aaron Tippin - Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Aaron Tippin - Working Man's Phd.mp3,Aaron Tippin - Working Man's Phd,Aaron Tippin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Aaron Tippin - You've Got to Stand for Something.mp3,Aaron Tippin - You've Got to Stand for Something,Aaron Tippin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\AC-DC - Flick of the Switch.mp3,AC-DC - Flick of the Switch,AC,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\AC-DC - Highway to Hell.mp3,AC-DC - Highway to Hell,AC,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\AC-DC - Money Talks.mp3,AC-DC - Money Talks,AC,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\AC-DC - Shoot To Thrill.mp3,AC-DC - Shoot To Thrill,AC,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\AC-DC - Who Made Who.mp3,AC-DC - Who Made Who,AC,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\Adam Calhoun feat. Demun Jones Brodnax Dusty Leigh - Gumbo.mp3,Adam Calhoun feat. Demun Jones Brodnax Dusty Leigh - Gumbo,Adam Calhoun,Hip-Hop,,primary,0.85,"id3_tag:Hip-Hop, Rap"
"C:\Users\suppo\Music\Adam Calhoun, Demun Jones, & Upchurch - World Went to Waste 2.0.mp3","Adam Calhoun, Demun Jones, & Upchurch - World Went to Waste 2.0",Adam Calhoun & Demun Jones,Hip-Hop,,primary,0.85,"id3_tag:Hip-Hop, Rap"
C:\Users\suppo\Music\Afroman - Because I Got High.mp3,Afroman - Because I Got High,Afroman,Hip-Hop,,primary,0.85,"id3_tag:Hip-Hop, Rap"
C:\Users\suppo\Music\Airbourne - Back In The Game.mp3,Airbourne - Back In The Game,Airbourne,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
"C:\Users\suppo\Music\Airbourne - Blonde, Bad And Beautiful.mp3","Airbourne - Blonde, Bad And Beautiful",Airbourne,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\Airbourne - Bottom Of The Well.mp3,Airbourne - Bottom Of The Well,Airbourne,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\Airbourne - Breakin' Outta Hell.mp3,Airbourne - Breakin' Outta Hell,Airbourne,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\Airbourne - Girls In Black.mp3,Airbourne - Girls In Black,Airbourne,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\Airbourne - It's All For Rock N' Roll.mp3,Airbourne - It's All For Rock N' Roll,Airbourne,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\Airbourne - Light It Up.mp3,Airbourne - Light It Up,Airbourne,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
"C:\Users\suppo\Music\Airbourne - Too Much, Too Young, Too Fast.mp3","Airbourne - Too Much, Too Young, Too Fast",Airbourne,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\Akon ft Eminem - Smack That .mp3,Akon ft Eminem - Smack That ,Akon featuring Eminem,Hip-Hop,,primary,0.85,id3_tag:Club Rap
C:\Users\suppo\Music\Alabama - If You're Gonna Play In Texas.mp3,Alabama - If You're Gonna Play In Texas,Alabama,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Alabama - Mountain Music.mp3,Alabama - Mountain Music,Alabama,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Alan Jackson - Drive.mp3,Alan Jackson - Drive,Alan Jackson,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Alan Jackson - Hard Hat And A Hammer.mp3,Alan Jackson - Hard Hat And A Hammer,Alan Jackson,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Alan Jackson - I Don't Even Know Your Name.mp3,Alan Jackson - I Don't Even Know Your Name,Alan Jackson,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Alan Jackson - Little Bitty.mp3,Alan Jackson - Little Bitty,Alan Jackson,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Alan Jackson - Midnight in Montgomery.mp3,Alan Jackson - Midnight in Montgomery,Alan Jackson,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Alan Jackson - Remember When.mp3,Alan Jackson - Remember When,Alan Jackson,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Alan Jackson - Who's Cheatin' Who.mp3,Alan Jackson - Who's Cheatin' Who,Alan Jackson,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Aldo Nova  -  Fantasy.mp3,Aldo Nova  -  Fantasy,Aldo Nova,Pop,,primary,0.85,id3_tag:Pop
C:\Users\suppo\Music\Alice Cooper - Poison.mp3,Alice Cooper - Poison,Alice Cooper,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\America - A Horse With No Name.mp3,America - A Horse With No Name,America,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Animotion - Obsession.mp3,Animotion - Obsession,Animotion,Pop,,primary,0.85,id3_tag:Pop
C:\Users\suppo\Music\Aaron Tippin - Drivin_Fool .mp3,Aaron Tippin - Drivin_Fool ,Aaron Tippin,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Austin Forman - Home Sweet Home.mp3,Austin Forman - Home Sweet Home,Austin Forman,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Ava Boyz - Aumaia Lou Alofa.mp3,Ava Boyz - Aumaia Lou Alofa,Ava Boyz,World,,primary,0.85,id3_tag:World
C:\Users\suppo\Music\Avenged Sevenfold - Hail To The King.mp3,Avenged Sevenfold - Hail To The King,Avenged Sevenfold,Metal,,primary,0.85,id3_tag:Metal
C:\Users\suppo\Music\Bad Company - Feel Like Making Love.mp3,Bad Company - Feel Like Making Love,Bad Company,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Bad Company - Good Lovin Gone Bad.mp3,Bad Company - Good Lovin Gone Bad,Bad Company,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Bad Company - Rock 'N' Roll Fantasy.mp3,Bad Company - Rock 'N' Roll Fantasy,Bad Company,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Bad Company - Shooting Star.mp3,Bad Company - Shooting Star,Bad Company,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Bad Wolves - Hear Me Now .mp3,Bad Wolves - Hear Me Now ,Bad Wolves,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\Bad Wolves - If Tomorrow Never Comes.mp3,Bad Wolves - If Tomorrow Never Comes,Bad Wolves,Metal,,primary,0.85,id3_tag:Metal
C:\Users\suppo\Music\Bad Wolves - No Masters.mp3,Bad Wolves - No Masters,Bad Wolves,Rock,Classic Rock,primary,0.85,id3_tag:Hard Rock
C:\Users\suppo\Music\Bad Wolves - Remember When.mp3,Bad Wolves - Remember When,Bad Wolves,Metal,,primary,0.85,id3_tag:Metal
C:\Users\suppo\Music\Big and Rich - Save a Horse Ride a Cowboy.mp3,Big and Rich - Save a Horse Ride a Cowboy,Big & Rich,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Billy Currington - Good Direction.mp3,Billy Currington - Good Direction,Billy Currington,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Billy Currington - Pretty Good At Drinkin' Beer.mp3,Billy Currington - Pretty Good At Drinkin' Beer,Billy Currington,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Billy Idol - Cradle Of Love.mp3,Billy Idol - Cradle Of Love,Billy Idol,Rock,Alternative,primary,0.85,id3_tag:New Wave
C:\Users\suppo\Music\Billy Idol - White Wedding.mp3,Billy Idol - White Wedding,Billy Idol,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Billy Joe Shaver - Georgia on a Fast Train.mp3,Billy Joe Shaver - Georgia on a Fast Train,Billy Joe Shaver,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Billy Joel - My Life.mp3,Billy Joel - My Life,Billy Joel,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Billy Joel - Only the Good Die Young.mp3,Billy Joel - Only the Good Die Young,Billy Joel,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Billy Joel - Pressure.mp3,Billy Joel - Pressure,Billy Joel,Pop,,primary,0.85,id3_tag:Pop
C:\Users\suppo\Music\Billy Joel - You May Be Right.mp3,Billy Joel - You May Be Right,Billy Joel,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Billy Ray Cyrus - Some Gave All.mp3,Billy Ray Cyrus - Some Gave All,Billy Ray Cyrus,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Billy Ray Cyrus - Words By Heart .mp3,Billy Ray Cyrus - Words By Heart ,Billy Ray Cyrus,Country,,primary,0.85,id3_tag:Country
C:\Users\suppo\Music\Billy Squier - Everybody Wants You.mp3,Billy Squier - Everybody Wants You,Billy Squier,Pop,,primary,0.85,id3_tag:Pop
C:\Users\suppo\Music\Billy Squier - The Stroke.mp3,Billy Squier - The Stroke,Billy Squier,Rock,Classic Rock,primary,0.85,id3_tag:Classic Rock
C:\Users\suppo\Music\Billy Squire - Lonely Is the Night.mp3,Billy Squire - Lonely Is the Night,Billy Squier,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Billy Squire - My Kinda Lover.mp3,Billy Squire - My Kinda Lover,Billy Squier,Rock,,primary,0.85,id3_tag:Rock
C:\Users\suppo\Music\Black Berry Smoke - Good One.mp3,Black Berry Smoke - Good One,Blackberry Smoke,Country,,primary,0.85,id3_tag:Country
