file_path,original_artist_guess,original_title_guess,suggested_artist,suggested_title,was_reversed,confidence_score,recommended_action,search_evidence_summary,top_result_urls
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8 Ball and MJG- Space Age Pimpin.mp3,8 Ball and MJG,Space Age Pimpin,8Ball & MJG,Space Age Pimpin',false,0.72,VERIFY,MB: 8Ball & MJG - Space Age Pimpin' (api_score=100),https://musicbrainz.org/recording/c3fda13b-4b32-45d1-9eeb-17c8a4d3c2b5; https://musicbrainz.org/recording/cd5e5fb7-23e8-4a2c-a28f-1057c69a2ebe; https://musicbrainz.org/recording/b3b404b9-2b1f-4d64-947a-e1bccda8e07e
C:\Users\suppo\Downloads\New Music\Top1000\Aaria- Thug Love ft. Dreamdoll.mp3,Aaria,Thug Love ft. Dreamdoll,Mustan Kuun Lapset,Aaria,true,0.552,VERIFY,MB: Mustan Kuun Lapset - Aaria (api_score=92); REVERSED from original split,https://musicbrainz.org/recording/39026f06-a1b7-455b-9951-426d15f2dabc; https://musicbrainz.org/recording/625d3180-2676-4953-b4e3-280888a751db; https://musicbrainz.org/recording/b1923064-86dd-41be-be07-e5f73d2f3146
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\ACDC- For Those About To Rock (with lyrics).mp3,ACDC,For Those About To Rock (with lyrics),AC/DC,For Those About to Rock,false,0.429,HOLD,MB: AC/DC - For Those About to Rock (api_score=100),https://musicbrainz.org/recording/196d8efd-fd63-422a-a2a2-b5372972608e; https://musicbrainz.org/recording/ad9c01ed-e163-415e-a90b-b0221920062a; https://musicbrainz.org/recording/6a4e38e0-ec80-47b7-9b37-a37cfee5e368
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson- Everything I Love.mp3,Alan Jackson,Everything I Love,Alan Jackson,Everything I Love,false,0.2,HOLD,No MusicBrainz results found,
C:\Users\suppo\Downloads\New Music\Top1000_Country\All my Exs live in Texas- George Strait.mp3,All my Exs live in Texas,George Strait,George Strait,All My Exs Live In Texas,true,1.0,RENAME,MB: George Strait - All My Exs Live In Texas (api_score=100); REVERSED from original split,https://musicbrainz.org/recording/f2b88382-0d21-4719-8923-7b370f636f7d; https://musicbrainz.org/recording/5eaac8c8-9d44-4386-ad21-6cba7c9bc1fa; https://musicbrainz.org/recording/3c8e62b4-7faa-4e62-a830-9cef8e45741b
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\American Girl performed by Tom Petty.mp3,Tom Petty,American Girl performed,Backyard Tire Fire,Tom Petty,true,0.444,HOLD,MB: Backyard Tire Fire - Tom Petty (api_score=74); REVERSED from original split,https://musicbrainz.org/recording/11a2a0dd-d6d1-48cb-b342-21f669492531; https://musicbrainz.org/recording/312987ad-a1c9-4240-bedc-e9d01bfd48fc; https://musicbrainz.org/recording/09c0f5b7-1754-4a43-8ad2-6a996827bd80
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Audio Two- Top Billin.mp3,Audio Two,Top Billin,Audio Two,Top Billin,false,0.2,HOLD,No MusicBrainz results found,
C:\Users\suppo\Downloads\New Music\Top1000_Blues\B.B. King- Everyday I have the Blues.mp3,B.B. King,Everyday I have the Blues,B.B. King,Everyday I Have the Blues,false,1.0,RENAME,MB: B.B. King - Everyday I Have the Blues (api_score=100),https://musicbrainz.org/recording/1c8517c6-0cee-455b-acd9-35a48e9f6ca3; https://musicbrainz.org/recording/551d4639-4ecb-47a8-8c68-189dace9f2ca; https://musicbrainz.org/recording/bc2e37f2-5552-4086-8440-b61a2831ced2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Back Where I Come From- Kenny Chesney.mp3,Back Where I Come From,Kenny Chesney,Jimmy Buffett,Back Where I Come From,true,0.378,HOLD,MB: Jimmy Buffett - Back Where I Come From (api_score=63); REVERSED from original split,https://musicbrainz.org/recording/e45f8bc7-c5e5-4762-bba6-b3ad1cc378a4; https://musicbrainz.org/recording/98440d2b-523a-40dd-943c-8f11ecfe6e55; https://musicbrainz.org/recording/4e0a0bbb-9038-4c9d-a86d-ae84ddc646bd
"C:\Users\suppo\Downloads\New Music\Top1000_Classical\Beethoven Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3",Beethoven,"Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso",Walter Gieseking,"Beethoven: Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco mosso",false,0.494,HOLD,"MB: Walter Gieseking - Beethoven: Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco mosso (api_score=100)",https://musicbrainz.org/recording/1f92bd5c-ad9f-4e2d-be28-114f3bf65ee2; https://musicbrainz.org/recording/5f2a89d5-0df9-406a-9f63-6daf2924c7dd; https://musicbrainz.org/recording/61d04fb2-7784-4292-a828-95599b3f727e
"C:\Users\suppo\Downloads\New Music\Top1000_Classical\Best Version of Jesu, Joy Of Mans Desiring by Bach.mp3",Bach,"Best Version of Jesu, Joy Of Mans Desiring",Island View Entertainment,Jesu Joy of Mans Desiring,false,0.429,HOLD,MB: Island View Entertainment - Jesu Joy of Mans Desiring (api_score=100),https://musicbrainz.org/recording/8612415b-669b-4c9f-b39e-db64155e7357; https://musicbrainz.org/recording/cd3280e6-5f1f-44fd-aafd-3bbd5cee3def; https://musicbrainz.org/recording/d12f2363-5ca6-43fb-9232-661644363961
