track_id,original_path,original_name,issue_type,current_state,collision_status,parse_method,confidence,duplicate_group_id,duplicate_risk,guessed_artist,guessed_title,proposed_name,notes
H0001,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3",ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,fallback_heuristic,0.3,G0142,near_duplicate,100 Greatest,"Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist","100 Greatest - Motown Hits ｜ Oldies but Goodies From the 70s, 80s & 90s ｜ Soul & R&b Classics Playlist.mp3",proposed name has illegal/problematic Unicode
H0002,"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3",ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,fallback_heuristic,0.3,G0142,near_duplicate,100 Greatest,"Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp","100 Greatest - Motown Hits ｜ Oldies but Goodies From the 70s, 80s & 90s ｜ Soul & R&b Classics Playlist.temp.mp3",proposed name has illegal/problematic Unicode
H0003,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\2112： Overture ⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So....mp3,2112： Overture ⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So....mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,fallback_heuristic,0.3,,none,2112： Overture,⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So...,2112： Overture - ⧸ the Temples of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： the Dream ⧸ So....mp3,proposed name has illegal/problematic Unicode
H0004,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Keep Ya Head Up (from album： ＂Strictly 4 My N.I.G.G.A.Z...＂.mp3,2Pac - Keep Ya Head Up (from album： ＂Strictly 4 My N.I.G.G.A.Z...＂.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,illegal_chars,standard,1.0,,none,2Pac,Keep Ya Head Up (from album：,2pac - Keep Ya Head up (From Album：.mp3,proposed name has illegal/problematic Unicode
H0005,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg.mp3,50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0001,exact_collision,50 Cent,21 Questions ft. Nate Dogg,50 Cent - 21 Questions ft. Nate Dogg.mp3,COLLISION (2 files)
H0006,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions ft. Nate Dogg.mp3,50 Cent - 21 Questions ft. Nate Dogg.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0001,exact_collision,50 Cent,21 Questions ft. Nate Dogg,50 Cent - 21 Questions ft. Nate Dogg.mp3,COLLISION (2 files)
H0007,C:\Users\suppo\Downloads\New Music\Top1000\50 Cent - In Da Club.mp3,50 Cent - In Da Club.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0002,exact_collision,50 Cent,In Da Club,50 Cent - In Da Club.mp3,COLLISION (2 files)
H0008,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - In Da Club.mp3,50 Cent - In Da Club.mp3,EXACT_COLLISION,HELD_PROBLEMS,COLLISION (2 files),standard,1.0,G0002,exact_collision,50 Cent,In Da Club,50 Cent - In Da Club.mp3,COLLISION (2 files)
H0009,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\60 seconds assassin Lyric on screen.mp3,60 seconds assassin Lyric on screen.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,60 seconds,assassin Lyric on screen,60 Seconds - Assassin Lyric on Screen.mp3,conf=0.3 method=fallback_heuristic
H0010,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8 Ball and MJG- Space Age Pimpin.mp3,8 Ball and MJG- Space Age Pimpin.mp3,FALLBACK_PARSE,HELD_PROBLEMS,low_confidence,fallback_heuristic,0.3,,none,8 Ball,and MJG- Space Age Pimpin,8 Ball - And Mjg- Space Age Pimpin.mp3,conf=0.3 method=fallback_heuristic
