original_path,original_name,proposed_name,old_state,new_state,confidence,collision_status,duplicate_risk,file_exists
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Hit Em Up HD.mp3,2Pac - Hit Em Up HD.mp3,2pac - Hit Em up Hd.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,similar_title,yes
C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Spectre.mp3,Alan Walker - Spectre.mp3,Alan Walker - Spectre.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Biggie Smalls - Notorious Thugs.temp.mp3,Biggie Smalls - Notorious Thugs.temp.mp3,Biggie Smalls - Notorious Thugs.temp.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf (Alt 1).mp3,black sabbath - sweet leaf.temp.mp3,Black Sabbath - Sweet Leaf.temp.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs N Harmony - 1st of tha Month.mp3,Bone Thugs N Harmony - 1st of tha Month.mp3,Bone Thugs N Harmony - 1st of Tha Month.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\CamRon - Oh Boy ft. Juelz Santana.mp3,CamRon - Oh Boy ft. Juelz Santana.mp3,Camron - Oh Boy ft. Juelz Santana.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,similar_title,yes
C:\Users\suppo\Downloads\New Music\Top1000_Club\Dimitri Vegas & Like Mike vs W&W - Waves.mp3,Dimitri Vegas & Like Mike vs W&W - Waves.mp3,Dimitri Vegas & Like Mike vs W&w - Waves.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dio - The Last In Line (Alt 1).mp3,Dio - The Last In Line.temp.mp3,Dio - The Last in Line.temp.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang (Alt 1).mp3,Dr Dre - Nuthin But A ＂G＂ Thang.temp.mp3,Dr Dre - Nuthin but a Thang.temp.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,ok,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Hank Williams Jr - Simple Man (Alt 1).mp3,Hank Williams Jr - Simple Man.temp.mp3,Hank Williams Jr - Simple Man.temp.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Heaven and Hell - Black Sabbath lyrics.temp.mp3,Heaven and Hell - Black Sabbath lyrics.temp.mp3,Heaven and Hell - Black Sabbath Lyrics.temp.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\IceCube - Check Yo Self.mp3,IceCube - Check Yo Self.mp3,Icecube - Check Yo Self.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Led Zeppelin - Rock and Roll HQ.temp.mp3,Led Zeppelin - Rock and Roll HQ.temp.mp3,Led Zeppelin - Rock and Roll Hq.temp.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_Club\Martin Garrix - Now That I've Found You.mp3,Martin Garrix - Now That I've Found You.mp3,Martin Garrix - Now That I've Found You.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,similar_title,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Pantera - 5 Minutes Alone (Official Music Video) [4K Remaster].temp.mp3,Pantera - 5 Minutes Alone (Official Music Video) [4K Remaster].temp.mp3,Pantera - 5 Minutes Alone .temp.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,ok,near_duplicate,no
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Savatage - Hall Of The Mountain King.temp.mp3,Savatage - Hall Of The Mountain King.temp.mp3,Savatage - Hall of the Mountain King.temp.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Slayer - Hell Awaits (Alt 1).mp3,Slayer - Hell Awaits.temp.mp3,Slayer - Hell Awaits.temp.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Snoop Dogg - Who Am I (What's My Name)？.mp3,Snoop Dogg - Who Am I (What's My Name)？.mp3,Snoop Dogg - Who Am I ？.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,ok,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\UFO - Doctor Doctor (Alt 1).mp3,UFO - Doctor Doctor.temp.mp3,Ufo - Doctor Doctor.temp.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_Club\W&W & MOTi - Spack Jarrow.mp3,W&W & MOTi - Spack Jarrow.mp3,W&w & Moti - Spack Jarrow.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - In Da Club.mp3,50 Cent - In Da Club.mp3,50 Cent - In Da Club (HipHop).mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,COLLISION (2 files),exact_collision,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Adrenaline Rush.mp3,Adrenaline Rush.mp3,Adrenaline Rush.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,0.0,no_change,none,yes
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson - ＂Its Time You Learned About Goodbye＂.mp3,Alan Jackson - ＂Its Time You Learned About Goodbye＂.mp3,Alan Jackson - Its Time You Learned About Goodbye.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,0.0,low_confidence,none,yes
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Alone.mp3,Alan Walker - Alone.mp3,Alan Walker - Alone (Club).mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,COLLISION (2 files),exact_collision,yes
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Allman Brothers Band - Soulshine.mp3,Allman Brothers Band - Soulshine.mp3,Allman Brothers Band - Soulshine (Southern Rock).mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,COLLISION (2 files),exact_collision,yes
C:\Users\suppo\Downloads\New Music\Top1000_Country\Amarillo By Morning.mp3,Amarillo By Morning.mp3,Morning - Amarillo.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,0.0,no_change,none,yes
C:\Users\suppo\Downloads\New Music\Top1000\Baby 9eno ＂ Free B.G. ＂ @tntshotit.mp3,Baby 9eno ＂ Free B.G. ＂ @tntshotit.mp3,Baby 9eno - Free B.G. @tntshotit.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,0.0,low_confidence,none,yes
"C:\Users\suppo\Downloads\New Music\Top1000_Opera\Bach, Air.mp3","Bach, Air.mp3","Bach, Air.mp3",REVIEW_REQUIRED,HELD_PROBLEMS,0.0,no_change,none,yes
C:\Users\suppo\Downloads\New Music\Top1000_Country\Bertie Higgins - ＂Key Largo＂.mp3,Bertie Higgins - ＂Key Largo＂.mp3,Bertie Higgins - Key Largo.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,0.0,low_confidence,none,yes
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.temp.mp3","Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.temp.mp3","Best Motown Hits of All Time 🎶 Soul Legends - Marvin Gaye, Smokey Robinson & James Brown.temp.mp3",REVIEW_REQUIRED,HELD_PROBLEMS,0.3,illegal_chars,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_Country\Brandi Carlile Hallelujah.mp3,Brandi Carlile Hallelujah.mp3,Brandi Carlile - Hallelujah.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,0.0,no_change,none,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\BT- Race Wars.mp3,BT- Race Wars.mp3,BT - Race Wars.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,0.0,no_change,none,yes
