original_path,original_name,old_state,new_state,reason
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3",HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixable (sanitize works), conf=0.3"
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3",HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixable (sanitize works), conf=0.3"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions ft. Nate Dogg.mp3,50 Cent - 21 Questions ft. Nate Dogg.mp3,HELD_PROBLEMS,REVIEW_REQUIRED,"has collision but parseable (conf=1.0), needs dup resolution"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\60 seconds assassin Lyric on screen.mp3,60 seconds assassin Lyric on screen.mp3,HELD_PROBLEMS,REVIEW_REQUIRED,fallback parse but has Artist - Title format
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8ball & MJG Just Like Candy.mp3,8ball & MJG Just Like Candy.mp3,HELD_PROBLEMS,REVIEW_REQUIRED,fallback parse but has Artist - Title format
"C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8BALL& MJG FRIEND OR FOE FT. E-40, MAC MALL,& BIG MIKE.mp3","8BALL& MJG FRIEND OR FOE FT. E-40, MAC MALL,& BIG MIKE.mp3",HELD_PROBLEMS,REVIEW_REQUIRED,fallback parse but has Artist - Title format
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Roller Skating Jam Named ＂Saturdays＂.mp3,A Roller Skating Jam Named ＂Saturdays＂.mp3,HELD_PROBLEMS,REVIEW_REQUIRED,fallback parse but has Artist - Title format
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation.mp3,A Tribe Called Quest - Electric Relaxation.mp3,HELD_PROBLEMS,REVIEW_REQUIRED,"has collision but parseable (conf=1.0), needs dup resolution"
C:\Users\suppo\Downloads\New Music\Top1000_Disco\Aint No Stopping Us Now Mcfadden and Whitehead.mp3,Aint No Stopping Us Now Mcfadden and Whitehead.mp3,HELD_PROBLEMS,REVIEW_REQUIRED,fallback parse but has Artist - Title format
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alan Walker - Sing Me To Sleep.mp3,Alan Walker - Sing Me To Sleep.mp3,HELD_PROBLEMS,REVIEW_REQUIRED,"has collision but parseable (conf=1.0), needs dup resolution"
