track_id,artist,title,primary_genre,suggested_secondary_genre,evidence,confidence
2082,Chris Stapleton,Chris Stapleton - Fire Away,Country,Rock,Country-rock/blues-rock crossover artist,high
2083,Chris Stapleton,Chris Stapleton - Friendship,Country,Rock,Country-rock/blues-rock crossover artist,high
2084,Chris Stapleton,Chris Stapleton - Hard Livin',Country,Rock,Country-rock/blues-rock crossover artist,high
2085,Chris Stapleton,Chris Stapleton - I Was Wrong,Country,Rock,Country-rock/blues-rock crossover artist,high
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,Rock,Country-rock/blues-rock crossover artist,high
2087,Chris Stapleton,Chris Stapleton - Millionaire,Country,Rock,Country-rock/blues-rock crossover artist,high
2088,Chris Stapleton,Chris Stapleton - Nobody to Blame,Country,Rock,Country-rock/blues-rock crossover artist,high
2089,Chris Stapleton,Chris Stapleton - Parachute,Country,Rock,Country-rock/blues-rock crossover artist,high
2090,Chris Stapleton,Chris Stapleton - Second One To Know,Country,Rock,Country-rock/blues-rock crossover artist,high
2091,Chris Stapleton,Chris Stapleton - Tryin To Untangle My Mind,Country,Rock,Country-rock/blues-rock crossover artist,high
2162,Def Leppard,Def Leppard - Animal,Rock,Metal,Hard rock/glam metal crossover,high
2163,Def Leppard,Def Leppard - Armageddon It,Rock,Metal,Hard rock/glam metal crossover,high
2164,Def Leppard,Def Leppard - Dangerous,Rock,Metal,Hard rock/glam metal crossover,high
2165,Def Leppard,Def Leppard - Foolin,Rock,Metal,Hard rock/glam metal crossover,high
2166,Def Leppard,Def Leppard - Love Bites,Rock,Metal,Hard rock/glam metal crossover,high
2167,Def Leppard,Def Leppard - Nine Lives,Rock,Metal,Hard rock/glam metal crossover,high
2168,Def Leppard,Def Leppard - Personal Jesus,Rock,Metal,Hard rock/glam metal crossover,high
2169,Def Leppard,Def Leppard - Pour Some Sugar On Me,Rock,Metal,Hard rock/glam metal crossover,high
2170,Def Leppard,Def Leppard - Rock Of Ages ,Rock,Metal,Hard rock/glam metal crossover,high
2171,Def Leppard,Def Leppard - Too Late For Love,Rock,Metal,Hard rock/glam metal crossover,high
2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,Hip-Hop,"Country-rap artist from Rehab, mixes country and hip-hop styles",high
2178,Demun Jones,Demun Jones - My Town,Country,Hip-Hop,"Country-rap artist from Rehab, mixes country and hip-hop styles",high
2180,Demun Jones,Demun Jones - Tannerite,Country,Hip-Hop,"Country-rap artist from Rehab, mixes country and hip-hop styles",high
2182,Demun Jones,Demun Jones - Truck Music,Country,Hip-Hop,"Country-rap artist from Rehab, mixes country and hip-hop styles",high
2742,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,Hip-Hop,"Country-rap artist from Rehab, mixes country and hip-hop styles",high
2221,Faith No More,Faith No More - Epic,Rock,Metal,"Alt-metal/funk-metal crossover, classified Rock but Metal-adjacent",high
2838,Hopsin,Hopsin - Ill Mind of Hopsin 5,Hip-Hop,Rock,Rap artist with rock undertones (confirmed misfit),high
2856,Jelly Roll,Jelly Roll - Need a Favor,Country,Hip-Hop,"Known country-rap artist, frequently blends country and hip-hop",high
2386,Kid Rock,Kid Rock - All Summer Long,Rock,Country,"Rock-country crossover, known for blending rock and country",high
2387,Kid Rock,Kid Rock - American Bad Ass,Rock,Country,"Rock-country crossover, known for blending rock and country",high
