track_id,artist,title,primary_genre,assigned_subgenre,assignment_reason,confidence
2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2178,Demun Jones,Demun Jones - My Town,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2180,Demun Jones,Demun Jones - Tannerite,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2182,Demun Jones,Demun Jones - Truck Music,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2742,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2856,Jelly Roll,Jelly Roll - Need a Favor,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2529,Ryan Upchurch,Ryan Upchurch - Hollerboys,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2527,Upchurch,Ryan Upchurch - Black Sheep,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2528,Upchurch,Ryan Upchurch - Cowboy Movies,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2530,Upchurch,Ryan Upchurch - Love Her Again,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2531,Upchurch,Ryan Upchurch - Real Country,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2532,Upchurch,Ryan Upchurch - Same Ol Same Ol,Country,Country Rap,"Blocked hybrid case: Country→Country Rap, subgenre added in taxonomy expansion phase",high
2838,Hopsin,Hopsin - Ill Mind of Hopsin 5,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2217,Tom MacDonald,End Of The World - Tom MacDonald,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2538,Tom MacDonald,Save A Life - Tom MacDonald,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2548,Tom MacDonald,See God - Tom MacDonald,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2572,Tom MacDonald,Still Me - Tom MacDonald,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2573,Tom MacDonald,Still The One - Tom MacDonald,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2590,Tom MacDonald,The Machine - Tom MacDonald,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2595,Tom MacDonald,The System - Tom MacDonald,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2624,Tom MacDonald,Tom MacDonald -  Buttholes,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2626,Tom MacDonald,Tom MacDonald - American Dreamz,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2629,Tom MacDonald,Tom MacDonald - Angels,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
2631,Tom MacDonald,Tom MacDonald - Average Boy,Hip-Hop,Rap Rock,"Blocked hybrid case: Hip-Hop→Rap Rock, subgenre added in taxonomy expansion phase",high
