original_path,original_name,proposed_name,fix_applied,confidence,parse_method,guessed_artist,guessed_title,ready_for_review
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3","100 Greatest Motown Hits Oldies But Goodies from the 70s, 80s & 90s Soul & R&B Classics Playlist.mp3",U+FF5C(｜)->(removed); collapsed_multiple_separators,0.0,unknown,,"100 Greatest Motown Hits Oldies But Goodies from the 70s, 80s & 90s Soul & R&B Classics Playlist",no
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3","100 Greatest Motown Hits Oldies But Goodies from the 70s, 80s & 90s Soul & R&B Classics Playlist.temp.mp3",U+FF5C(｜)->(removed); collapsed_multiple_separators,0.0,unknown,,"100 Greatest Motown Hits Oldies But Goodies from the 70s, 80s & 90s Soul & R&B Classics Playlist.temp",no
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\2112： Overture ⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So....mp3,2112： Overture ⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So....mp3,2112 - Overture - the Temples of Syrinx - Discovery - Presentation - Oracle - the Dream - So.mp3,U+29F8(⧸)->-; U+FF1A(：)-> -; trailing_dots_spaces_stripped,1.0,standard,2112,Overture - The Temples Of Syrinx - Discovery - Presentation - Oracle - The Dream - So,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Keep Ya Head Up (from album： ＂Strictly 4 My N.I.G.G.A.Z...＂.mp3,2Pac - Keep Ya Head Up (from album： ＂Strictly 4 My N.I.G.G.A.Z...＂.mp3,2pac - Keep Ya Head up (From Album - Strictly 4 My N.i.g.g.a.z.mp3,U+FF1A(：)-> -; U+FF02(＂)->(removed); trailing_dots_spaces_stripped,1.0,standard,2Pac,Keep Ya Head Up (from album - Strictly 4 My N.I.G.G.A.Z,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Back In Black (Official 4K Video).mp3,AC⧸DC - Back In Black (Official 4K Video).mp3,AC-DC - Back in Black.mp3,U+29F8(⧸)->-; overrides_applied,1.0,standard,AC-DC,Back In Black,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Hells Bells (Official 4K Video).mp3,AC⧸DC - Hells Bells (Official 4K Video).mp3,AC-DC - Hells Bells.mp3,U+29F8(⧸)->-; overrides_applied,1.0,standard,AC-DC,Hells Bells,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Highway to Hell (Official Video).mp3,AC⧸DC - Highway to Hell (Official Video).mp3,AC-DC - Highway to Hell.mp3,U+29F8(⧸)->-; overrides_applied,1.0,standard,AC-DC,Highway to Hell,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Let There Be Rock (Official Video).mp3,AC⧸DC - Let There Be Rock (Official Video).mp3,AC-DC - Let There Be Rock.mp3,U+29F8(⧸)->-; overrides_applied,1.0,standard,AC-DC,Let There Be Rock,yes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,AC-DC - You Shook Me All Night Long.mp3,U+29F8(⧸)->-; overrides_applied,1.0,standard,AC-DC,You Shook Me All Night Long,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Animals (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Animals (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Animals Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AD INFINITUM,Animals Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Eternal Rains (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Eternal Rains (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Eternal Rains Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AD INFINITUM,Eternal Rains Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - From The Ashes (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - From The Ashes (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - From the Ashes Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AD INFINITUM,From The Ashes Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Inferno (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Inferno (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Inferno Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AD INFINITUM,Inferno Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Seth (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Seth (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Seth Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AD INFINITUM,Seth Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Somewhere Better (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Somewhere Better (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Somewhere Better Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AD INFINITUM,Somewhere Better Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Unstoppable (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Unstoppable (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Unstoppable Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AD INFINITUM,Unstoppable Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Upside Down (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Upside Down (Official Video) ｜ Napalm Records.mp3,Ad Infinitum - Upside Down Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AD INFINITUM,Upside Down Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AEPHANEMER - Antigone (Official Video) ｜ Napalm Records.mp3,AEPHANEMER - Antigone (Official Video) ｜ Napalm Records.mp3,Aephanemer - Antigone Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AEPHANEMER,Antigone Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AEPHANEMER - Panta Rhei (Official Video) ｜ Napalm Records.mp3,AEPHANEMER - Panta Rhei (Official Video) ｜ Napalm Records.mp3,Aephanemer - Panta Rhei Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AEPHANEMER,Panta Rhei Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AMBERIAN DAWN - Super Trouper (Abba Cover) (Official Lyric Video) ｜ Napalm Records.mp3,AMBERIAN DAWN - Super Trouper (Abba Cover) (Official Lyric Video) ｜ Napalm Records.mp3,Amberian Dawn - Super Trouper Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AMBERIAN DAWN,Super Trouper Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AMBERIAN DAWN - Temptation's Gates (Official Video) ｜ Napalm Records.mp3,AMBERIAN DAWN - Temptation's Gates (Official Video) ｜ Napalm Records.mp3,Amberian Dawn - Temptation's Gates Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AMBERIAN DAWN,Temptation's Gates Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AMBERIAN DAWN - The Day Before You Came (Lyric Video) ｜ Napalm Records.mp3,AMBERIAN DAWN - The Day Before You Came (Lyric Video) ｜ Napalm Records.mp3,Amberian Dawn - The Day Before You Came Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AMBERIAN DAWN,The Day Before You Came Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS MCSIX - 6666 (Official Video) ｜ Napalm Records.mp3,ANGUS MCSIX - 6666 (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - 6666 Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,ANGUS MCSIX,6666 Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSix - Dig Down (feat. Van Canto) (Official Video) ｜ Napalm Records.mp3,ANGUS McSix - Dig Down (feat. Van Canto) (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - Dig Down (Feat. Van Canto) Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,ANGUS McSix,Dig Down (feat. Van Canto) Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - I am Adam McSix feat. Rhapsody of Fire + Alex Krull (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - I am Adam McSix feat. Rhapsody of Fire + Alex Krull (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - I Am Adam Mcsix Feat. Rhapsody of Fire + Alex Krull Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,ANGUS McSIX,I am Adam McSix feat. Rhapsody of Fire + Alex Krull Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Laser-Shooting Dinosaur (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - Laser-Shooting Dinosaur (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - Laser-shooting Dinosaur Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,ANGUS McSIX,Laser-Shooting Dinosaur Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Master Of The Universe (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - Master Of The Universe (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - Master of the Universe Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,ANGUS McSIX,Master Of The Universe Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Ride To Hell (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - Ride To Hell (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - Ride to Hell Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,ANGUS McSIX,Ride To Hell Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - Sixcalibur (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - Sixcalibur (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - Sixcalibur Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,ANGUS McSIX,Sixcalibur Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\ANGUS McSIX - The Fire of Yore feat. Uwe Ochsenknecht (Official Video) ｜ Napalm Records.mp3,ANGUS McSIX - The Fire of Yore feat. Uwe Ochsenknecht (Official Video) ｜ Napalm Records.mp3,Angus Mcsix - The Fire of Yore Feat. Uwe Ochsenknecht Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,ANGUS McSIX,The Fire of Yore feat. Uwe Ochsenknecht Napalm Records,yes
"C:\Users\suppo\Downloads\New Music\Top1000\Arijit Singh： Pachtaoge ｜ Vicky Kaushal, Nora Fatehi ｜Jaani, B Praak, Arvindr Khaira ｜ Bhushan Kumar.mp3","Arijit Singh： Pachtaoge ｜ Vicky Kaushal, Nora Fatehi ｜Jaani, B Praak, Arvindr Khaira ｜ Bhushan Kumar.mp3","Arijit Singh - Pachtaoge Vicky Kaushal, Nora Fatehi Jaani, B Praak, Arvindr Khaira Bhushan Kumar.mp3",U+FF1A(：)-> -; U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,Arijit Singh,"Pachtaoge Vicky Kaushal, Nora Fatehi Jaani, B Praak, Arvindr Khaira Bhushan Kumar",yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AVANTASIA - The Witch (feat. Tommy Karevik) (Official Video) ｜ Napalm Records.mp3,AVANTASIA - The Witch (feat. Tommy Karevik) (Official Video) ｜ Napalm Records.mp3,Avantasia - The Witch (Feat. Tommy Karevik) Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,AVANTASIA,The Witch (feat. Tommy Karevik) Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BATTLELORE - Chambers Of Fire (Lyric Video) ｜ Napalm Records.mp3,BATTLELORE - Chambers Of Fire (Lyric Video) ｜ Napalm Records.mp3,Battlelore - Chambers of Fire Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,BATTLELORE,Chambers Of Fire Napalm Records,yes
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\BATTLELORE - Elvenking (Official Video) ｜ Napalm Records.mp3,BATTLELORE - Elvenking (Official Video) ｜ Napalm Records.mp3,Battlelore - Elvenking Napalm Records.mp3,U+FF5C(｜)->(removed); collapsed_multiple_separators,1.0,standard,BATTLELORE,Elvenking Napalm Records,yes
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Marvin Gaye, Smokey Robinson, James Brown ｜ Soul Legends Collection.mp3","Best Motown Hits of All Time 🎶 Marvin Gaye, Smokey Robinson, James Brown ｜ Soul Legends Collection.mp3","Best Motown Hits of All Time 🎶 Marvin Gaye, Smokey Robinson, James Brown Soul Legends Collection.mp3",U+FF5C(｜)->(removed); collapsed_multiple_separators,0.0,unknown,,"Best Motown Hits of All Time 🎶 Marvin Gaye, Smokey Robinson, James Brown Soul Legends Collection",no
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.mp3","Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.mp3","Best Motown Hits of All Time 🎶 Soul Legends - Marvin Gaye, Smokey Robinson & James Brown.mp3",U+FF1A(：)-> -,1.0,standard,Best Motown Hits of All Time 🎶 Soul Legends,"Marvin Gaye, Smokey Robinson & James Brown",yes
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.temp.mp3","Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.temp.mp3","Best Motown Hits of All Time 🎶 Soul Legends - Marvin Gaye, Smokey Robinson & James Brown.temp.mp3",U+FF1A(：)-> -,1.0,standard,Best Motown Hits of All Time 🎶 Soul Legends,"Marvin Gaye, Smokey Robinson & James Brown.temp",yes
