file_path,reason,confidence,recommended_action,notes,priority_score
C:\Users\suppo\Downloads\New Music\Top1000_Club\ANGERFIST MEGAMIX 2021 DJ IWO.mp3,full_album_mix,0.3,IGNORE,Name: ANGERFIST MEGAMIX 2021 DJ IWO.mp3. Detected pattern: full_album_mix.,2
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Marvin Gaye, Smokey Robinson, James Brown ｜ Soul Legends Collection.mp3",playlist_collection,0.3,IGNORE,"Name: Best Motown Hits of All Time 🎶 Marvin Gaye, Smokey Robinson,. Detected pattern: playlist_collection.",2
C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best of Motown Legends ｜ Classic Soul Oldies 70s 80s 90s ｜ Greatest Hits Playlist You’ll Love!.mp3,compilation_mix,0.3,IGNORE,Name: Best of Motown Legends ｜ Classic Soul Oldies 70s 80s 90s ｜ G. Detected pattern: compilation_mix.,2
C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Classic Crooner Collection ｜ Best Jazz Hits Golden Era 50s–70s ｜ Golden Crooner Classics 🎶.mp3,playlist_collection,1.0,IGNORE,Name: Classic Crooner Collection ｜ Best Jazz Hits Golden Era 50s–7. Detected pattern: playlist_collection.,2
"C:\Users\suppo\Downloads\New Music\Top1000\Coke ＂All Hear＂ feat. L Haggood, Silence the 5th.mp3",utility_file,0.3,DELETE,"Name: Coke ＂All Hear＂ feat. L Haggood, Silence the 5th.mp3. Detected pattern: utility_file.",3
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Etta James ✨ Greatest Hits Full Album ｜ Best Soul & Blues Songs from the 70s, 80s, 90s.mp3",compilation_mix,0.3,IGNORE,Name: Etta James ✨ Greatest Hits Full Album ｜ Best Soul & Blues So. Detected pattern: compilation_mix.,2
C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Frank Sinatra Best Songs Collection 2026｜ Full Album Playlist ｜ Timeless Classics.mp3,full_album_mix,0.3,IGNORE,Name: Frank Sinatra Best Songs Collection 2026｜ Full Album Playlis. Detected pattern: full_album_mix.,2
"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Jazz Legends Playlist ｜ Frank Sinatra, Nat King Cole, Louis Armstrong ｜ Timeless Classics.mp3",playlist_collection,0.3,IGNORE,"Name: Jazz Legends Playlist ｜ Frank Sinatra, Nat King Cole, Louis . Detected pattern: playlist_collection.",2
C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Louis Armstrong & Ella Fitzgerald 🎷 Timeless Jazz Legends ｜ Best Duets Playlist 🎵 Cheek To Cheek.mp3,playlist_collection,0.3,IGNORE,Name: Louis Armstrong & Ella Fitzgerald 🎷 Timeless Jazz Legends ｜ . Detected pattern: playlist_collection.,2
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Motown Greatest Hits 🎙️ Marvin Gaye, Etta James, Smokey Robinson ｜ Soul & R&B Classics Forever.mp3",compilation_mix,0.3,IGNORE,"Name: Motown Greatest Hits 🎙️ Marvin Gaye, Etta James, Smokey Robi. Detected pattern: compilation_mix.",2
C:\Users\suppo\Downloads\New Music\Top1000_Jazz\The Rat Pack Best Songs 50s-70s ｜ Frank Sinatra & Dean Martin Greatest Hits 🎷Vintage Jazz.mp3,compilation_mix,0.3,IGNORE,Name: The Rat Pack Best Songs 50s-70s ｜ Frank Sinatra & Dean Marti. Detected pattern: compilation_mix.,2
C:\Users\suppo\Downloads\New Music\Top1000_Jazz\The Ultimate 50s-60s Playlist 🎷Ella Fitzgerald & Louis Armstrong’s Greatest Duets 🎷Timeless Jazz.mp3,playlist_collection,0.3,IGNORE,Name: The Ultimate 50s-60s Playlist 🎷Ella Fitzgerald & Louis Armst. Detected pattern: playlist_collection.,2
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Top 100 Motown Soul Classics 🎶 Timeless R&B Oldies from the 70s, 80s & 90s.mp3",compilation_mix,0.3,IGNORE,Name: Top 100 Motown Soul Classics 🎶 Timeless R&B Oldies from the . Detected pattern: compilation_mix.,2
C:\Users\suppo\Downloads\New Music\Top1000_Club\Top 1000 EDM songs of all time.mp3,compilation_mix,0.3,IGNORE,Name: Top 1000 EDM songs of all time.mp3. Detected pattern: compilation_mix.,2
C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Unforgettable Voice Of Nat King Cole👑King of Smooth👑Full Album Playlist ｜ Vintage Jazz.mp3,full_album_mix,0.3,IGNORE,Name: Unforgettable Voice Of Nat King Cole👑King of Smooth👑Full Alb. Detected pattern: full_album_mix.,2
