NGKsPlayerNative - Full Library Contents
Total tracks: 960
Generated: 2026-04-12

   ID  Artist                          Title                                               File Path
----------------------------------------------------------------------------------------------------------------------------------------------------------------
 1921  38 Special                      38 Special - Back Where You Belong                  C:\Users\suppo\Music\38 Special - Back Where You Belong.mp3
 1922  38 Special                      38 Special - Caught Up In You                       C:\Users\suppo\Music\38 Special - Caught Up In You.mp3
 1923  38 Special                      38 Special - Hold On Loosely                        C:\Users\suppo\Music\38 Special - Hold On Loosely.mp3
 1924  38 Special                      38 Special - If I'd Been The One                    C:\Users\suppo\Music\38 Special - If I'd Been The One.mp3
 1925  38 Special                      38 Special - Somebody Like You                      C:\Users\suppo\Music\38 Special - Somebody Like You.mp3
 1926  Aaron Lewis                     Aaron Lewis - Am I The Only One                     C:\Users\suppo\Music\Aaron Lewis - Am I The Only One.mp3
 1927  Aaron Lewis                     Aaron Lewis - Country Boy                           C:\Users\suppo\Music\Aaron Lewis - Country Boy.mp3
 1928  Aaron Tippin                    Aaron Tippin -  Drill Here, Drill Now               C:\Users\suppo\Music\Aaron Tippin -  Drill Here, Drill Now.mp3
 1929  Aaron Tippin                    Aaron Tippin - Big Boy Toys                         C:\Users\suppo\Music\Aaron Tippin - Big Boy Toys.mp3
 1930  Aaron Tippin                    Aaron Tippin - Drivin' Fool                         C:\Users\suppo\Music\Aaron Tippin - Drivin' Fool .mp3
 1931  Aaron Tippin                    Aaron Tippin - He Believed                          C:\Users\suppo\Music\Aaron Tippin - He Believed.mp3
 1932  Aaron Tippin                    Aaron Tippin - That's As Close As I'll Get To Lovi  C:\Users\suppo\Music\Aaron Tippin - That's As Close As I'll Get To Loving You.mp3
 1933  Aaron Tippin                    Aaron Tippin - The Call of the Wild                 C:\Users\suppo\Music\Aaron Tippin - The Call of the Wild.mp3
 1934  Aaron Tippin                    Aaron Tippin - There Ain't Nothin' Wrong with the   C:\Users\suppo\Music\Aaron Tippin - There Ain't Nothin' Wrong with the Radio.mp3
 1935  Aaron Tippin                    Aaron Tippin - Where The Stars And Stripes And The  C:\Users\suppo\Music\Aaron Tippin - Where The Stars And Stripes And The Eagle Fly.mp3
 1936  Aaron Tippin                    Aaron Tippin - Working Man's Phd                    C:\Users\suppo\Music\Aaron Tippin - Working Man's Phd.mp3
 1937  Aaron Tippin                    Aaron Tippin - You've Got to Stand for Something    C:\Users\suppo\Music\Aaron Tippin - You've Got to Stand for Something.mp3
 1938  AC                              AC-DC - Flick of the Switch                         C:\Users\suppo\Music\AC-DC - Flick of the Switch.mp3
 1939  AC                              AC-DC - Highway to Hell                             C:\Users\suppo\Music\AC-DC - Highway to Hell.mp3
 1940  AC                              AC-DC - Money Talks                                 C:\Users\suppo\Music\AC-DC - Money Talks.mp3
 1941  AC                              AC-DC - Shoot To Thrill                             C:\Users\suppo\Music\AC-DC - Shoot To Thrill.mp3
 1942  AC                              AC-DC - Who Made Who                                C:\Users\suppo\Music\AC-DC - Who Made Who.mp3
 1943  Adam Calhoun                    Adam Calhoun feat. Demun Jones Brodnax Dusty Leigh  C:\Users\suppo\Music\Adam Calhoun feat. Demun Jones Brodnax Dusty Leigh - Gumbo.mp3
 1944  Adam Calhoun & Demun Jones      Adam Calhoun, Demun Jones, & Upchurch - World Went  C:\Users\suppo\Music\Adam Calhoun, Demun Jones, & Upchurch - World Went to Waste 2.0.mp3
 1945  Afroman                         Afroman - Because I Got High                        C:\Users\suppo\Music\Afroman - Because I Got High.mp3
 1946  Airbourne                       Airbourne - Back In The Game                        C:\Users\suppo\Music\Airbourne - Back In The Game.mp3
 1947  Airbourne                       Airbourne - Blonde, Bad And Beautiful               C:\Users\suppo\Music\Airbourne - Blonde, Bad And Beautiful.mp3
 1948  Airbourne                       Airbourne - Bottom Of The Well                      C:\Users\suppo\Music\Airbourne - Bottom Of The Well.mp3
 1949  Airbourne                       Airbourne - Breakin' Outta Hell                     C:\Users\suppo\Music\Airbourne - Breakin' Outta Hell.mp3
 1950  Airbourne                       Airbourne - Girls In Black                          C:\Users\suppo\Music\Airbourne - Girls In Black.mp3
 1951  Airbourne                       Airbourne - It's All For Rock N' Roll               C:\Users\suppo\Music\Airbourne - It's All For Rock N' Roll.mp3
 1952  Airbourne                       Airbourne - Light It Up                             C:\Users\suppo\Music\Airbourne - Light It Up.mp3
 1953  Airborne                        Airbourne - Runnin' Wild                            C:\Users\suppo\Music\Airbourne - Runnin' Wild.mp3
 1954  Airbourne                       Airbourne - Too Much, Too Young, Too Fast           C:\Users\suppo\Music\Airbourne - Too Much, Too Young, Too Fast.mp3
 1955  Akon featuring Eminem           Akon ft Eminem - Smack That                         C:\Users\suppo\Music\Akon ft Eminem - Smack That .mp3
 1956  Alabama                         Alabama - If You're Gonna Play In Texas             C:\Users\suppo\Music\Alabama - If You're Gonna Play In Texas.mp3
 1957  Alabama                         Alabama - Mountain Music                            C:\Users\suppo\Music\Alabama - Mountain Music.mp3
 1958  Alan Jackson                    Alan Jackson - Drive                                C:\Users\suppo\Music\Alan Jackson - Drive.mp3
 1959  Alan Jackson                    Alan Jackson - Hard Hat And A Hammer                C:\Users\suppo\Music\Alan Jackson - Hard Hat And A Hammer.mp3
 1960  Alan Jackson                    Alan Jackson - I Don't Even Know Your Name          C:\Users\suppo\Music\Alan Jackson - I Don't Even Know Your Name.mp3
 1961  Alan Jackson                    Alan Jackson - Little Bitty                         C:\Users\suppo\Music\Alan Jackson - Little Bitty.mp3
 1962  Alan Jackson                    Alan Jackson - Midnight in Montgomery               C:\Users\suppo\Music\Alan Jackson - Midnight in Montgomery.mp3
 1963  Alan Jackson                    Alan Jackson - Remember When                        C:\Users\suppo\Music\Alan Jackson - Remember When.mp3
 1964  Alan Jackson                    Alan Jackson - Who's Cheatin' Who                   C:\Users\suppo\Music\Alan Jackson - Who's Cheatin' Who.mp3
 1965  Aldo Nova                       Aldo Nova  -  Fantasy                               C:\Users\suppo\Music\Aldo Nova  -  Fantasy.mp3
 1966  Alice Cooper                    Alice Cooper - Poison                               C:\Users\suppo\Music\Alice Cooper - Poison.mp3
 1967  America                         America - A Horse With No Name                      C:\Users\suppo\Music\America - A Horse With No Name.mp3
 1968  Animotion                       Animotion - Obsession                               C:\Users\suppo\Music\Animotion - Obsession.mp3
 1969  Aaron Tippin                    Aaron Tippin - Drivin_Fool                          C:\Users\suppo\Music\Aaron Tippin - Drivin_Fool .mp3
 1970  Austin Forman                   Austin Forman - Home Sweet Home                     C:\Users\suppo\Music\Austin Forman - Home Sweet Home.mp3
 1971  Ava Boyz                        Ava Boyz - Aumaia Lou Alofa                         C:\Users\suppo\Music\Ava Boyz - Aumaia Lou Alofa.mp3
 1972  Avenged Sevenfold               Avenged Sevenfold - Hail To The King                C:\Users\suppo\Music\Avenged Sevenfold - Hail To The King.mp3
