original_path,original_name,proposed_name,original_confidence,new_confidence,parse_method,collision_status,duplicate_risk,recoverable,upgrade_reason
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8 Ball and MJG- Space Age Pimpin.mp3,8 Ball and MJG- Space Age Pimpin.mp3,8 Ball and MJG - Space Age Pimpin.mp3,0.3,0.3,fallback_heuristic,low_confidence,none,no,not_recoverable
C:\Users\suppo\Downloads\New Music\Top1000\Aaria- Thug Love ft. Dreamdoll.mp3,Aaria- Thug Love ft. Dreamdoll.mp3,Aaria - Thug Love ft. Dreamdoll.mp3,0.3,0.3,fallback_heuristic,low_confidence,none,no,not_recoverable
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\ACDC- For Those About To Rock (with lyrics).mp3,ACDC- For Those About To Rock (with lyrics).mp3,ACDC - For Those About To Rock (with lyrics).mp3,0.3,0.3,fallback_heuristic,low_confidence,none,no,not_recoverable
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson Anywhere On Earth You Are.mp3,Alan Jackson Anywhere On Earth You Are.mp3,Alan Jackson - Anywhere On Earth You Are.mp3,0.3,0.7,fallback_heuristic,low_confidence,none,yes,artist_name_boundary
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson Knew All Along.mp3,Alan Jackson Knew All Along.mp3,Alan Jackson - Knew All Along.mp3,0.3,0.7,fallback_heuristic,low_confidence,none,yes,artist_name_boundary
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson- Everything I Love.mp3,Alan Jackson- Everything I Love.mp3,Alan Jackson - Everything I Love.mp3,0.3,0.3,fallback_heuristic,low_confidence,none,no,not_recoverable
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Albert Collins Ice Pick.mp3,Albert Collins Ice Pick.mp3,Albert Collins - Ice Pick.mp3,0.3,0.7,fallback_heuristic,low_confidence,none,yes,artist_name_boundary
C:\Users\suppo\Downloads\New Music\Top1000_Country\All my Exs live in Texas- George Strait.mp3,All my Exs live in Texas- George Strait.mp3,All my Exs live in Texas - George Strait.mp3,0.3,0.3,fallback_heuristic,low_confidence,none,no,not_recoverable
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ambitionz Az A Ridah.mp3,Ambitionz Az A Ridah.mp3,Ambitionz Az - A Ridah.mp3,0.3,0.7,fallback_heuristic,low_confidence,near_duplicate,yes,artist_name_boundary+near_dup
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\American Girl performed by Tom Petty.mp3,American Girl performed by Tom Petty.mp3,Tom Petty - American Girl performed.mp3,0.3,0.3,fallback_heuristic,low_confidence,none,no,not_recoverable
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Audio Two- Top Billin.mp3,Audio Two- Top Billin.mp3,Audio Two - Top Billin.mp3,0.3,0.3,fallback_heuristic,low_confidence,none,no,not_recoverable
C:\Users\suppo\Downloads\New Music\Top1000_Club\Avicii Levels Skrillex Remix.mp3,Avicii Levels Skrillex Remix.mp3,Avicii - Levels Skrillex Remix.mp3,0.3,0.65,fallback_heuristic,low_confidence,none,yes,single_artist_reasonable
C:\Users\suppo\Downloads\New Music\Top1000_Blues\B.B. King- Everyday I have the Blues.mp3,B.B. King- Everyday I have the Blues.mp3,B.B. King - Everyday I have the Blues.mp3,0.3,0.3,fallback_heuristic,low_confidence,none,no,not_recoverable
C:\Users\suppo\Downloads\New Music\Top1000_Country\Back Where I Come From- Kenny Chesney.mp3,Back Where I Come From- Kenny Chesney.mp3,Back Where I Come From - Kenny Chesney.mp3,0.3,0.3,fallback_heuristic,low_confidence,none,no,not_recoverable
"C:\Users\suppo\Downloads\New Music\Top1000_Classical\Beethoven Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3","Beethoven Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3","Beethoven - Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3",0.3,0.3,fallback_heuristic,low_confidence,none,no,not_recoverable
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.mp3","Best Motown Hits of All Time 🎶 Soul Legends： Marvin Gaye, Smokey Robinson & James Brown.mp3","Best Motown Hits of All Time 🎶 Soul Legends - Marvin Gaye, Smokey Robinson & James Brown.mp3",0.3,0.7,fallback_heuristic,illegal_chars,near_duplicate,yes,artist_name_boundary+near_dup
