original_path,proposed_name,reason_for_review,confidence,recommended_action,notes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8 Ball and MJG- Space Age Pimpin.mp3,8 Ball and MJG - Space Age Pimpin.mp3,"Low confidence / unknown parse, not auto-recoverable; low_conf_blocked ()",0.3,hold,Source exists. Parse method: fallback_heuristic.
C:\Users\suppo\Downloads\New Music\Top1000\Aaria- Thug Love ft. Dreamdoll.mp3,Aaria - Thug Love ft. Dreamdoll.mp3,"Low confidence / unknown parse, not auto-recoverable; low_conf_blocked ()",0.3,hold,Source exists. Parse method: fallback_heuristic.
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\ACDC- For Those About To Rock (with lyrics).mp3,ACDC - For Those About To Rock (with lyrics).mp3,"Low confidence / unknown parse, not auto-recoverable; low_conf_blocked ()",0.3,hold,Source exists. Parse method: fallback_heuristic.
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson- Everything I Love.mp3,Alan Jackson - Everything I Love.mp3,"Low confidence / unknown parse, not auto-recoverable; low_conf_blocked ()",0.3,hold,Source exists. Parse method: fallback_heuristic.
C:\Users\suppo\Downloads\New Music\Top1000_Country\All my Exs live in Texas- George Strait.mp3,All my Exs live in Texas - George Strait.mp3,"Low confidence / unknown parse, not auto-recoverable; low_conf_blocked ()",0.3,hold,Source exists. Parse method: fallback_heuristic.
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\American Girl performed by Tom Petty.mp3,Tom Petty - American Girl performed.mp3,"Low confidence / unknown parse, not auto-recoverable; low_conf_blocked ()",0.3,hold,Source exists. Parse method: fallback_heuristic.
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Audio Two- Top Billin.mp3,Audio Two - Top Billin.mp3,"Low confidence / unknown parse, not auto-recoverable; low_conf_blocked ()",0.3,hold,Source exists. Parse method: fallback_heuristic.
C:\Users\suppo\Downloads\New Music\Top1000_Blues\B.B. King- Everyday I have the Blues.mp3,B.B. King - Everyday I have the Blues.mp3,"Low confidence / unknown parse, not auto-recoverable; low_conf_blocked ()",0.3,hold,Source exists. Parse method: fallback_heuristic.
C:\Users\suppo\Downloads\New Music\Top1000_Country\Back Where I Come From- Kenny Chesney.mp3,Back Where I Come From - Kenny Chesney.mp3,"Low confidence / unknown parse, not auto-recoverable; low_conf_blocked ()",0.3,hold,Source exists. Parse method: fallback_heuristic.
"C:\Users\suppo\Downloads\New Music\Top1000_Classical\Beethoven Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3","Beethoven - Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3","Low confidence / unknown parse, not auto-recoverable; low_conf_blocked ()",0.3,hold,Source exists. Parse method: fallback_heuristic.
