file_path,metadata_artist,metadata_title,filename_artist,filename_title,metadata_confidence,metadata_confidence_score,metadata_junk_flag,metadata_junk_reason,classification
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\017 - Ice Cube - it Was a Good Day.mp3,Ice Cube / Cubevision,Ice Cube - It Was A Good Day,017,Ice Cube - it Was a Good Day,MISMATCH,0.5,False,,METADATA_PARTIAL
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\026 - Bone Thugs N Harmony - Crossroads.mp3,Bone Thugs-N-Harmony,Bone Thugs N Harmony - Crossroads,026,Bone Thugs N Harmony - Crossroads,MISMATCH,0.5,False,,METADATA_PARTIAL
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\030 - Snoop Dogg - Gin and Juice.mp3,SnoopDoggTV,Snoop Dogg - Gin And Juice,030,Snoop Dogg - Gin and Juice,MISMATCH,0.5,False,,METADATA_PARTIAL
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\098 - Queen Latifah - U.n.i.t.y..mp3,QueenLatifahVEVO,Queen Latifah - U.N.I.T.Y.,098,Queen Latifah - U.n.i.t.y.,MISMATCH,0.5,False,,METADATA_PARTIAL
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\102 - Eazy-e - Real Muthaphuckkin G's.mp3,Creative Hip-Hop,Eazy-E - Real Muthaphuckkin G's (Music Video),102,Eazy-e - Real Muthaphuckkin G's,MISMATCH,0.2,True,video_noise,METADATA_UNRELIABLE
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\175 - 2pac - I Get Around.mp3,2Pac,2Pac - I Get Around,175,2pac - I Get Around,MISMATCH,0.5,False,,METADATA_PARTIAL
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\236 - Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,Bone Thugs-N-Harmony,Bone Thugs n Harmony - Thuggish Ruggish Bone,236,Bone Thugs N Harmony - Thuggish Ruggish Bone,MISMATCH,0.5,False,,METADATA_PARTIAL
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\2pac - Ambitionz Az a Ridah.mp3,MrNiCakk,2Pac - Ambitionz Az A Ridah (with lyrics),2pac,Ambitionz Az a Ridah,MISMATCH,0.533,False,,METADATA_PARTIAL
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\2pac - I Get Around.mp3,2Pac,2Pac - I Get Around,2pac,I Get Around,STRONG,0.95,False,,METADATA_TRUSTED
C:\Users\suppo\Downloads\New Music\READY_NORMALIZED\2pac - Keep Ya Head up (From Album - Strictly 4 My N.i.g.g.a.z.mp3,UPROXX,"2Pac - Keep Ya Head Up (from album: ""Strictly 4 My N.I.G.G.A.Z...""",2pac,Keep Ya Head up (From Album - Strictly 4 My N.i.g.g.a.z,MISMATCH,0.55,False,,METADATA_PARTIAL
