track_id,artist,title,action,new_genre,new_subgenre,confidence,notes
2290,Girish And The Chronicles,Girish And The Chronicles - Idenity Crisis,confirm_label,,,0.85,"deviations: harmonic_stability(z=2.9), section_count(z=3.14), avg_section_duration(z=4.83)"
2856,Jelly Roll,Jelly Roll - Need a Favor,confirm_label,,,0.85,"deviations: harmonic_stability(z=2.02), energy(z=2.03), section_count(z=2.53)"
2537,Sara Evans,Sara Evans - Suds In The Bucket,confirm_label,,,0.85,"deviations: section_count(z=2.53), avg_section_duration(z=2.16)"
2770,Zac Brown Band,Zac Brown Band - Heavy Is The Head,confirm_label,,,0.85,"deviations: section_count(z=2.53), avg_section_duration(z=2.7)"
2706,Tone-Loc,Tone Loc - Wild Thing,confirm_label,,,0.85,"deviations: harmonic_stability(z=2.04), section_count(z=2.89)"
2174,Demun Jones,Demun Jones - Backyard Lullaby,confirm_label,,,0.85,"deviations: harmonic_stability(z=2.84), section_count(z=2.53)"
2162,Def Leppard,Def Leppard - Animal,confirm_label,,,0.85,"deviations: harmonic_stability(z=2.13), section_count(z=3.14)"
2203,Donice Morace,Donice Morace - Wait 'til We Get Home,confirm_label,,,0.85,"deviations: section_count(z=2.53), avg_section_duration(z=2.17)"
2423,Luke Combs,Luke Combs - When It Rains It Pours,confirm_label,,,0.85,"deviations: section_count(z=2.53), avg_section_duration(z=2.66)"
2221,Faith No More,Faith No More - Epic,confirm_label,,,0.85,"deviations: tempo_stability(z=4.24), danceability(z=2.59)"
2752,Van Zant,Van Zant - Help Somebody,confirm_label,,,0.85,"deviations: loudness_lufs(z=2.24), danceability(z=2.51)"
2852,Mötley Crüe,Motley Crue - Dr  Feelgood,confirm_label,,,0.85,"deviations: section_count(z=3.14), avg_section_duration(z=2.41)"
2838,Hopsin,Hopsin - Ill Mind of Hopsin 5,confirm_label,,,0.85,"deviations: section_count(z=2.89), avg_section_duration(z=2.12)"
2136,Creed Fisher,Creed Fisher - I'll Have a Few More,confirm_label,,,0.85,"deviations: section_count(z=2.53), avg_section_duration(z=2.22)"
2841,Unknown,Dax - Temptation,confirm_label,,,0.85,"deviations: bpm_detected(z=2.0), tempo_stability(z=2.49)"
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,confirm_label,,,0.85,"deviations: tempo_stability(z=3.27), harmonic_stability(z=2.26)"
2663,Tom MacDonald,Tom MacDonald - Names,confirm_label,,,0.85,"deviations: bpm_detected(z=2.0), tempo_stability(z=2.49)"
