track_id,artist,title,current_genre,current_subgenre,top_3_similar_genres,anomaly_score,notes
2290,Girish And The Chronicles,Girish And The Chronicles - Idenity Crisis,Rock,Classic Rock,Electronic(1.353); Pop(1.735); Hip-Hop(1.92),1.782,"deviations: harmonic_stability(z=2.9), section_count(z=3.14), avg_section_duration(z=4.83)"
2856,Jelly Roll,Jelly Roll - Need a Favor,Country,,Pop(1.243); Hip-Hop(1.289); Metal(1.443),1.443,"deviations: harmonic_stability(z=2.02), energy(z=2.03), section_count(z=2.53)"
2537,Sara Evans,Sara Evans - Suds In The Bucket,Country,,Pop(1.708); Country(1.761); Rock(1.91),1.7,"deviations: section_count(z=2.53), avg_section_duration(z=2.16)"
2770,Zac Brown Band,Zac Brown Band - Heavy Is The Head,Country,,Pop(1.452); Hip-Hop(1.629); Rock(1.692),1.589,"deviations: section_count(z=2.53), avg_section_duration(z=2.7)"
2706,Tone-Loc,Tone Loc - Wild Thing,Hip-Hop,,Pop(1.356); Hip-Hop(1.695); Rock(1.938),1.525,"deviations: harmonic_stability(z=2.04), section_count(z=2.89)"
2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,,Pop(0.964); Electronic(0.99); Hip-Hop(1.196),1.337,"deviations: harmonic_stability(z=2.84), section_count(z=2.53)"
2162,Def Leppard,Def Leppard - Animal,Rock,,Electronic(0.72); Pop(1.121); Hip-Hop(1.293),1.257,"deviations: harmonic_stability(z=2.13), section_count(z=3.14)"
2203,Donice Morace,Donice Morace - Wait 'til We Get Home,Country,,Electronic(0.6); Pop(1.082); Hip-Hop(1.27),1.25,"deviations: section_count(z=2.53), avg_section_duration(z=2.17)"
2423,Luke Combs,Luke Combs - When It Rains It Pours,Country,,Electronic(0.717); Pop(1.095); Hip-Hop(1.292),1.239,"deviations: section_count(z=2.53), avg_section_duration(z=2.66)"
2221,Faith No More,Faith No More - Epic,Rock,,Pop(1.251); Country(1.522); Rock(1.839),1.223,"deviations: tempo_stability(z=4.24), danceability(z=2.59)"
2752,Van Zant,Van Zant - Help Somebody,Rock,,Metal(0.957); Hip-Hop(1.457); Rock(1.458),1.215,"deviations: loudness_lufs(z=2.24), danceability(z=2.51)"
2852,Mötley Crüe,Motley Crue - Dr  Feelgood,Rock,Classic Rock,Electronic(0.882); Pop(1.096); Hip-Hop(1.332),1.14,"deviations: section_count(z=3.14), avg_section_duration(z=2.41)"
2838,Hopsin,Hopsin - Ill Mind of Hopsin 5,Hip-Hop,,Pop(1.033); Hip-Hop(1.43); Electronic(1.454),1.112,"deviations: section_count(z=2.89), avg_section_duration(z=2.12)"
2136,Creed Fisher,Creed Fisher - I'll Have a Few More,Country,,Electronic(0.796); Pop(0.985); Hip-Hop(1.26),1.092,"deviations: section_count(z=2.53), avg_section_duration(z=2.22)"
2841,Unknown,Dax - Temptation,Hip-Hop,,Country(0.857); Rock(1.166); Hip-Hop(1.277),1.043,"deviations: bpm_detected(z=2.0), tempo_stability(z=2.49)"
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,,Pop(0.985); Country(1.432); Rock(1.595),0.888,"deviations: tempo_stability(z=3.27), harmonic_stability(z=2.26)"
2663,Tom MacDonald,Tom MacDonald - Names,Hip-Hop,,Country(1.038); Rock(1.093); Hip-Hop(1.203),0.812,"deviations: bpm_detected(z=2.0), tempo_stability(z=2.49)"
