folder,filename,extension,size_bytes,size_mb
READY_NORMALIZED,017 - Ice Cube - it Was a Good Day.mp3,.mp3,10537163,10.05
READY_NORMALIZED,026 - Bone Thugs N Harmony - Crossroads.mp3,.mp3,4849512,4.62
READY_NORMALIZED,030 - Snoop Dogg - Gin and Juice.mp3,.mp3,8323012,7.94
READY_NORMALIZED,098 - Queen Latifah - U.n.i.t.y..mp3,.mp3,7328657,6.99
READY_NORMALIZED,102 - Eazy-e - Real Muthaphuckkin G's.mp3,.mp3,9331834,8.9
READY_NORMALIZED,175 - 2pac - I Get Around.mp3,.mp3,9333219,8.9
READY_NORMALIZED,236 - Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,.mp3,4759131,4.54
READY_NORMALIZED,2pac - Ambitionz Az a Ridah.mp3,.mp3,8233910,7.85
READY_NORMALIZED,2pac - I Get Around.mp3,.mp3,9333219,8.9
READY_NORMALIZED,2pac - Keep Ya Head up (From Album - Strictly 4 My N.i.g.g.a.z.mp3,.mp3,7808923,7.45
READY_NORMALIZED,319 - Beastie Boys - Intergalactic.mp3,.mp3,9806829,9.35
READY_NORMALIZED,390 - Ice Cube - You Know How We Do It.mp3,.mp3,7844527,7.48
READY_NORMALIZED,440 - The Roots - You Got Me ft. Erykah Badu.mp3,.mp3,9324784,8.89
READY_NORMALIZED,50 Cent - 21 Questions ft. Nate Dogg (Music Video) (Alt 1).mp3,.mp3,8765949,8.36
READY_NORMALIZED,530 - Black Star - Respiration ft. Common.mp3,.mp3,8772485,8.37
READY_NORMALIZED,A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ the Darkest of Winters ⧸....mp3,.mp3,50189155,47.86
READY_NORMALIZED,A Tribe Called Quest - Electric Relaxation (Music Video) (Alt 1).mp3,.mp3,7925880,7.56
READY_NORMALIZED,AC-DC - Back in Black.mp3,.mp3,9608704,9.16
READY_NORMALIZED,AC-DC - Hells Bells.mp3,.mp3,11066624,10.55
READY_NORMALIZED,AC-DC - Highway to Hell.mp3,.mp3,6395720,6.1
READY_NORMALIZED,AC-DC - Let There Be Rock.mp3,.mp3,11231804,10.71
READY_NORMALIZED,AC-DC - You Shook Me All Night Long.mp3,.mp3,8039753,7.67
READY_NORMALIZED,Ad Infinitum - Animals Napalm Records.mp3,.mp3,8253826,7.87
READY_NORMALIZED,Ad Infinitum - Eternal Rains Napalm Records.mp3,.mp3,9474490,9.04
READY_NORMALIZED,Ad Infinitum - From the Ashes Napalm Records.mp3,.mp3,11273074,10.75
READY_NORMALIZED,Ad Infinitum - Inferno Napalm Records.mp3,.mp3,8859794,8.45
READY_NORMALIZED,Ad Infinitum - Seth Napalm Records.mp3,.mp3,8965706,8.55
READY_NORMALIZED,Ad Infinitum - Somewhere Better Napalm Records.mp3,.mp3,9030991,8.61
READY_NORMALIZED,Ad Infinitum - Unstoppable Napalm Records.mp3,.mp3,9228629,8.8
READY_NORMALIZED,Ad Infinitum - Upside Down Napalm Records.mp3,.mp3,8066969,7.69
READY_NORMALIZED,Aephanemer - Antigone Napalm Records.mp3,.mp3,9562895,9.12
READY_NORMALIZED,Aephanemer - Panta Rhei Napalm Records.mp3,.mp3,12239937,11.67
READY_NORMALIZED,Aero Chord Feat. Ddark - Shootin Stars ｜ Trap ｜ Ncs - Copyright Free Music.mp3,.mp3,8350569,7.96
READY_NORMALIZED,Alan Jackson - Anywhere On Earth You Are.mp3,.mp3,7857147,7.49
READY_NORMALIZED,Alan Jackson - Knew All Along.mp3,.mp3,7635427,7.28
READY_NORMALIZED,Albert Collins - Ice Pick.mp3,.mp3,6379328,6.08
READY_NORMALIZED,Alesso - I Wanna Know ft. Nico & Vinz (Alesso & Deniz Koyu Remix - Au).mp3,.mp3,10638603,10.15
READY_NORMALIZED,Amberian Dawn - Super Trouper Napalm Records.mp3,.mp3,9463027,9.02
READY_NORMALIZED,Amberian Dawn - Temptation's Gates Napalm Records.mp3,.mp3,6351000,6.06
READY_NORMALIZED,Amberian Dawn - The Day Before You Came Napalm Records.mp3,.mp3,12513790,11.93
READY_NORMALIZED,Ambitionz Az - A Ridah.mp3,.mp3,10079092,9.61
READY_NORMALIZED,Angus Mcsix - 6666 Napalm Records.mp3,.mp3,9230912,8.8
READY_NORMALIZED,Angus Mcsix - Dig Down (Feat. Van Canto) Napalm Records.mp3,.mp3,11103727,10.59
READY_NORMALIZED,Angus Mcsix - I Am Adam Mcsix Feat. Rhapsody of Fire + Alex Krull Napalm Records.mp3,.mp3,14239445,13.58
READY_NORMALIZED,Angus Mcsix - Laser-shooting Dinosaur Napalm Records.mp3,.mp3,9740774,9.29
READY_NORMALIZED,Angus Mcsix - Master of the Universe Napalm Records.mp3,.mp3,9670687,9.22
READY_NORMALIZED,Angus Mcsix - Ride to Hell Napalm Records.mp3,.mp3,10161731,9.69
READY_NORMALIZED,Angus Mcsix - Sixcalibur Napalm Records.mp3,.mp3,10065224,9.6
READY_NORMALIZED,Angus Mcsix - The Fire of Yore Feat. Uwe Ochsenknecht Napalm Records.mp3,.mp3,14852766,14.16
READY_NORMALIZED,"Aronchupa, Little Sis Nora - Im an Albatraoz ｜ Official Video.mp3",.mp3,5078864,4.84
READY_NORMALIZED,Avantasia - The Witch (Feat. Tommy Karevik) Napalm Records.mp3,.mp3,9339018,8.91
READY_NORMALIZED,Avicii - Levels Skrillex Remix.mp3,.mp3,8749474,8.34
READY_NORMALIZED,B. B. King - The Thrill is Gone ｜ Stages.mp3,.mp3,12789220,12.2
READY_NORMALIZED,Bad Bunny - Estamos Bien ｜ X100pre.mp3,.mp3,7293475,6.96
READY_NORMALIZED,Battlelore - Chambers of Fire Napalm Records.mp3,.mp3,9566569,9.12
READY_NORMALIZED,Battlelore - Elvenking Napalm Records.mp3,.mp3,11793020,11.25
READY_NORMALIZED,Beastie Boys - Intergalactic.mp3,.mp3,9806829,9.35
READY_NORMALIZED,"Best Motown Hits of All Time Soul Legends - Marvin Gaye, Smokey Robinson & James Brown.mp3",.mp3,177726548,169.49
READY_NORMALIZED,Big L - Put it On (Music Video) (Alt 1).mp3,.mp3,6523504,6.22
READY_NORMALIZED,Big Pun - Still Not a Player ft. Joe (Music Video) (Alt 1).mp3,.mp3,9074387,8.65
READY_NORMALIZED,Biggie Smalls - Notorious Thugs.mp3,.mp3,12004971,11.45
READY_NORMALIZED,Black Sabbath - Children of the Grave⧸embryo.mp3,.mp3,11351033,10.83
READY_NORMALIZED,Black Sabbath - Sweet Leaf.mp3,.mp3,8450180,8.06
READY_NORMALIZED,Black Sabbath - ~ War Pigs.mp3,.mp3,15350451,14.64
READY_NORMALIZED,Black Star - Respiration ft. Common.mp3,.mp3,8772485,8.37
READY_NORMALIZED,Bloodbound - As Empires Fall Napalm Records.mp3,.mp3,8138220,7.76
READY_NORMALIZED,Bloodbound - Defenders of Jerusalem Napalm Records.mp3,.mp3,9879335,9.42
READY_NORMALIZED,Bone Thugs N Harmony - Crossroads.mp3,.mp3,4849512,4.62
READY_NORMALIZED,Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,.mp3,4759131,4.54
READY_NORMALIZED,Cancun - Jhanking ｜.mp3,.mp3,6991179,6.67
READY_NORMALIZED,Carine - Call 911 ｜ Official Music Video.mp3,.mp3,5718269,5.45
READY_NORMALIZED,Carine - Lolita ｜ Official Visualizer.mp3,.mp3,5859624,5.59
READY_NORMALIZED,Carine - On My Mind ｜ Official Music Video.mp3,.mp3,5586179,5.33
READY_NORMALIZED,Charlie Daniels Band - The South's Gonna Do it (Live).mp3,.mp3,5654334,5.39
READY_NORMALIZED,Civil War - Battle of Life Napalm Records.mp3,.mp3,8715548,8.31
READY_NORMALIZED,Civil War - Invaders Napalm Records.mp3,.mp3,10069825,9.6
READY_NORMALIZED,Civil War - Oblivion Napalm Records.mp3,.mp3,11837078,11.29
READY_NORMALIZED,Classic Crooner Collection Best Jazz Hits Golden Era 50s - 70s Golden Crooner Classics 🎶.mp3,.mp3,135827971,129.54
READY_NORMALIZED,"Cool Company - I Dont Wanna Be in Love, but I Dont Wanna Be Alone ｜ Official Music Video.mp3",.mp3,7174910,6.84
READY_NORMALIZED,Craig Mack - Flava in Ya Ear (Remix).mp3,.mp3,9954523,9.49
READY_NORMALIZED,Craig Mack - Flava in Ya Ear.mp3,.mp3,9954523,9.49
READY_NORMALIZED,Cypress Hill - Insane in the Brain (Music Video) (Alt 1).mp3,.mp3,7463816,7.12
READY_NORMALIZED,Deaf Kev - Invincible ｜ Glitch Hop ｜ Ncs - Copyright Free Music.mp3,.mp3,9287910,8.86
READY_NORMALIZED,Delain - Beneath Napalm Records.mp3,.mp3,10829869,10.33
READY_NORMALIZED,Delain - Dance With the Devil Napalm Records.mp3,.mp3,9611820,9.17
READY_NORMALIZED,Delain - Moth to a Flame Napalm Records.mp3,.mp3,9577721,9.13
READY_NORMALIZED,Delain - Queen of Shadow Napalm Records.mp3,.mp3,9310354,8.88
READY_NORMALIZED,Delain - The Quest and the Curse Napalm Records (Alt 1).mp3,.mp3,10387292,9.91
READY_NORMALIZED,Delain - The Reaping Napalm Records.mp3,.mp3,9372604,8.94
READY_NORMALIZED,Different Heaven & Eh!de - My Heart ｜ Drumstep ｜ Ncs - Copyright Free Music.mp3,.mp3,9286234,8.86
READY_NORMALIZED,Dimitri Vegas & Like Mike ft. Wolfpack & Katy B - Find Tomorrow (Music Video) (Alt 1).mp3,.mp3,7471708,7.13
READY_NORMALIZED,Dimitri Vegas & Like Mike vs Sander Van Doorn - Project T (Martin Garrix Remix) (Alt 1).mp3,.mp3,9805580,9.35
READY_NORMALIZED,Dio - The Last in Line.mp3,.mp3,11216024,10.7
READY_NORMALIZED,DJ Jazzy Jeff & the Fresh Prince - Summertime (Music Video) (Alt 1).mp3,.mp3,8364115,7.98
READY_NORMALIZED,Doc Holliday - Bad Company ⧸ Amazing Grace.mp3,.mp3,18556371,17.7
READY_NORMALIZED,Dominum - Danger Danger Napalm Records.mp3,.mp3,9403668,8.97
READY_NORMALIZED,Dominum - Hey Living People Napalm Records.mp3,.mp3,8732606,8.33
READY_NORMALIZED,Dominum - Immortalis Dominum Napalm Records.mp3,.mp3,9418706,8.98
READY_NORMALIZED,Dominum - One of Us Napalm Records.mp3,.mp3,7427437,7.08
READY_NORMALIZED,Dominum - Patient Zero Napalm Records.mp3,.mp3,8458538,8.07
READY_NORMALIZED,Dominum - Rock You Like a Hurricane Napalm Records.mp3,.mp3,7834767,7.47
READY_NORMALIZED,Dominum - The Circus is in Town Napalm Records (Alt 1).mp3,.mp3,7070483,6.74
READY_NORMALIZED,Dominum - We All Taste the Same Napalm Records.mp3,.mp3,10959626,10.45
READY_NORMALIZED,Dominum - We Are Forlorn Napalm Records.mp3,.mp3,7976328,7.61
READY_NORMALIZED,Don Williams - ~ No Use Running ~.mp3,.mp3,4702945,4.49
READY_NORMALIZED,Don Williams - ~ Shes With Me ~.mp3,.mp3,6132048,5.85
READY_NORMALIZED,Don Williams - ~~The First Fool In Line ~~.mp3,.mp3,6668241,6.36
READY_NORMALIZED,Dr Dre - Nuthin but a Thang.mp3,.mp3,9157861,8.73
READY_NORMALIZED,Dragony - Legends Never Die Napalm Records.mp3,.mp3,9056284,8.64
READY_NORMALIZED,Dragony - The Dead Queen's Race Feat. Maria Nesh Napalm Records.mp3,.mp3,10504037,10.02
READY_NORMALIZED,E-40 - Tell Me When to Go ｜ Warner Records.mp3,.mp3,8643675,8.24
READY_NORMALIZED,Easton Corbin - A Little More Country Than That (Music Video) (Alt 1).mp3,.mp3,5660058,5.4
READY_NORMALIZED,Eazy-e - Real Muthaphuckkin G's.mp3,.mp3,9331834,8.9
