group_id,track_path,original_name,guessed_artist,guessed_title,similarity_score,suggested_primary,duplicate_risk,notes
G0083,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Kiss Deuce lyrics.mp3,Kiss Deuce lyrics.mp3,,Kiss Deuce lyrics,0.909,yes,near_duplicate,group_size=2
G0083,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Kiss Deuce lyrics.temp.mp3,Kiss Deuce lyrics.temp.mp3,,Kiss Deuce lyrics.temp,0.909,no,near_duplicate,group_size=2
G0089,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ambitionz Az A Ridah.mp3,Ambitionz Az A Ridah.mp3,Ambitionz Az,A Ridah,0.0,yes,near_duplicate,group_size=1
G0093,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Denim and Leather-Saxon (studio version).mp3,Denim and Leather-Saxon (studio version).mp3,,Denim and Leather-Saxon,0.952,yes,near_duplicate,group_size=2
G0093,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Denim and Leather-Saxon (studio version).temp.mp3,Denim and Leather-Saxon (studio version).temp.mp3,Denim and,Leather-Saxon .temp,0.952,no,near_duplicate,group_size=2
G0099,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Gangstarr-Above The Clouds.mp3,Gangstarr-Above The Clouds.mp3,,Gangstarr-Above The Clouds,0.0,yes,near_duplicate,group_size=1
G0106,C:\Users\suppo\Downloads\New Music\Top1000_Blues\sonny boy williamson help me.mp3,sonny boy williamson help me.mp3,sonny boy,williamson help me,0.939,yes,near_duplicate,group_size=2
G0106,C:\Users\suppo\Downloads\New Music\Top1000_Blues\sonny boy williamson help me.temp.mp3,sonny boy williamson help me.temp.mp3,sonny boy,williamson help me.temp,0.939,no,near_duplicate,group_size=2
G0112,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Geto Boys-Mind Playing Tricks on Me.mp3,Geto Boys-Mind Playing Tricks on Me.mp3,Geto Boys-Mind,Playing Tricks on Me,0.0,yes,near_duplicate,group_size=1
G0118,C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\EXIT EDEN - Femme Fatale (Official Video) ｜ Napalm Records.mp3,EXIT EDEN - Femme Fatale (Official Video) ｜ Napalm Records.mp3,EXIT EDEN,Femme Fatale ｜ Napalm Records,0.965,yes,near_duplicate,group_size=2
