group_id,file_path,original_name,subfolder,size_bytes,size_mb,quality_score,normalized_key,file_hash,similarity_tier,cluster_confidence,group_type,parse_method,confidence,exists
G0081,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\175 - 2Pac - I Get Around.mp3,175 - 2Pac - I Get Around.mp3,Top1000_HipHop,9333219,8.9,62,2pac i get around,258d8618a88dbd49,high,1.0,byte_identical,standard,1.0,True
G0081,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - I Get Around.mp3,2Pac - I Get Around.mp3,Top1000_HipHop,9333219,8.9,60,2pac i get around,258d8618a88dbd49,high,1.0,byte_identical,standard,1.0,True
G0082,C:\Users\suppo\Downloads\New Music\Top1000\Kelly Clarkson - me.mp3,Kelly Clarkson - me.mp3,Top1000,7006307,6.7,60,kelly clarkson me,b0d79dd0816a30b6,low,0.5,similar_title,standard,1.0,True
G0082,C:\Users\suppo\Downloads\New Music\Top1000\Kelly Clarkson - mine.mp3,Kelly Clarkson - mine.mp3,Top1000,6151047,5.9,65,kelly clarkson mine,43efe13579c69dfd,low,0.5,similar_title,standard,1.0,True
G0083,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Kiss Deuce lyrics.mp3,Kiss Deuce lyrics.mp3,Top1000_Hard Rock_Metal,5721358,5.5,45,kiss deuce,015fb92fbdb627e3,high,0.9,same_content,unknown,0.0,True
G0083,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Kiss Deuce lyrics.temp.mp3,Kiss Deuce lyrics.temp.mp3,Top1000_Hard Rock_Metal,5925585,5.7,15,kiss deuce,5018afa008af9d8c,high,0.9,same_content,unknown,0.0,True
G0084,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\UFO - Doctor Doctor.mp3,UFO - Doctor Doctor.mp3,Top1000_Hard Rock_Metal,8491916,8.1,60,ufo doctor doctor,e3681dcbbb5b474f,high,0.9,same_content,standard,1.0,True
G0084,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\UFO - Doctor Doctor.temp.mp3,UFO - Doctor Doctor.temp.mp3,Top1000_Hard Rock_Metal,8493041,8.1,30,ufo doctor doctor,09883d512f88cfb4,high,0.9,same_content,standard,1.0,True
G0085,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Slayer - Hell Awaits.mp3,Slayer - Hell Awaits.mp3,Top1000_Hard Rock_Metal,10915484,10.4,65,slayer hell awaits,fcab4569692be001,high,0.9,same_content,standard,1.0,True
G0085,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Slayer - Hell Awaits.temp.mp3,Slayer - Hell Awaits.temp.mp3,Top1000_Hard Rock_Metal,10916433,10.4,30,slayer hell awaits,561d1f288898f1cb,high,0.9,same_content,standard,1.0,True
G0086,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - The Spectre.mp3,Alan Walker - The Spectre.mp3,Top1000,7592658,7.2,65,alan walker the spectre,5e63a448779e211f,medium,0.75,near_duplicate,standard,1.0,True
G0086,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Spectre.mp3,Alan Walker - Spectre.mp3,Top1000,7837762,7.5,65,alan walker spectre,e4b52747400efe86,medium,0.75,near_duplicate,standard,1.0,True
G0087,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Queen Latifah - U.N.I.T.Y..mp3,Queen Latifah - U.N.I.T.Y..mp3,Top1000_HipHop,7328657,7.0,65,queen latifah u n i t y,47670b29f2fb8bf8,high,1.0,byte_identical,standard,1.0,True
G0087,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\098 - Queen Latifah - U.N.I.T.Y..mp3,098 - Queen Latifah - U.N.I.T.Y..mp3,Top1000_HipHop,7328657,7.0,62,queen latifah u n i t y,47670b29f2fb8bf8,high,1.0,byte_identical,standard,1.0,True
G0088,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Snoop Dogg - Who Am I？.mp3,Snoop Dogg - Who Am I？.mp3,Top1000_HipHop,9539151,9.1,65,snoop dogg who am i,10e0cb5be3ccf0af,high,1.0,byte_identical,standard,1.0,True
G0088,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Snoop Dogg - Who Am I (What's My Name)？.mp3,Snoop Dogg - Who Am I (What's My Name)？.mp3,Top1000_HipHop,9539151,9.1,65,snoop dogg who am i,10e0cb5be3ccf0af,high,1.0,byte_identical,standard,1.0,True
G0089,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Ambitionz Az A Ridah.mp3,2Pac - Ambitionz Az A Ridah.mp3,Top1000_HipHop,8233910,7.9,65,2pac ambitionz az a ridah,f79a86617ecaca72,medium,0.8,near_duplicate,standard,1.0,True
G0089,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ambitionz Az A Ridah.mp3,Ambitionz Az A Ridah.mp3,Top1000_HipHop,10079092,9.6,55,ambitionz az a ridah,11792b84276f8439,medium,0.8,near_duplicate,fallback_heuristic,0.3,True
G0090,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dio - The Last In Line.temp.mp3,Dio - The Last In Line.temp.mp3,Top1000_Hard Rock_Metal,11521910,11.0,30,dio the last in line,f562570fa540e7d9,high,0.9,same_content,standard,1.0,True
G0090,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dio - The Last In Line.mp3,Dio - The Last In Line.mp3,Top1000_Hard Rock_Metal,11216024,10.7,65,dio the last in line,6c09395b68be7e5a,high,0.9,same_content,standard,1.0,True
G0091,C:\Users\suppo\Downloads\New Music\Top1000_Club\W&W and MOTi - Spack Jarrow.mp3,W&W and MOTi - Spack Jarrow.mp3,Top1000_Club,9691434,9.2,65,w w and moti spack jarrow,df7121c12a58e058,medium,0.8,near_duplicate,standard,1.0,True
G0091,C:\Users\suppo\Downloads\New Music\Top1000_Club\W&W & MOTi - Spack Jarrow.mp3,W&W & MOTi - Spack Jarrow.mp3,Top1000_Club,6570614,6.3,65,w w moti spack jarrow,b18d2d14cbfb4dec,medium,0.8,near_duplicate,standard,1.0,True
G0092,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ice Cube - Check Yo Self.mp3,Ice Cube - Check Yo Self.mp3,Top1000_HipHop,10841572,10.3,65,ice cube check yo self,4d87510e6c4ab900,low,0.5,similar_title,standard,1.0,True
G0092,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\IceCube - Check Yo Self.mp3,IceCube - Check Yo Self.mp3,Top1000_HipHop,7597746,7.2,65,icecube check yo self,10a7a59ff18fd18b,low,0.5,similar_title,standard,1.0,True
G0093,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Denim and Leather-Saxon (studio version).temp.mp3,Denim and Leather-Saxon (studio version).temp.mp3,Top1000_Hard Rock_Metal,10762780,10.3,20,denim and leather saxon,3d523aadf43562be,high,0.9,same_content,fallback_heuristic,0.3,True
G0093,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Denim and Leather-Saxon (studio version).mp3,Denim and Leather-Saxon (studio version).mp3,Top1000_Hard Rock_Metal,10695629,10.2,55,denim and leather saxon,b010ee8101bd5e1e,high,0.9,same_content,unknown,0.0,True
G0094,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Pantera - 5 Minutes Alone (Official Music Video) [4K Remaster].mp3,Pantera - 5 Minutes Alone (Official Music Video) [4K Remaster].mp3,Top1000_Hard Rock_Metal,12273766,11.7,45,pantera 5 minutes alone,fc7c66079f7d9c7b,high,0.9,same_content,standard,1.0,True
G0094,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Pantera - 5 Minutes Alone (Official Music Video) [4K Remaster].temp.mp3,Pantera - 5 Minutes Alone (Official Music Video) [4K Remaster].temp.mp3,Top1000_Hard Rock_Metal,12889549,12.3,10,pantera 5 minutes alone,461dc7e2c83d18b2,high,0.9,same_content,standard,1.0,True
G0095,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.temp.mp3,black sabbath - sweet leaf.temp.mp3,Top1000_Hard Rock_Metal,8452517,8.1,30,black sabbath sweet leaf,e1c534a8ea4d840c,high,0.9,same_content,standard,1.0,True
G0095,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.mp3,black sabbath - sweet leaf.mp3,Top1000_Hard Rock_Metal,8450180,8.1,65,black sabbath sweet leaf,802e6965401a612f,high,0.9,same_content,standard,1.0,True
G0096,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\030 - Snoop Dogg - Gin And Juice.mp3,030 - Snoop Dogg - Gin And Juice.mp3,Top1000_HipHop,8323012,7.9,62,snoop dogg gin and juice,e21145ed437acbed,high,1.0,byte_identical,standard,1.0,True
G0096,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Snoop Dogg - Gin And Juice.mp3,Snoop Dogg - Gin And Juice.mp3,Top1000_HipHop,8323012,7.9,65,snoop dogg gin and juice,e21145ed437acbed,high,1.0,byte_identical,standard,1.0,True
G0097,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang.mp3,Dr Dre - Nuthin But A ＂G＂ Thang.mp3,Top1000_HipHop,9157861,8.7,59,dr dre nuthin but a g thang,90f8290eec8144fa,high,1.0,byte_identical,standard,1.0,True
G0097,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang.temp.mp3,Dr Dre - Nuthin But A ＂G＂ Thang.temp.mp3,Top1000_HipHop,9157861,8.7,24,dr dre nuthin but a g thang,90f8290eec8144fa,high,1.0,byte_identical,standard,1.0,True
G0099,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Gang Starr - Above The Clouds.mp3,Gang Starr - Above The Clouds.mp3,Top1000_HipHop,6495281,6.2,65,gang starr above the clouds,70b38a494c322c3f,low,0.5,similar_title,standard,1.0,True
G0099,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Gangstarr-Above The Clouds.mp3,Gangstarr-Above The Clouds.mp3,Top1000_HipHop,5865468,5.6,55,gangstarr above the clouds,d9596253dc3a1684,low,0.5,similar_title,unknown,0.0,True
G0100,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\319 - Beastie Boys - Intergalactic.mp3,319 - Beastie Boys - Intergalactic.mp3,Top1000_HipHop,9806829,9.4,62,beastie boys intergalactic,e503d541e3b73462,high,1.0,byte_identical,standard,1.0,True
G0100,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Beastie Boys - Intergalactic.mp3,Beastie Boys - Intergalactic.mp3,Top1000_HipHop,9806829,9.4,65,beastie boys intergalactic,e503d541e3b73462,high,1.0,byte_identical,standard,1.0,True
G0101,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Craig Mack - Flava In Ya Ear (Remix) (Official Music Video).mp3,Craig Mack - Flava In Ya Ear (Remix) (Official Music Video).mp3,Top1000_HipHop,9954523,9.5,55,craig mack flava in ya ear,08018b3c5a93e160,high,1.0,byte_identical,standard,1.0,True
G0101,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Craig Mack - Flava In Ya Ear.mp3,Craig Mack - Flava In Ya Ear.mp3,Top1000_HipHop,9954523,9.5,65,craig mack flava in ya ear,08018b3c5a93e160,high,1.0,byte_identical,standard,1.0,True
G0102,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\017 - Ice Cube - It Was A Good Day.mp3,017 - Ice Cube - It Was A Good Day.mp3,Top1000_HipHop,10537163,10.0,62,ice cube it was a good day,3e39ece0d78a0adf,high,1.0,byte_identical,standard,1.0,True
G0102,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ice Cube - It Was A Good Day.mp3,Ice Cube - It Was A Good Day.mp3,Top1000_HipHop,10537163,10.0,65,ice cube it was a good day,3e39ece0d78a0adf,high,1.0,byte_identical,standard,1.0,True
