original_path,original_name,new_artist,new_title,confidence,new_parse_method,recovery_status,notes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Adrenaline Rush.mp3,Adrenaline Rush.mp3,Rush,Adrenaline,0.6,known_artist_end_match,partial_recovery,recovered via known_artist_end_match
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson - ＂Its Time You Learned About Goodbye＂.mp3,Alan Jackson - ＂Its Time You Learned About Goodbye＂.mp3,Alan Jackson,Its Time You Learned About Goodbye,1.0,unicode_cleanup+standard,good_recovery,unicode_cleaned; improved via unicode cleanup
C:\Users\suppo\Downloads\New Music\Top1000_Country\Amarillo By Morning.mp3,Amarillo By Morning.mp3,Morning,Amarillo,0.8,by_separator,good_recovery,recovered via by_separator
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Among The Living-Anthrax.mp3,Among The Living-Anthrax.mp3,,,0.0,no_parse,unrecoverable,"no pattern found, keep HELD"
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Annihilator Alison Hell (Remastered Version).mp3,Annihilator Alison Hell (Remastered Version).mp3,Annihilator Alison,Hell (Remastered Version),0.3,fallback_heuristic,weak_recovery,recovered via fallback_heuristic
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ante Up Remix.mp3,Ante Up Remix.mp3,,,0.0,no_parse,unrecoverable,"no pattern found, keep HELD"
C:\Users\suppo\Downloads\New Music\Top1000\ARDN RUNNER UP.mp3,ARDN RUNNER UP.mp3,,,0.0,no_parse,unrecoverable,"no pattern found, keep HELD"
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Arise.mp3,Arise.mp3,,,0.0,no_parse,unrecoverable,"no pattern found, keep HELD"
C:\Users\suppo\Downloads\New Music\Top1000\Baby 9eno ＂ Free B.G. ＂ @tntshotit.mp3,Baby 9eno ＂ Free B.G. ＂ @tntshotit.mp3,Baby 9eno,Free B.G. @tntshotit,0.7,unicode_cleanup+known_artist_match,good_recovery,unicode_cleaned; partial recovery via known_artist_match
"C:\Users\suppo\Downloads\New Music\Top1000_Opera\Bach, Air.mp3","Bach, Air.mp3",Bach,Air,0.6,comma_separator,partial_recovery,recovered via comma_separator
C:\Users\suppo\Downloads\New Music\Top1000_Classical\Beethovens 5th Symphony.mp3,Beethovens 5th Symphony.mp3,,,0.0,no_parse,unrecoverable,"no pattern found, keep HELD"
C:\Users\suppo\Downloads\New Music\Top1000_Country\Believe.mp3,Believe.mp3,,,0.0,no_parse,unrecoverable,"no pattern found, keep HELD"
C:\Users\suppo\Downloads\New Music\Top1000_Country\Bertie Higgins - ＂Key Largo＂.mp3,Bertie Higgins - ＂Key Largo＂.mp3,Bertie Higgins,Key Largo,1.0,unicode_cleanup+standard,good_recovery,unicode_cleaned; improved via unicode cleanup
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Black Dog (Remaster).mp3,Black Dog (Remaster).mp3,,,0.0,no_parse,unrecoverable,"no pattern found, keep HELD"
C:\Users\suppo\Downloads\New Music\Top1000_Country\Brandi Carlile Hallelujah.mp3,Brandi Carlile Hallelujah.mp3,Brandi Carlile,Hallelujah,0.7,known_artist_match,good_recovery,recovered via known_artist_match
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\BT- Race Wars.mp3,BT- Race Wars.mp3,BT,Race Wars,0.8,hyphen_separator,good_recovery,recovered via hyphen_separator
C:\Users\suppo\Downloads\New Music\Top1000\BTS- MIC Drop.mp3,BTS- MIC Drop.mp3,BTS,MIC Drop,0.8,hyphen_separator,good_recovery,recovered via hyphen_separator
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\CANIBUS MAN.mp3,CANIBUS MAN.mp3,CANIBUS,MAN,0.7,known_artist_match,good_recovery,recovered via known_artist_match
C:\Users\suppo\Downloads\New Music\Top1000\Chavo ＂Tatum Jersey＂ Official Video.mp3,Chavo ＂Tatum Jersey＂ Official Video.mp3,Chavo Tatum,Jersey Official Video,0.3,unicode_cleanup+fallback_heuristic,weak_recovery,unicode_cleaned; partial recovery via fallback_heuristic
