original_path,original_name,cleaned_name,guessed_artist,guessed_title,stripped_tokens,confidence,proposed_name,collision_status,override_applied,duplicate_group_id,duplicate_risk,parse_method,action
C:\Users\suppo\Music\120 BPM Metronome.mp3,120 BPM Metronome.mp3,120 BPM Metronome.mp3,,120 BPM Metronome,,0.0,120 Bpm Metronome.mp3,no_change,,,none,unknown,skip
C:\Users\suppo\Music\2Pac - California Love.mp3,2Pac - California Love.mp3,2Pac - California Love.mp3,2Pac,California Love,,1.0,2pac - California Love.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\3 Doors Down - Here Without You.mp3,3 Doors Down - Here Without You.mp3,3 Doors Down - Here Without You.mp3,3 Doors Down,Here Without You,,1.0,3 Doors Down - Here Without You.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\3 Doors Down - It's Not My Time.mp3,3 Doors Down - It's Not My Time.mp3,3 Doors Down - It's Not My Time.mp3,3 Doors Down,It's Not My Time,,1.0,3 Doors Down - It's Not My Time.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\3 Doors Down - Kryptonite.mp3,3 Doors Down - Kryptonite.mp3,3 Doors Down - Kryptonite.mp3,3 Doors Down,Kryptonite,,1.0,3 Doors Down - Kryptonite.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\38 Special - Back Where You Belong.mp3,38 Special - Back Where You Belong.mp3,38 Special - Back Where You Belong.mp3,38 Special,Back Where You Belong,,1.0,38 Special - Back Where You Belong.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\38 Special - Caught Up In You.mp3,38 Special - Caught Up In You.mp3,38 Special - Caught Up In You.mp3,38 Special,Caught Up In You,,1.0,38 Special - Caught up in You.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\38 Special - Hold On Loosely.mp3,38 Special - Hold On Loosely.mp3,38 Special - Hold On Loosely.mp3,38 Special,Hold On Loosely,,1.0,38 Special - Hold on Loosely.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\38 Special - If I'd Been The One.mp3,38 Special - If I'd Been The One.mp3,38 Special - If I'd Been The One.mp3,38 Special,If I'd Been The One,,1.0,38 Special - If I'd Been the One.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\38 Special - Somebody Like You.mp3,38 Special - Somebody Like You.mp3,38 Special - Somebody Like You.mp3,38 Special,Somebody Like You,,1.0,38 Special - Somebody Like You.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\50 Cent - In Da Club.mp3,50 Cent - In Da Club.mp3,50 Cent - In Da Club.mp3,50 Cent,In Da Club,,1.0,50 Cent - In Da Club.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\Aaron Lewis - Am I The Only One.mp3,Aaron Lewis - Am I The Only One.mp3,Aaron Lewis - Am I The Only One.mp3,Aaron Lewis,Am I The Only One,,1.0,Aaron Lewis - Am I the Only One.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\Aaron Lewis - Country Boy.mp3,Aaron Lewis - Country Boy.mp3,Aaron Lewis - Country Boy.mp3,Aaron Lewis,Country Boy,,1.0,Aaron Lewis - Country Boy.mp3,no_change,,,none,standard,skip
"C:\Users\suppo\Music\Aaron Tippin -  Drill Here, Drill Now.mp3","Aaron Tippin -  Drill Here, Drill Now.mp3","Aaron Tippin - Drill Here, Drill Now.mp3",Aaron Tippin,"Drill Here, Drill Now",,1.0,"Aaron Tippin - Drill Here, Drill Now.mp3",ok,,,none,standard,
C:\Users\suppo\Music\Aaron Tippin - Big Boy Toys.mp3,Aaron Tippin - Big Boy Toys.mp3,Aaron Tippin - Big Boy Toys.mp3,Aaron Tippin,Big Boy Toys,,1.0,Aaron Tippin - Big Boy Toys.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\Aaron Tippin - Drivin' Fool .mp3,Aaron Tippin - Drivin' Fool .mp3,Aaron Tippin - Drivin' Fool.mp3,Aaron Tippin,Drivin' Fool,,1.0,Aaron Tippin - Drivin' Fool.mp3,ok,,G0008,near_duplicate,standard,
C:\Users\suppo\Music\Aaron Tippin - Drivin_Fool .mp3,Aaron Tippin - Drivin_Fool .mp3,Aaron Tippin - Drivin_Fool.mp3,Aaron Tippin,Drivin_Fool,,1.0,Aaron Tippin - Drivin_fool.mp3,ok,,G0008,near_duplicate,standard,
C:\Users\suppo\Music\Aaron Tippin - He Believed.mp3,Aaron Tippin - He Believed.mp3,Aaron Tippin - He Believed.mp3,Aaron Tippin,He Believed,,1.0,Aaron Tippin - He Believed.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\Aaron Tippin - That's As Close As I'll Get To Loving You.mp3,Aaron Tippin - That's As Close As I'll Get To Loving You.mp3,Aaron Tippin - That's As Close As I'll Get To Loving You.mp3,Aaron Tippin,That's As Close As I'll Get To Loving You,,1.0,Aaron Tippin - That's as Close as I'll Get to Loving You.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\Aaron Tippin - The Call of the Wild.mp3,Aaron Tippin - The Call of the Wild.mp3,Aaron Tippin - The Call of the Wild.mp3,Aaron Tippin,The Call of the Wild,,1.0,Aaron Tippin - The Call of the Wild.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\Aaron Tippin - There Ain't Nothin' Wrong with the Radio.mp3,Aaron Tippin - There Ain't Nothin' Wrong with the Radio.mp3,Aaron Tippin - There Ain't Nothin' Wrong with the Radio.mp3,Aaron Tippin,There Ain't Nothin' Wrong with the Radio,,1.0,Aaron Tippin - There Ain't Nothin' Wrong With the Radio.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\Aaron Tippin - Where The Stars And Stripes And The Eagle Fly.mp3,Aaron Tippin - Where The Stars And Stripes And The Eagle Fly.mp3,Aaron Tippin - Where The Stars And Stripes And The Eagle Fly.mp3,Aaron Tippin,Where The Stars And Stripes And The Eagle Fly,,1.0,Aaron Tippin - Where the Stars and Stripes and the Eagle Fly.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\Aaron Tippin - Working Man's Phd.mp3,Aaron Tippin - Working Man's Phd.mp3,Aaron Tippin - Working Man's Phd.mp3,Aaron Tippin,Working Man's Phd,,1.0,Aaron Tippin - Working Man's PhD.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\Aaron Tippin - You've Got to Stand for Something.mp3,Aaron Tippin - You've Got to Stand for Something.mp3,Aaron Tippin - You've Got to Stand for Something.mp3,Aaron Tippin,You've Got to Stand for Something,,1.0,Aaron Tippin - You've Got to Stand for Something.mp3,no_change,,,none,standard,skip
C:\Users\suppo\Music\AC-DC - Flick of the Switch.mp3,AC-DC - Flick of the Switch.mp3,AC-DC - Flick of the Switch.mp3,AC-DC,Flick of the Switch,,1.0,AC-DC - Flick of the Switch.mp3,no_change,Ac-dc->AC-DC,,none,standard,skip
C:\Users\suppo\Music\AC-DC - Highway to Hell.mp3,AC-DC - Highway to Hell.mp3,AC-DC - Highway to Hell.mp3,AC-DC,Highway to Hell,,1.0,AC-DC - Highway to Hell.mp3,no_change,Ac-dc->AC-DC,,none,standard,skip
C:\Users\suppo\Music\AC-DC - Money Talks.mp3,AC-DC - Money Talks.mp3,AC-DC - Money Talks.mp3,AC-DC,Money Talks,,1.0,AC-DC - Money Talks.mp3,no_change,Ac-dc->AC-DC,,none,standard,skip
