file_path,action,result,reason
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\ACDC- For Those About To Rock (with lyrics).mp3,RENAME,success,Renamed: ACDC- For Those About To Rock (with lyrics).mp3 → AC-DC - For Those About To Rock.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\American Girl performed by Tom Petty.mp3,RENAME,success,Renamed: American Girl performed by Tom Petty.mp3 → Tom Petty - American Girl.mp3
"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Vintage Jazz 1950s 🎷 Golden Classics by Frank Sinatra, Nat King Cole & Louis Armstrong.mp3",RENAME,success,"Renamed: Vintage Jazz 1950s 🎷 Golden Classics by Frank Sinatra, Nat King Cole & Louis Armstrong.mp3 → Frank Sinatra, Nat King Cole & Louis Armstrong.mp3"
"C:\Users\suppo\Downloads\New Music\Top1000_Country\With you, Without you by Brad Paisley.wmv.mp3",RENAME,success,"Renamed: With you, Without you by Brad Paisley.wmv.mp3 → Brad Paisley - With you, Without you.mp3"
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Back In Black (Official 4K Video).mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Hells Bells (Official 4K Video).mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Highway to Hell (Official Video).mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Let There Be Rock (Official Video).mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Club\Aero Chord feat. DDARK - Shootin Stars ｜ Trap ｜ NCS - Copyright Free Music.mp3,RENAME,blocked,SOURCE_NOT_FOUND
C:\Users\suppo\Downloads\New Music\Top1000_Country\Brad Paisley-Mr Policeman with lyrics.mp3,RENAME,success,Renamed: Brad Paisley-Mr Policeman with lyrics.mp3 → Brad Paisley - Policeman.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Drop It Like Its Hot by Snoop Dogg ft. Pharrell ｜ Interscope.mp3,RENAME,success,Renamed: Drop It Like Its Hot by Snoop Dogg ft. Pharrell ｜ Interscope.mp3 → Snoop Dogg ft. Pharrell - Drop It Like Its Hot by .mp3
C:\Users\suppo\Downloads\New Music\Top1000\Edine - 24⧸7.mp3,RENAME,success,Renamed: Edine - 24⧸7.mp3 → Edine - 24-7.mp3
