original_path,decision,notes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\017 - Ice Cube - It Was A Good Day.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=017 - Ice Cube - It Was A Good Day (HipH
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\026 - Bone Thugs N Harmony - Crossroads.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=026 - Bone Thugs N Harmony - Crossroads 
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\030 - Snoop Dogg - Gin And Juice.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=030 - Snoop Dogg - Gin And Juice (HipHop
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\098 - Queen Latifah - U.N.I.T.Y..mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=098 - Queen Latifah - U.N.I.T.Y. (HipHop
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\102 - Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=102 - Eazy-E - Real Muthaphuckkin G's (M
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\175 - 2Pac - I Get Around.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=175 - 2pac - I Get Around.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\236 - Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=236 - Bone Thugs n Harmony - Thuggish Ru
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Ambitionz Az A Ridah.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=2pac - Ambitionz Az a Ridah.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Hit 'Em Up (Dirty) (Music Video) HD.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Hit Em Up HD.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - I Get Around.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=2Pac - I Get Around (HipHop).mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\319 - Beastie Boys - Intergalactic.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=319 - Beastie Boys - Intergalactic (HipH
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\390 - Ice Cube - You Know How We Do It.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=390 - Ice Cube - You Know How We Do It (
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\440 - The Roots - You Got Me ft. Erykah Badu.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=440 - The Roots - You Got Me ft. Erykah 
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\530 - Black Star - Respiration ft. Common.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=530 - Black Star - Respiration ft. Commo
C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Spectre.mp3,hold,COMPLEX_DUPLICATE: requires explicit review
C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - The Spectre.mp3,keep_review,NEEDS_REVIEW state from Phase 6
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Beastie Boys - Intergalactic.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Beastie Boys - Intergalactic.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Biggie Smalls - Notorious Thugs.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Biggie Smalls - Notorious Thugs.mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Biggie Smalls - Notorious Thugs.temp.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=Biggie Smalls - Notorious Thugs (Alt 1).
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.mp3,approve_primary,RESOLVED_PRIMARY high-conf; proposed=Black Sabbath - Sweet Leaf.mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.temp.mp3,approve_alternate,RESOLVED_ALTERNATE collision-safe; alt=black sabbath - sweet leaf (Alt 1).mp3
