original_path,proposed_name,source_queue,confidence
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Wu-Tang Clan - Da Mystery Of Chessboxin' (Official HD Video).mp3,Wu-tang Clan - Da Mystery of Chessboxin'.mp3,deferred_wave3,1.0
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Leoncavallo - Pagliacci： Vesti La Giubba.mp3,Leoncavallo - Pagliacci： Vesti La Giubba.mp3,deferred_wave3,1.0
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Verdi - Rigoletto： La Donna E Mobile.mp3,Verdi - Rigoletto： La Donna E Mobile.mp3,deferred_wave3,1.0
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Wu-Tang Clan - Da Mystery Of Chessboxin.mp3,Wu-tang Clan - Da Mystery of Chessboxin.mp3,deferred_wave3,1.0
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Handel - Xerxes： Ombra Mai Fu.mp3,Handel - Xerxes： Ombra Mai Fu.mp3,deferred_wave3,1.0
"C:\Users\suppo\Downloads\New Music\Top1000_Jazz\Louis Armstrong, Nat King Cole & Frank Sinatra ： Best Old Songs 50s - 70s ｜ Nostalgic Vintage Jazz.mp3","Louis Armstrong, Nat King Cole & Frank Sinatra ： Best Old Songs 50s - 70s ｜ Nostalgic Vintage Jazz.mp3",deferred_wave3,1.0
C:\Users\suppo\Downloads\New Music\Top1000_Opera\Rossini - La Gazza Ladra： Overture.mp3,Rossini - La Gazza Ladra： Overture.mp3,deferred_wave3,1.0
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Doc Holliday - Bad Company ⧸ Amazing Grace.mp3,Doc Holliday - Bad Company ⧸ Amazing Grace.mp3,deferred_wave3,1.0
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg.mp3,50 Cent - 21 Questions ft. Nate Dogg (Music Video) (Alt 1).mp3,recovered_phase11,0.8
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation (Official HD Video).mp3,A Tribe Called Quest - Electric Relaxation (Music Video) (Alt 1).mp3,recovered_phase11,0.8
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson Anywhere On Earth You Are.mp3,Alan Jackson - Anywhere On Earth You Are.mp3,recovered_phase11,0.7
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson Knew All Along.mp3,Alan Jackson - Knew All Along.mp3,recovered_phase11,0.7
C:\Users\suppo\Downloads\New Music\Top1000_Blues\Albert Collins Ice Pick.mp3,Albert Collins - Ice Pick.mp3,recovered_phase11,0.7
C:\Users\suppo\Downloads\New Music\Top1000_Club\Alesso - I Wanna Know (Alesso & Deniz Koyu Remix ⧸ Audio) ft. Nico & Vinz.mp3,Alesso - I Wanna Know ft. Nico & Vinz (Alesso & Deniz Koyu Remix - Au).mp3,recovered_phase11,0.8
