original_path,original_name,proposed_name,old_state,new_state,confidence,collision_status,duplicate_risk,file_exists
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\017 - Ice Cube - It Was A Good Day.mp3,017 - Ice Cube - It Was A Good Day.mp3,017 - Ice Cube - it Was a Good Day.mp3,REVIEW_REQUIRED,READY_CANDIDATE,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\026 - Bone Thugs N Harmony - Crossroads.mp3,026 - Bone Thugs N Harmony - Crossroads.mp3,026 - Bone Thugs N Harmony - Crossroads.mp3,REVIEW_REQUIRED,READY_CANDIDATE,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\030 - Snoop Dogg - Gin And Juice.mp3,030 - Snoop Dogg - Gin And Juice.mp3,030 - Snoop Dogg - Gin and Juice.mp3,REVIEW_REQUIRED,READY_CANDIDATE,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\098 - Queen Latifah - U.N.I.T.Y..mp3,098 - Queen Latifah - U.N.I.T.Y..mp3,098 - Queen Latifah - U.n.i.t.y..mp3,REVIEW_REQUIRED,READY_CANDIDATE,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\102 - Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,102 - Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,102 - Eazy-e - Real Muthaphuckkin G's.mp3,REVIEW_REQUIRED,READY_CANDIDATE,1.0,ok,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\175 - 2Pac - I Get Around.mp3,175 - 2Pac - I Get Around.mp3,175 - 2pac - I Get Around.mp3,REVIEW_REQUIRED,READY_CANDIDATE,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\236 - Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,236 - Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,236 - Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,REVIEW_REQUIRED,READY_CANDIDATE,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Ambitionz Az A Ridah.mp3,2Pac - Ambitionz Az A Ridah.mp3,2pac - Ambitionz Az a Ridah.mp3,REVIEW_REQUIRED,READY_CANDIDATE,1.0,no_change,near_duplicate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Hit 'Em Up (Dirty) (Music Video) HD.mp3,2Pac - Hit 'Em Up (Dirty) (Music Video) HD.mp3,2pac - Hit 'em up Hd.mp3,REVIEW_REQUIRED,REVIEW_REQUIRED,1.0,ok,similar_title,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Hit Em Up HD.mp3,2Pac - Hit Em Up HD.mp3,2pac - Hit Em up Hd.mp3,REVIEW_REQUIRED,HELD_PROBLEMS,1.0,no_change,similar_title,yes
