original_path,original_name,current_state,classification,reason,confidence,collision_status,duplicate_risk,duplicate_state,file_exists,phase7_decision,phase7_eligible
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\017 - Ice Cube - It Was A Good Day.mp3,017 - Ice Cube - It Was A Good Day.mp3,REVIEW_REQUIRED,MISCLASSIFIED_READY,"eligible for promotion, decision=approve_alternate",1.0,no_change,near_duplicate,RESOLVED_ALTERNATE,yes,approve_alternate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\026 - Bone Thugs N Harmony - Crossroads.mp3,026 - Bone Thugs N Harmony - Crossroads.mp3,REVIEW_REQUIRED,MISCLASSIFIED_READY,"eligible for promotion, decision=approve_alternate",1.0,no_change,near_duplicate,RESOLVED_ALTERNATE,yes,approve_alternate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\030 - Snoop Dogg - Gin And Juice.mp3,030 - Snoop Dogg - Gin And Juice.mp3,REVIEW_REQUIRED,MISCLASSIFIED_READY,"eligible for promotion, decision=approve_alternate",1.0,no_change,near_duplicate,RESOLVED_ALTERNATE,yes,approve_alternate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\098 - Queen Latifah - U.N.I.T.Y..mp3,098 - Queen Latifah - U.N.I.T.Y..mp3,REVIEW_REQUIRED,MISCLASSIFIED_READY,"eligible for promotion, decision=approve_alternate",1.0,no_change,near_duplicate,RESOLVED_ALTERNATE,yes,approve_alternate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\102 - Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,102 - Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,REVIEW_REQUIRED,MISCLASSIFIED_READY,"eligible for promotion, decision=approve_alternate",1.0,ok,near_duplicate,RESOLVED_ALTERNATE,yes,approve_alternate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\175 - 2Pac - I Get Around.mp3,175 - 2Pac - I Get Around.mp3,REVIEW_REQUIRED,MISCLASSIFIED_READY,"eligible for promotion, decision=approve_primary",1.0,no_change,near_duplicate,RESOLVED_PRIMARY,yes,approve_primary,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\236 - Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,236 - Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,REVIEW_REQUIRED,MISCLASSIFIED_READY,"eligible for promotion, decision=approve_alternate",1.0,no_change,near_duplicate,RESOLVED_ALTERNATE,yes,approve_alternate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Ambitionz Az A Ridah.mp3,2Pac - Ambitionz Az A Ridah.mp3,REVIEW_REQUIRED,MISCLASSIFIED_READY,"eligible for promotion, decision=approve_primary",1.0,no_change,near_duplicate,RESOLVED_PRIMARY,yes,approve_primary,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Hit 'Em Up (Dirty) (Music Video) HD.mp3,2Pac - Hit 'Em Up (Dirty) (Music Video) HD.mp3,REVIEW_REQUIRED,CLEAN_REVIEW,dup needs review (NEEDS_REVIEW),1.0,ok,similar_title,NEEDS_REVIEW,yes,keep_review,no
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Hit Em Up HD.mp3,2Pac - Hit Em Up HD.mp3,REVIEW_REQUIRED,MISCLASSIFIED_HELD,COMPLEX_DUPLICATE should be in HELD,1.0,no_change,similar_title,COMPLEX_DUPLICATE,yes,hold,no
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - I Get Around.mp3,2Pac - I Get Around.mp3,REVIEW_REQUIRED,MISCLASSIFIED_READY,"eligible for promotion, decision=approve_alternate",1.0,no_change,near_duplicate,RESOLVED_ALTERNATE,yes,approve_alternate,yes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\319 - Beastie Boys - Intergalactic.mp3,319 - Beastie Boys - Intergalactic.mp3,REVIEW_REQUIRED,MISCLASSIFIED_READY,"eligible for promotion, decision=approve_alternate",1.0,no_change,near_duplicate,RESOLVED_ALTERNATE,yes,approve_alternate,yes
