batch_id,original_path,original_name,proposed_name,cleaned_name,guessed_artist,guessed_title,override_applied,parse_method,confidence,collision_status,duplicate_group_id,duplicate_risk,action,target_state,notes
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\017 - Ice Cube - It Was A Good Day.mp3,017 - Ice Cube - It Was A Good Day.mp3,017 - Ice Cube - it Was a Good Day.mp3,017 - Ice Cube - It Was A Good Day.mp3,017,Ice Cube - It Was A Good Day,,standard,1.0,no_change,G0102,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\026 - Bone Thugs N Harmony - Crossroads.mp3,026 - Bone Thugs N Harmony - Crossroads.mp3,026 - Bone Thugs N Harmony - Crossroads.mp3,026 - Bone Thugs N Harmony - Crossroads.mp3,026,Bone Thugs N Harmony - Crossroads,,standard,1.0,no_change,G0110,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\030 - Snoop Dogg - Gin And Juice.mp3,030 - Snoop Dogg - Gin And Juice.mp3,030 - Snoop Dogg - Gin and Juice.mp3,030 - Snoop Dogg - Gin And Juice.mp3,030,Snoop Dogg - Gin And Juice,,standard,1.0,no_change,G0096,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\098 - Queen Latifah - U.N.I.T.Y..mp3,098 - Queen Latifah - U.N.I.T.Y..mp3,098 - Queen Latifah - U.n.i.t.y..mp3,098 - Queen Latifah - U.N.I.T.Y..mp3,098,Queen Latifah - U.N.I.T.Y.,,standard,1.0,no_change,G0087,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\102 - Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,102 - Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,102 - Eazy-e - Real Muthaphuckkin G's.mp3,102 - Eazy-E - Real Muthaphuckkin G's.mp3,102,Eazy-E - Real Muthaphuckkin G's,,standard,1.0,ok,G0103,near_duplicate,,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\175 - 2Pac - I Get Around.mp3,175 - 2Pac - I Get Around.mp3,175 - 2pac - I Get Around.mp3,175 - 2Pac - I Get Around.mp3,175,2Pac - I Get Around,,standard,1.0,no_change,G0081,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\236 - Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,236 - Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,236 - Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,236 - Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,236,Bone Thugs n Harmony - Thuggish Ruggish Bone,,standard,1.0,no_change,G0122,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Ambitionz Az A Ridah.mp3,2Pac - Ambitionz Az A Ridah.mp3,2pac - Ambitionz Az a Ridah.mp3,2Pac - Ambitionz Az A Ridah.mp3,2Pac,Ambitionz Az A Ridah,,standard,1.0,no_change,G0089,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Hit 'Em Up (Dirty) (Music Video) HD.mp3,2Pac - Hit 'Em Up (Dirty) (Music Video) HD.mp3,2pac - Hit 'em up Hd.mp3,2Pac - Hit 'Em Up HD.mp3,2Pac,Hit 'Em Up HD,,standard,1.0,ok,G0146,similar_title,,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Hit Em Up HD.mp3,2Pac - Hit Em Up HD.mp3,2pac - Hit Em up Hd.mp3,2Pac - Hit Em Up HD.mp3,2Pac,Hit Em Up HD,,standard,1.0,no_change,G0146,similar_title,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - I Get Around.mp3,2Pac - I Get Around.mp3,2pac - I Get Around.mp3,2Pac - I Get Around.mp3,2Pac,I Get Around,,standard,1.0,no_change,G0081,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\319 - Beastie Boys - Intergalactic.mp3,319 - Beastie Boys - Intergalactic.mp3,319 - Beastie Boys - Intergalactic.mp3,319 - Beastie Boys - Intergalactic.mp3,319,Beastie Boys - Intergalactic,,standard,1.0,no_change,G0100,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\390 - Ice Cube - You Know How We Do It.mp3,390 - Ice Cube - You Know How We Do It.mp3,390 - Ice Cube - You Know How We Do It.mp3,390 - Ice Cube - You Know How We Do It.mp3,390,Ice Cube - You Know How We Do It,,standard,1.0,no_change,G0109,near_duplicate,skip,REVIEW_REQUIRED,
BATCH_20260405_110657_c66be753,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\440 - The Roots - You Got Me ft. Erykah Badu.mp3,440 - The Roots - You Got Me ft. Erykah Badu.mp3,440 - The Roots - You Got Me ft. Erykah Badu.mp3,440 - The Roots - You Got Me ft. Erykah Badu.mp3,440,The Roots - You Got Me ft. Erykah Badu,,standard,1.0,no_change,G0116,near_duplicate,skip,REVIEW_REQUIRED,
