original_path,proposed_name,action_requested,action_taken,destination,reason
C:\Users\suppo\Downloads\New Music\Top1000_Club\- Pegboard Nerds - Disconnected.mp3,- Pegboard Nerds - Disconnected.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_Club\- Rootkit - Against the Sun.mp3,- Rootkit - Against the Sun.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_Club\- Tristam & Braken - Flight.mp3,- Tristam & Braken - Flight.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\017 - Ice Cube - It Was A Good Day.mp3,017 - Ice Cube - it Was a Good Day.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\026 - Bone Thugs N Harmony - Crossroads.mp3,026 - Bone Thugs N Harmony - Crossroads.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\03. Ice Cube - AmeriKKKas Most Wanted.mp3,Ice Cube - Amerikkkas Most Wanted.mp3,approve_normalize,dry_run_normalize,C:\Users\suppo\Desktop\NGKsSystems\NGKsPlayerNative\data\batch_staging\READY_NORMALIZED\Ice Cube - Amerikkkas Most Wanted.mp3,would_copy_rename
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\030 - Snoop Dogg - Gin And Juice.mp3,030 - Snoop Dogg - Gin and Juice.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\034 - Dr. Dre - Still D.R.E. ft. Snoop Dogg.mp3,034 - Dr. Dre - Still D.r.e. ft. Snoop Dogg.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\042 - Wu-Tang Clan - C.R.E.A.M. (Official HD Video).mp3,042 - Wu-tang Clan - C.r.e.a.m..mp3,approve_normalize,dry_run_normalize,C:\Users\suppo\Desktop\NGKsSystems\NGKsPlayerNative\data\batch_staging\READY_NORMALIZED\042 - Wu-tang Clan - C.r.e.a.m..mp3,would_copy_rename
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\09. Westside connection - King Of The Hill.mp3,Westside Connection - King of the Hill.mp3,approve_normalize,dry_run_normalize,C:\Users\suppo\Desktop\NGKsSystems\NGKsPlayerNative\data\batch_staging\READY_NORMALIZED\Westside Connection - King of the Hill.mp3,would_copy_rename
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\098 - Queen Latifah - U.N.I.T.Y..mp3,098 - Queen Latifah - U.n.i.t.y..mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000\100 gecs - Hollywood Baby.mp3,100 Gecs - Hollywood Baby.mp3,skip,skipped,,action=skip
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3","100 Greatest - Motown Hits ｜ Oldies but Goodies From the 70s, 80s & 90s ｜ Soul & R&b Classics Playlist.mp3",approve_normalize,blocked,,illegal_chars_blocked
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3","100 Greatest - Motown Hits ｜ Oldies but Goodies From the 70s, 80s & 90s ｜ Soul & R&b Classics Playlist.temp.mp3",hold,dry_run_hold,"C:\Users\suppo\Desktop\NGKsSystems\NGKsPlayerNative\data\batch_staging\HELD_PROBLEMS\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3",would_copy_to_held
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\102 - Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,102 - Eazy-e - Real Muthaphuckkin G's.mp3,,skipped,,blank_action
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\132 - A Tribe Called Quest - Electric Relaxation (Official HD Video).mp3,132 - A Tribe Called Quest - Electric Relaxation.mp3,,skipped,,blank_action
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\175 - 2Pac - I Get Around.mp3,175 - 2pac - I Get Around.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2 Live Crew - Hoochie Mama.mp3,2 Live Crew - Hoochie Mama.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2 Live Crew - me so horny.mp3,2 Live Crew - Me so Horny.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\2112： Overture ⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So....mp3,2112： Overture - ⧸ the Temples of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： the Dream ⧸ So....mp3,hold,dry_run_hold,C:\Users\suppo\Desktop\NGKsSystems\NGKsPlayerNative\data\batch_staging\HELD_PROBLEMS\2112： Overture ⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So....mp3,would_copy_to_held
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\236 - Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,236 - Bone Thugs N Harmony - Thuggish Ruggish Bone.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\291 - 2Pac - Dear Mama.mp3,291 - 2pac - Dear Mama.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000\2AM - Louwis.mp3,2am - Louwis.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2pac - all eyez on me lyrics.mp3,2pac - All Eyez on Me Lyrics.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Ambitionz Az A Ridah.mp3,2pac - Ambitionz Az a Ridah.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Brendas Got A Baby.mp3,2pac - Brendas Got a Baby.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Changes ft. Talent.mp3,2pac - Changes ft. Talent.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Dear Mama.mp3,2pac - Dear Mama.mp3,skip,skipped,,action=skip
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Hail Mary HD.mp3,2pac - Hail Mary Hd.mp3,skip,skipped,,action=skip
