track_id,label_id,artist,title,primary_genre,secondary_genre,original_confidence,audit_confidence,in_benchmark,action,reason
2174,804,Demun Jones,Demun Jones - Backyard Lullaby,Country,Hip-Hop,1.0,HIGH,True,KEEP,High confidence hybrid
2178,805,Demun Jones,Demun Jones - My Town,Country,Hip-Hop,1.0,HIGH,False,KEEP,High confidence hybrid
2180,806,Demun Jones,Demun Jones - Tannerite,Country,Hip-Hop,1.0,HIGH,False,KEEP,High confidence hybrid
2182,807,Demun Jones,Demun Jones - Truck Music,Country,Hip-Hop,1.0,HIGH,False,KEEP,High confidence hybrid
2742,808,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,Hip-Hop,1.0,HIGH,False,KEEP,High confidence hybrid
2856,811,Jelly Roll,Jelly Roll - Need a Favor,Country,Hip-Hop,1.0,HIGH,True,KEEP,High confidence hybrid
2529,822,Ryan Upchurch,Ryan Upchurch - Hollerboys,Country,Hip-Hop,1.0,HIGH,True,KEEP,High confidence hybrid
2527,887,Upchurch,Ryan Upchurch - Black Sheep,Country,Hip-Hop,1.0,HIGH,False,KEEP,High confidence hybrid
2528,888,Upchurch,Ryan Upchurch - Cowboy Movies,Country,Hip-Hop,1.0,HIGH,False,KEEP,High confidence hybrid
2530,889,Upchurch,Ryan Upchurch - Love Her Again,Country,Hip-Hop,1.0,HIGH,False,KEEP,High confidence hybrid
2531,890,Upchurch,Ryan Upchurch - Real Country,Country,Hip-Hop,1.0,HIGH,False,KEEP,High confidence hybrid
2532,891,Upchurch,Ryan Upchurch - Same Ol Same Ol,Country,Hip-Hop,1.0,HIGH,False,KEEP,High confidence hybrid
2537,900,Sara Evans,Sara Evans - Suds In The Bucket,Country,Pop,0.8,LOW,True,REMOVE_CANDIDATE,"Low confidence, no subgenre support, non-major pair"
2770,903,Zac Brown Band,Zac Brown Band - Heavy Is The Head,Country,Pop,0.8,LOW,True,REMOVE_CANDIDATE,"Low confidence, no subgenre support, non-major pair"
2082,784,Chris Stapleton,Chris Stapleton - Fire Away,Country,Rock,1.0,HIGH,True,KEEP,High confidence hybrid
2083,785,Chris Stapleton,Chris Stapleton - Friendship,Country,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2084,786,Chris Stapleton,Chris Stapleton - Hard Livin',Country,Rock,1.0,HIGH,True,KEEP,High confidence hybrid
2085,787,Chris Stapleton,Chris Stapleton - I Was Wrong,Country,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2086,788,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,Rock,1.0,HIGH,True,KEEP,High confidence hybrid
2087,789,Chris Stapleton,Chris Stapleton - Millionaire,Country,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2088,790,Chris Stapleton,Chris Stapleton - Nobody to Blame,Country,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2089,791,Chris Stapleton,Chris Stapleton - Parachute,Country,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2090,792,Chris Stapleton,Chris Stapleton - Second One To Know,Country,Rock,1.0,HIGH,True,KEEP,High confidence hybrid
2091,793,Chris Stapleton,Chris Stapleton - Tryin To Untangle My Mind,Country,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2841,902,Unknown,Dax - Temptation,Hip-Hop,Country,0.8,LOW,True,REMOVE_CANDIDATE,"Low confidence, no subgenre support, non-major pair"
2706,886,Tone-Loc,Tone Loc - Wild Thing,Hip-Hop,Pop,1.0,HIGH,True,KEEP,High confidence hybrid
2838,810,Hopsin,Hopsin - Ill Mind of Hopsin 5,Hip-Hop,Rock,1.0,HIGH,True,KEEP,High confidence hybrid
2217,832,Tom MacDonald,End Of The World - Tom MacDonald,Hip-Hop,Rock,1.0,HIGH,True,KEEP,High confidence hybrid
2538,833,Tom MacDonald,Save A Life - Tom MacDonald,Hip-Hop,Rock,1.0,HIGH,True,KEEP,High confidence hybrid
2548,834,Tom MacDonald,See God - Tom MacDonald,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2572,835,Tom MacDonald,Still Me - Tom MacDonald,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2573,836,Tom MacDonald,Still The One - Tom MacDonald,Hip-Hop,Rock,1.0,HIGH,True,KEEP,High confidence hybrid
2590,837,Tom MacDonald,The Machine - Tom MacDonald,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2595,838,Tom MacDonald,The System - Tom MacDonald,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2624,839,Tom MacDonald,Tom MacDonald -  Buttholes,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2626,840,Tom MacDonald,Tom MacDonald - American Dreamz,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2629,841,Tom MacDonald,Tom MacDonald - Angels,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2631,842,Tom MacDonald,Tom MacDonald - Average Boy,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2633,843,Tom MacDonald,Tom MacDonald - Best Rapper Ever,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2634,844,Tom MacDonald,Tom MacDonald - Castles,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2636,845,Tom MacDonald,Tom MacDonald - Dear Rappers,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2637,846,Tom MacDonald,Tom MacDonald - Dirty Money,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2638,847,Tom MacDonald,Tom MacDonald - End Of The World,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2639,848,Tom MacDonald,Tom MacDonald - Everybody Hates Me,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
2640,849,Tom MacDonald,Tom Macdonald - Fake Fans,Hip-Hop,Rock,1.0,HIGH,False,KEEP,High confidence hybrid
