track_id,artist,title,primary_genre,secondary_genre,source,confidence,applied_by
2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2178,Demun Jones,Demun Jones - My Town,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2180,Demun Jones,Demun Jones - Tannerite,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2182,Demun Jones,Demun Jones - Truck Music,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2742,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2856,Jelly Roll,Jelly Roll - Need a Favor,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2529,Ryan Upchurch,Ryan Upchurch - Hollerboys,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2527,Upchurch,Ryan Upchurch - Black Sheep,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2528,Upchurch,Ryan Upchurch - Cowboy Movies,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2530,Upchurch,Ryan Upchurch - Love Her Again,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2531,Upchurch,Ryan Upchurch - Real Country,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2532,Upchurch,Ryan Upchurch - Same Ol Same Ol,Country,Hip-Hop,manual,1.0,multi_label_phase_v1
2537,Sara Evans,Sara Evans - Suds In The Bucket,Country,Pop,manual,0.8,multi_label_phase_v1
2770,Zac Brown Band,Zac Brown Band - Heavy Is The Head,Country,Pop,manual,0.8,multi_label_phase_v1
2082,Chris Stapleton,Chris Stapleton - Fire Away,Country,Rock,manual,1.0,multi_label_phase_v1
2083,Chris Stapleton,Chris Stapleton - Friendship,Country,Rock,manual,1.0,multi_label_phase_v1
2084,Chris Stapleton,Chris Stapleton - Hard Livin',Country,Rock,manual,1.0,multi_label_phase_v1
2085,Chris Stapleton,Chris Stapleton - I Was Wrong,Country,Rock,manual,1.0,multi_label_phase_v1
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,Rock,manual,1.0,multi_label_phase_v1
2087,Chris Stapleton,Chris Stapleton - Millionaire,Country,Rock,manual,1.0,multi_label_phase_v1
2088,Chris Stapleton,Chris Stapleton - Nobody to Blame,Country,Rock,manual,1.0,multi_label_phase_v1
2089,Chris Stapleton,Chris Stapleton - Parachute,Country,Rock,manual,1.0,multi_label_phase_v1
2090,Chris Stapleton,Chris Stapleton - Second One To Know,Country,Rock,manual,1.0,multi_label_phase_v1
2091,Chris Stapleton,Chris Stapleton - Tryin To Untangle My Mind,Country,Rock,manual,1.0,multi_label_phase_v1
2841,Unknown,Dax - Temptation,Hip-Hop,Country,manual,0.8,multi_label_phase_v1
2706,Tone-Loc,Tone Loc - Wild Thing,Hip-Hop,Pop,manual,1.0,multi_label_phase_v1
2838,Hopsin,Hopsin - Ill Mind of Hopsin 5,Hip-Hop,Rock,manual,1.0,multi_label_phase_v1
2217,Tom MacDonald,End Of The World - Tom MacDonald,Hip-Hop,Rock,manual,1.0,multi_label_phase_v1
