track_id,artist,title,primary_genre,aligned_subgenre,secondary_genre,rule_match,rule_type,decision,reason
2082,Chris Stapleton,Chris Stapleton - Fire Away,Country,(none),Rock,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2083,Chris Stapleton,Chris Stapleton - Friendship,Country,(none),Rock,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2084,Chris Stapleton,Chris Stapleton - Hard Livin',Country,(none),Rock,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2085,Chris Stapleton,Chris Stapleton - I Was Wrong,Country,(none),Rock,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,(none),Rock,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2087,Chris Stapleton,Chris Stapleton - Millionaire,Country,(none),Rock,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2088,Chris Stapleton,Chris Stapleton - Nobody to Blame,Country,(none),Rock,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2089,Chris Stapleton,Chris Stapleton - Parachute,Country,(none),Rock,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2090,Chris Stapleton,Chris Stapleton - Second One To Know,Country,(none),Rock,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2091,Chris Stapleton,Chris Stapleton - Tryin To Untangle My Mind,Country,(none),Rock,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2162,Def Leppard,Def Leppard - Animal,Rock,Classic Rock,Metal,no,,REMOVE,No rule supports Rock/Classic Rock -> Metal (fail-closed)
2163,Def Leppard,Def Leppard - Armageddon It,Rock,Classic Rock,Metal,no,,REMOVE,No rule supports Rock/Classic Rock -> Metal (fail-closed)
2164,Def Leppard,Def Leppard - Dangerous,Rock,Classic Rock,Metal,no,,REMOVE,No rule supports Rock/Classic Rock -> Metal (fail-closed)
2165,Def Leppard,Def Leppard - Foolin,Rock,Classic Rock,Metal,no,,REMOVE,No rule supports Rock/Classic Rock -> Metal (fail-closed)
2166,Def Leppard,Def Leppard - Love Bites,Rock,Classic Rock,Metal,no,,REMOVE,No rule supports Rock/Classic Rock -> Metal (fail-closed)
2167,Def Leppard,Def Leppard - Nine Lives,Rock,Classic Rock,Metal,no,,REMOVE,No rule supports Rock/Classic Rock -> Metal (fail-closed)
2169,Def Leppard,Def Leppard - Pour Some Sugar On Me,Rock,Classic Rock,Metal,no,,REMOVE,No rule supports Rock/Classic Rock -> Metal (fail-closed)
2170,Def Leppard,Def Leppard - Rock Of Ages ,Rock,Classic Rock,Metal,no,,REMOVE,No rule supports Rock/Classic Rock -> Metal (fail-closed)
2171,Def Leppard,Def Leppard - Too Late For Love,Rock,Classic Rock,Metal,no,,REMOVE,No rule supports Rock/Classic Rock -> Metal (fail-closed)
2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,(none),Hip-Hop,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2178,Demun Jones,Demun Jones - My Town,Country,(none),Hip-Hop,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2180,Demun Jones,Demun Jones - Tannerite,Country,(none),Hip-Hop,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2182,Demun Jones,Demun Jones - Truck Music,Country,(none),Hip-Hop,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2742,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,(none),Hip-Hop,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2221,Faith No More,Faith No More - Epic,Rock,(none),Metal,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2838,Hopsin,Hopsin - Ill Mind of Hopsin 5,Hip-Hop,(none),Rock,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2856,Jelly Roll,Jelly Roll - Need a Favor,Country,(none),Hip-Hop,no,,REVIEW,Insufficient subgenre coverage: sub='(null)' conf='none'
2386,Kid Rock,Kid Rock - All Summer Long,Rock,Classic Rock,Country,no,,REMOVE,No rule supports Rock/Classic Rock -> Country (fail-closed)
2387,Kid Rock,Kid Rock - American Bad Ass,Rock,Classic Rock,Country,no,,REMOVE,No rule supports Rock/Classic Rock -> Country (fail-closed)
2388,Kid Rock,Kid Rock - American Rock 'n Roll,Rock,Classic Rock,Country,no,,REMOVE,No rule supports Rock/Classic Rock -> Country (fail-closed)
2389,Kid Rock,Kid Rock - Cowboy,Rock,Classic Rock,Country,no,,REMOVE,No rule supports Rock/Classic Rock -> Country (fail-closed)
2390,Kid Rock,Kid Rock - First Kiss,Rock,Classic Rock,Country,no,,REMOVE,No rule supports Rock/Classic Rock -> Country (fail-closed)
2855,Kid Rock,Kid Rock - Let's Ride,Rock,Classic Rock,Country,no,,REMOVE,No rule supports Rock/Classic Rock -> Country (fail-closed)
2391,Kid Rock,Kid Rock - Let_s Ride,Rock,Classic Rock,Country,no,,REMOVE,No rule supports Rock/Classic Rock -> Country (fail-closed)
2393,Kid Rock,Kid Rock - Only God Knows Why,Rock,Classic Rock,Country,no,,REMOVE,No rule supports Rock/Classic Rock -> Country (fail-closed)
2394,Kid Rock,Kid Rock - Picture,Rock,Classic Rock,Country,no,,REMOVE,No rule supports Rock/Classic Rock -> Country (fail-closed)
2397,Kid Rock,Kid Rock - The Last Dance,Rock,Classic Rock,Country,no,,REMOVE,No rule supports Rock/Classic Rock -> Country (fail-closed)
