track_id,artist,title,primary_genre,secondary_genre,current_subgenre,aligned_subgenre,rule_result,reason
2082,Chris Stapleton,Chris Stapleton - Fire Away,Country,Rock,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2083,Chris Stapleton,Chris Stapleton - Friendship,Country,Rock,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2084,Chris Stapleton,Chris Stapleton - Hard Livin',Country,Rock,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2085,Chris Stapleton,Chris Stapleton - I Was Wrong,Country,Rock,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,Rock,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2087,Chris Stapleton,Chris Stapleton - Millionaire,Country,Rock,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2088,Chris Stapleton,Chris Stapleton - Nobody to Blame,Country,Rock,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2089,Chris Stapleton,Chris Stapleton - Parachute,Country,Rock,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2090,Chris Stapleton,Chris Stapleton - Second One To Know,Country,Rock,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2091,Chris Stapleton,Chris Stapleton - Tryin To Untangle My Mind,Country,Rock,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2162,Def Leppard,Def Leppard - Animal,Rock,Metal,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2163,Def Leppard,Def Leppard - Armageddon It,Rock,Metal,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2164,Def Leppard,Def Leppard - Dangerous,Rock,Metal,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2165,Def Leppard,Def Leppard - Foolin,Rock,Metal,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
2166,Def Leppard,Def Leppard - Love Bites,Rock,Metal,,,REVIEW,No subgenre assigned to primary label; cannot validate secondary via rule engine. Needs subgenre assignment first.
