sec_label_id,track_id,artist,title,primary_genre,aligned_subgenre,secondary_genre,rule_type,decision,reason
784,2082,Chris Stapleton,Chris Stapleton - Fire Away,Country,Outlaw Country,Rock,no_rule_match,REMOVE,No rule supports Country/Outlaw Country → Rock
785,2083,Chris Stapleton,Chris Stapleton - Friendship,Country,Outlaw Country,Rock,no_rule_match,REMOVE,No rule supports Country/Outlaw Country → Rock
786,2084,Chris Stapleton,Chris Stapleton - Hard Livin',Country,Outlaw Country,Rock,no_rule_match,REMOVE,No rule supports Country/Outlaw Country → Rock
787,2085,Chris Stapleton,Chris Stapleton - I Was Wrong,Country,Outlaw Country,Rock,no_rule_match,REMOVE,No rule supports Country/Outlaw Country → Rock
788,2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,Outlaw Country,Rock,no_rule_match,REMOVE,No rule supports Country/Outlaw Country → Rock
789,2087,Chris Stapleton,Chris Stapleton - Millionaire,Country,Outlaw Country,Rock,no_rule_match,REMOVE,No rule supports Country/Outlaw Country → Rock
790,2088,Chris Stapleton,Chris Stapleton - Nobody to Blame,Country,Outlaw Country,Rock,no_rule_match,REMOVE,No rule supports Country/Outlaw Country → Rock
791,2089,Chris Stapleton,Chris Stapleton - Parachute,Country,Outlaw Country,Rock,no_rule_match,REMOVE,No rule supports Country/Outlaw Country → Rock
792,2090,Chris Stapleton,Chris Stapleton - Second One To Know,Country,Outlaw Country,Rock,no_rule_match,REMOVE,No rule supports Country/Outlaw Country → Rock
793,2091,Chris Stapleton,Chris Stapleton - Tryin To Untangle My Mind,Country,Outlaw Country,Rock,no_rule_match,REMOVE,No rule supports Country/Outlaw Country → Rock
804,2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
805,2178,Demun Jones,Demun Jones - My Town,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
806,2180,Demun Jones,Demun Jones - Tannerite,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
807,2182,Demun Jones,Demun Jones - Truck Music,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
808,2742,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
811,2856,Jelly Roll,Jelly Roll - Need a Favor,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
822,2529,Ryan Upchurch,Ryan Upchurch - Hollerboys,Country,Country Rap,Hip-Hop,explicit_hybrid,KEEP,"Rule match: Country/Country Rap → Hip-Hop [explicit_hybrid, high]"
