old_path,new_path,repair_status,confidence,notes
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.temp.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf (Alt 1).mp3,repaired,1.0,Phase 6 renamed .temp to (Alt 1): black sabbath - sweet leaf (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dio - The Last In Line.temp.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dio - The Last In Line (Alt 1).mp3,repaired,1.0,Phase 6 renamed .temp to (Alt 1): Dio - The Last In Line (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang.temp.mp3,C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang (Alt 1).mp3,repaired,1.0,Phase 6 renamed .temp to (Alt 1): Dr Dre - Nuthin But A ＂G＂ Thang (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Hank Williams Jr - Simple Man.temp.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Hank Williams Jr - Simple Man (Alt 1).mp3,repaired,1.0,Phase 6 renamed .temp to (Alt 1): Hank Williams Jr - Simple Man (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Pantera - 5 Minutes Alone (Official Music Video) [4K Remaster].temp.mp3,,unresolved,0.0,No Alt variant found in Top1000_Hard Rock_Metal/
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Slayer - Hell Awaits.temp.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Slayer - Hell Awaits (Alt 1).mp3,repaired,1.0,Phase 6 renamed .temp to (Alt 1): Slayer - Hell Awaits (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\UFO - Doctor Doctor.temp.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\UFO - Doctor Doctor (Alt 1).mp3,repaired,1.0,Phase 6 renamed .temp to (Alt 1): UFO - Doctor Doctor (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Denim and Leather-Saxon (studio version).temp.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Denim and Leather-Saxon (studio version) (Alt 1).mp3,repaired,1.0,Phase 6 renamed .temp to (Alt 1): Denim and Leather-Saxon (studio version) (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Kiss Deuce lyrics.temp.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Kiss Deuce lyrics (Alt 1).mp3,repaired,1.0,Phase 6 renamed .temp to (Alt 1): Kiss Deuce lyrics (Alt 1).mp3
C:\Users\suppo\Downloads\New Music\Top1000_Blues\sonny boy williamson help me.temp.mp3,C:\Users\suppo\Downloads\New Music\Top1000_Blues\sonny boy williamson help me (Alt 1).mp3,repaired,1.0,Phase 6 renamed .temp to (Alt 1): sonny boy williamson help me (Alt 1).mp3
