original_path,original_name,issue_type,current_state,new_state,reason
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.mp3",ILLEGAL_CHAR,HELD_PROBLEMS,HELD_PROBLEMS,illegal chars present but fix incomplete
"C:\Users\suppo\Downloads\New Music\Top1000_Motown\100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3","100 Greatest Motown Hits ｜ Oldies But Goodies from the 70s, 80s & 90s ｜ Soul & R&B Classics Playlist.temp.mp3",ILLEGAL_CHAR,HELD_PROBLEMS,HELD_PROBLEMS,illegal chars present but fix incomplete
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\2112： Overture ⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So....mp3,2112： Overture ⧸ The Temples Of Syrinx ⧸ Discovery ⧸ Presentation ⧸ Oracle： The Dream ⧸ So....mp3,ILLEGAL_CHAR,HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixed, high-confidence parse"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Keep Ya Head Up (from album： ＂Strictly 4 My N.I.G.G.A.Z...＂.mp3,2Pac - Keep Ya Head Up (from album： ＂Strictly 4 My N.I.G.G.A.Z...＂.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixed, high-confidence parse"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg.mp3,50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg.mp3,EXACT_COLLISION,HELD_PROBLEMS,REVIEW_REQUIRED,collision disambiguated: content_suffix
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - 21 Questions ft. Nate Dogg.mp3,50 Cent - 21 Questions ft. Nate Dogg.mp3,EXACT_COLLISION,HELD_PROBLEMS,HELD_PROBLEMS,collision requires manual review
C:\Users\suppo\Downloads\New Music\Top1000\50 Cent - In Da Club.mp3,50 Cent - In Da Club.mp3,EXACT_COLLISION,HELD_PROBLEMS,REVIEW_REQUIRED,collision disambiguated: subfolder_suffix
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\50 Cent - In Da Club.mp3,50 Cent - In Da Club.mp3,EXACT_COLLISION,HELD_PROBLEMS,REVIEW_REQUIRED,collision disambiguated: subfolder_suffix
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\60 seconds assassin Lyric on screen.mp3,60 seconds assassin Lyric on screen.mp3,FALLBACK_PARSE,HELD_PROBLEMS,HELD_PROBLEMS,"fallback parse, no improvement found"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8 Ball and MJG- Space Age Pimpin.mp3,8 Ball and MJG- Space Age Pimpin.mp3,FALLBACK_PARSE,HELD_PROBLEMS,REVIEW_REQUIRED,parse improved: hyphen_separator conf=0.8
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8ball & MJG Just Like Candy.mp3,8ball & MJG Just Like Candy.mp3,FALLBACK_PARSE,HELD_PROBLEMS,HELD_PROBLEMS,"fallback parse, no improvement found"
"C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8BALL& MJG FRIEND OR FOE FT. E-40, MAC MALL,& BIG MIKE.mp3","8BALL& MJG FRIEND OR FOE FT. E-40, MAC MALL,& BIG MIKE.mp3",FALLBACK_PARSE,HELD_PROBLEMS,HELD_PROBLEMS,"fallback parse, no improvement found"
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ The Darkest of Winters ⧸....mp3,A Change of Seasons - The Crimson Sunrise ⧸ Innocence ⧸ Carpe Diem ⧸ The Darkest of Winters ⧸....mp3,NO_CHANGE,HELD_PROBLEMS,REVIEW_REQUIRED,"proposed matches original, no rename needed"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Roller Skating Jam Named ＂Saturdays＂.mp3,A Roller Skating Jam Named ＂Saturdays＂.mp3,FALLBACK_PARSE,HELD_PROBLEMS,HELD_PROBLEMS,"fallback parse, no improvement found"
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation (Official HD Video).mp3,A Tribe Called Quest - Electric Relaxation (Official HD Video).mp3,EXACT_COLLISION,HELD_PROBLEMS,REVIEW_REQUIRED,collision disambiguated: content_suffix
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\A Tribe Called Quest - Electric Relaxation.mp3,A Tribe Called Quest - Electric Relaxation.mp3,EXACT_COLLISION,HELD_PROBLEMS,HELD_PROBLEMS,collision requires manual review
C:\Users\suppo\Downloads\New Music\Top1000\Aaria- Thug Love ft. Dreamdoll.mp3,Aaria- Thug Love ft. Dreamdoll.mp3,FALLBACK_PARSE,HELD_PROBLEMS,REVIEW_REQUIRED,parse improved: hyphen_separator conf=0.8
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\ACDC- For Those About To Rock (with lyrics).mp3,ACDC- For Those About To Rock (with lyrics).mp3,FALLBACK_PARSE,HELD_PROBLEMS,REVIEW_REQUIRED,parse improved: hyphen_separator conf=0.8
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Back In Black (Official 4K Video).mp3,AC⧸DC - Back In Black (Official 4K Video).mp3,ILLEGAL_CHAR,HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixed, high-confidence parse"
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Hells Bells (Official 4K Video).mp3,AC⧸DC - Hells Bells (Official 4K Video).mp3,ILLEGAL_CHAR,HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixed, high-confidence parse"
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Highway to Hell (Official Video).mp3,AC⧸DC - Highway to Hell (Official Video).mp3,ILLEGAL_CHAR,HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixed, high-confidence parse"
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - Let There Be Rock (Official Video).mp3,AC⧸DC - Let There Be Rock (Official Video).mp3,ILLEGAL_CHAR,HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixed, high-confidence parse"
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,AC⧸DC - You Shook Me All Night Long (Official 4K Video).mp3,ILLEGAL_CHAR,HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixed, high-confidence parse"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Animals (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Animals (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixed, high-confidence parse"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Eternal Rains (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Eternal Rains (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixed, high-confidence parse"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - From The Ashes (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - From The Ashes (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixed, high-confidence parse"
C:\Users\suppo\Downloads\New Music\Top1000_Symphonic_Power Metal\AD INFINITUM - Inferno (Official Video) ｜ Napalm Records.mp3,AD INFINITUM - Inferno (Official Video) ｜ Napalm Records.mp3,ILLEGAL_CHAR,HELD_PROBLEMS,REVIEW_REQUIRED,"illegal chars fixed, high-confidence parse"
