file_path,primary_file,action,exists_on_disk
C:\Users\suppo\Downloads\New Music\Top1000\50 Cent - In Da Club.mp3,C:\Users\suppo\Downloads\New Music\Top1000\50 Cent - In Da Club.mp3,KEEP,yes
C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Alone.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Alone.mp3,KEEP,yes
C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - Spectre.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - The Spectre.mp3,DELETE,yes
C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - The Spectre.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Alan Walker - The Spectre.mp3,KEEP,yes
C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris - Summer.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris - Summer.mp3,KEEP,yes
"C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris, Rihanna - This Is What You Came For.mp3","C:\Users\suppo\Downloads\New Music\Top1000\Calvin Harris, Rihanna - This Is What You Came For.mp3",KEEP,yes
C:\Users\suppo\Downloads\New Music\Top1000\Clean Bandit - Rockabye.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Clean Bandit - Rockabye.mp3,KEEP,yes
C:\Users\suppo\Downloads\New Music\Top1000\Coldplay - Hymn For The Weekend.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Coldplay - Hymn For The Weekend.mp3,KEEP,yes
C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise ft. L.V..mp3,C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise ft. L.V..mp3,KEEP,yes
C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Coolio - Gangstas Paradise.mp3,KEEP,yes
C:\Users\suppo\Downloads\New Music\Top1000\DJ Snake - Let Me Love You ft. Justin Bieber.mp3,C:\Users\suppo\Downloads\New Music\Top1000\DJ Snake - Let Me Love You ft. Justin Bieber.mp3,KEEP,yes
C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂Gods Eyes＂.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,DELETE,yes
C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂PTSD＂.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,DELETE,yes
C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,C:\Users\suppo\Downloads\New Music\Top1000\Dax - ＂The Devils Calling＂.mp3,KEEP,yes
