track_id,artist,title,primary_genre,current_subgenre,candidate_aligned_subgenre,ambiguity_reason,confidence,recommended_action
1927,Aaron Lewis,Aaron Lewis - Country Boy,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1929,Aaron Tippin,Aaron Tippin - Big Boy Toys,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1969,Aaron Tippin,Aaron Tippin - Drivin_Fool ,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1931,Aaron Tippin,Aaron Tippin - He Believed,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1932,Aaron Tippin,Aaron Tippin - That's As Close As I'll Get To Loving You,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1933,Aaron Tippin,Aaron Tippin - The Call of the Wild,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1934,Aaron Tippin,Aaron Tippin - There Ain't Nothin' Wrong with the Radio,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1935,Aaron Tippin,Aaron Tippin - Where The Stars And Stripes And The Eagle Fly,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1936,Aaron Tippin,Aaron Tippin - Working Man's Phd,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1937,Aaron Tippin,Aaron Tippin - You've Got to Stand for Something,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1956,Alabama,Alabama - If You're Gonna Play In Texas,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1957,Alabama,Alabama - Mountain Music,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1958,Alan Jackson,Alan Jackson - Drive,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1959,Alan Jackson,Alan Jackson - Hard Hat And A Hammer,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1960,Alan Jackson,Alan Jackson - I Don't Even Know Your Name,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1961,Alan Jackson,Alan Jackson - Little Bitty,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1962,Alan Jackson,Alan Jackson - Midnight in Montgomery,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1963,Alan Jackson,Alan Jackson - Remember When,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1964,Alan Jackson,Alan Jackson - Who's Cheatin' Who,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1970,Austin Forman,Austin Forman - Home Sweet Home,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1981,Big & Rich,Big and Rich - Save a Horse Ride a Cowboy,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1982,Billy Currington,Billy Currington - Good Direction,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1983,Billy Currington,Billy Currington - Pretty Good At Drinkin' Beer,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1986,Billy Joe Shaver,Billy Joe Shaver - Georgia on a Fast Train,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
1991,Billy Ray Cyrus,Billy Ray Cyrus - Some Gave All,Country,,,No artist-pattern evidence in current data,none,Manual subgenre assignment needed
