track_id,artist,title,proposed_v2_genre,final_genre,final_subgenre,action,notes
2225,5FDPVEVO,Five Finger Death Punch - Coming Down,Metal,Metal,,approve_label,Confirmed by listening — clean exemplar
2232,5FDPVEVO,Five Finger Death Punch - My Nemesis,Metal,Metal,,approve_label,
2233,5FDPVEVO,Five Finger Death Punch - The Bleeding,Metal,,,skip,Ambiguous genre — not a clean exemplar
2224,Five Finger Death Punch,Five Finger Death Punch - Brighter Side Of Grey,Metal,,,,
2198,DJ LOA,DJ LOA - Don’t Say Goodbye Remix,Other,,,,
2148,Dan Pocaigue,Dan Pocaigue - Its You,Other,,,,
2338,JD Crutch,JD Crutch - Apo Magi,Other,,,,
2367,Josh Wawa White,Josh White - Movin' About My Ways,Other,,,,
2383,KC DeLeon Guerrero,KC DeLeon Guerrero - Pot Fabot Munga Piniti,Other,,,,
2771,Samuelu Faoliu,Zipso - Fika Mai Le Pese,Other,,,,
1953,Airborne,Airbourne - Runnin' Wild,Metal,,,,
2199,Dokken,Dokken - Just Got Lucky,Metal,,,,
2291,Girish & The Chronicles,Girish And The Chronicles - Love's Damnation,Metal,,,,
2292,Girish & The Chronicles,Girish And The Chronicles - Primeval Desire,Metal,,,,
2289,Girish & The Chronicles,Girish and The Chronicles - Hail To The Heroes,Metal,,,,
2340,Jeff Scott Soto,Jeff Scott Soto ft. Spektra - Last To Know,Metal,,,,
2458,New Horizon,New Horizon - Stronger Than Steel,Metal,,,,
2525,Rust n' Rage,Rust n Rage - Heartbreaker,Metal,,,,
2559,Shinedown,Shinedown - Planet Zero,Metal,,,,
2515,"Pagan RIP, RIP",RIP - Not All Wounds Bleed,Metal,,,,
2783,RIP,RIP - Blackout Mind,Metal,,,,
2784,RIP,RIP - Blood on the Gravel,Metal,,,,
2786,RIP,RIP - Caged In My Mind,Metal,,,,
2787,RIP,RIP - Forgive Me,Metal,,,,
2788,RIP,RIP - I Write So I Don’t Die,Metal,,,,
2790,RIP,RIP - The Devil Don’t Need Chains,Metal,,,,
2791,RIP,RIP - The Things You’ll Never See,Metal,,,,
2792,RIP,RIP - Too Quiet To Cry,Metal,,,,
2793,RIP,RIP - Wasting Away,Metal,,,,
2794,RIP,RIP - When My Mind Ain’t Mine,Metal,,,,
2795,RIP,RIP - Whiskey and Shadows,Metal,,,,
2517,RIP,RIP - Woke Up Tired Again,Metal,,,,
2597,The Tubes,The Tubes - She's A Beauty,Pop,,,,
2759,Weird Al Yankovic,Weird Al Yankovic - Amish Paradise,Pop,,,,
2760,Weird Al Yankovic,Weird Al Yankovic - I Lost On Jeopardy,Pop,,,,
