track_id,artist,title,primary_genre,secondary_genre,current_subgenre,benchmark_member,review_reason
2082,Chris Stapleton,Chris Stapleton - Fire Away,Country,Rock,(null),yes,Insufficient subgenre coverage
2083,Chris Stapleton,Chris Stapleton - Friendship,Country,Rock,(null),no,Insufficient subgenre coverage
2084,Chris Stapleton,Chris Stapleton - Hard Livin',Country,Rock,(null),yes,Insufficient subgenre coverage
2085,Chris Stapleton,Chris Stapleton - I Was Wrong,Country,Rock,(null),no,Insufficient subgenre coverage
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,Rock,(null),yes,Insufficient subgenre coverage
2087,Chris Stapleton,Chris Stapleton - Millionaire,Country,Rock,(null),no,Insufficient subgenre coverage
2088,Chris Stapleton,Chris Stapleton - Nobody to Blame,Country,Rock,(null),no,Insufficient subgenre coverage
2089,Chris Stapleton,Chris Stapleton - Parachute,Country,Rock,(null),no,Insufficient subgenre coverage
2090,Chris Stapleton,Chris Stapleton - Second One To Know,Country,Rock,(null),yes,Insufficient subgenre coverage
2091,Chris Stapleton,Chris Stapleton - Tryin To Untangle My Mind,Country,Rock,(null),no,Insufficient subgenre coverage
2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,Hip-Hop,(null),yes,Insufficient subgenre coverage
2178,Demun Jones,Demun Jones - My Town,Country,Hip-Hop,(null),no,Insufficient subgenre coverage
2180,Demun Jones,Demun Jones - Tannerite,Country,Hip-Hop,(null),no,Insufficient subgenre coverage
2182,Demun Jones,Demun Jones - Truck Music,Country,Hip-Hop,(null),no,Insufficient subgenre coverage
2742,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,Hip-Hop,(null),no,Insufficient subgenre coverage
2221,Faith No More,Faith No More - Epic,Rock,Metal,(null),yes,Insufficient subgenre coverage
2838,Hopsin,Hopsin - Ill Mind of Hopsin 5,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
2856,Jelly Roll,Jelly Roll - Need a Favor,Country,Hip-Hop,(null),yes,Insufficient subgenre coverage
2529,Ryan Upchurch,Ryan Upchurch - Hollerboys,Country,Hip-Hop,(null),yes,Insufficient subgenre coverage
2537,Sara Evans,Sara Evans - Suds In The Bucket,Country,Pop,(null),yes,Insufficient subgenre coverage
2217,Tom MacDonald,End Of The World - Tom MacDonald,Hip-Hop,Rock,(null),yes,Insufficient subgenre coverage
