original_path,matching_ready_path,file_size,hash_match,recommended_action,notes
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\175 - 2Pac - I Get Around.mp3,,9333219,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\2Pac - Ambitionz Az A Ridah.mp3,,8233910,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Beastie Boys - Intergalactic.mp3,,9806829,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Biggie Smalls - Notorious Thugs.mp3,,12004971,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\black sabbath - sweet leaf.mp3,,8450180,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Black Star - Respiration ft. Common.mp3,,8772485,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs N Harmony - Crossroads.mp3,,4849512,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Bone Thugs n Harmony - Thuggish Ruggish Bone.mp3,,4759131,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Charlie Daniels Band - The South's Gonna Do It (Live).mp3,,5654334,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Craig Mack - Flava In Ya Ear.mp3,,9954523,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Dio - The Last In Line.mp3,,11216024,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Dr Dre - Nuthin But A ＂G＂ Thang.mp3,,9157861,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Eazy-E - Real Muthaphuckkin G's (Music Video).mp3,,9331834,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_Country\Eric Church - Over When Its Over.mp3,,6774607,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Gang Starr - Above The Clouds.mp3,,6495281,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Geto Boys - Mind Playing Tricks On Me.mp3,,7444535,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\Hank Williams Jr - Simple Man.mp3,,7508888,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Heaven and Hell - Black Sabbath lyrics.mp3,,12002378,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ice Cube - It Was A Good Day.mp3,,10537163,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Ice Cube - You Know How We Do It.mp3,,7844527,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000\Kelly Clarkson - mine.mp3,,6151047,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_Country\Kenny Chesney - Til Its Gone.mp3,,5972205,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\Led Zeppelin - Rock and Roll HQ.mp3,,7211106,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Mobb Deep - Quiet Storm ft. Lil Kim ft. Lil Kim.mp3,,8909213,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Nas - It Aint Hard To Tell.mp3,,6479931,true,keep_one,"Hash-identical. Source exists. Recommend keeping READY copy, archiving source."
