track_id,artist,title,primary_genre,subgenre,secondary_genre,target_label_supported,support_type,confidence,benchmark_member,has_features,notes
1921,38 Special,38 Special - Back Where You Belong,Pop,,,Pop,primary,high,no,yes,
1944,Adam Calhoun & Demun Jones,"Adam Calhoun, Demun Jones, & Upchurch - World Went to Waste 2.0",Hip-Hop,,,Hip-Hop,primary,high,no,yes,
1955,Akon featuring Eminem,Akon ft Eminem - Smack That ,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
1968,Animotion,Animotion - Obsession,Pop,,,Pop,primary,high,no,yes,
1972,Avenged Sevenfold,Avenged Sevenfold - Hail To The King,Metal,,,Metal,primary,high,no,yes,
1978,Bad Wolves,Bad Wolves - If Tomorrow Never Comes,Metal,,,Metal,primary,high,no,yes,
1989,Billy Joel,Billy Joel - Pressure,Pop,,,Pop,primary,high,no,yes,
1993,Billy Squier,Billy Squier - Everybody Wants You,Pop,,,Pop,primary,high,no,yes,
2013,Bob Marley & The Wailers,Bob Marley - Three Little Birds,Reggae,,,Other,primary,high,no,yes,
2026,Brandon Hart,Brandon Hart - Crazy,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2028,Brandon Hart,Brandon Hart - Dealing With,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2030,Brandon Hart,Brandon Hart - Opener,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2031,Brandon Hart,Brandon Hart - Slow,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2035,Bryan Adams,Brian Adams - Summer of '69,Pop,,,Pop,primary,high,no,yes,
2047,Bubba Sparxxx,Bubba Sparxxx Ft  Jj Lawhorn  - Past Is Practice,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2065,Carrie Underwood,Carrie Underwood - Before He Cheats,Pop,,,Pop,primary,high,no,yes,
2069,Chamillionaire,Chamillionaire - Good Morning,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2070,Chamillionaire,Chamillionaire - Ridin' Dirty,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2119,Coolio,Coolio - Fantastic Voyage,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2151,Daryle Singletary,Daryle Singletary - Too Much Fun,Pop,,,Pop,primary,high,no,yes,
2160,Dax & Tom MacDonald,Dax - Propaganda Feat. Tom MacDonald,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2176,Demun Jones,Demun Jones - Feeling Good,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2177,Demun Jones,Demun Jones - Jessica,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2178,Demun Jones,Demun Jones - My Town,Country,Country Rap,Hip-Hop,Hip-Hop,secondary,high,no,yes,
2179,Demun Jones,Demun Jones - RedWhiteBlue,Hip-Hop,,,Hip-Hop,primary,high,no,yes,
2180,Demun Jones,Demun Jones - Tannerite,Country,Country Rap,Hip-Hop,Hip-Hop,secondary,high,no,yes,
