track_id,artist,title,target_label,action,notes
1944,Adam Calhoun & Demun Jones,"Adam Calhoun, Demun Jones, & Upchurch - World Went to Waste 2.0",Hip-Hop,approve,"EXAMPLE: Clean primary exemplar, confirmed by listening"
1955,Akon featuring Eminem,Akon ft Eminem - Smack That ,Hip-Hop,skip,"EXAMPLE: Genre is ambiguous, not a clear exemplar"
2026,Brandon Hart,Brandon Hart - Crazy,Hip-Hop,hold,"EXAMPLE: Need to re-listen, possible edge case"
1944,Adam Calhoun & Demun Jones,"Adam Calhoun, Demun Jones, & Upchurch - World Went to Waste 2.0",Hip-Hop,,
1955,Akon featuring Eminem,Akon ft Eminem - Smack That ,Hip-Hop,,
2026,Brandon Hart,Brandon Hart - Crazy,Hip-Hop,,
2028,Brandon Hart,Brandon Hart - Dealing With,Hip-Hop,,
2030,Brandon Hart,Brandon Hart - Opener,Hip-Hop,,
2047,Bubba Sparxxx,Bubba Sparxxx Ft  Jj Lawhorn  - Past Is Practice,Hip-Hop,,
2069,Chamillionaire,Chamillionaire - Good Morning,Hip-Hop,,
2070,Chamillionaire,Chamillionaire - Ridin' Dirty,Hip-Hop,,
2119,Coolio,Coolio - Fantastic Voyage,Hip-Hop,,
2160,Dax & Tom MacDonald,Dax - Propaganda Feat. Tom MacDonald,Hip-Hop,,
2176,Demun Jones,Demun Jones - Feeling Good,Hip-Hop,,
2177,Demun Jones,Demun Jones - Jessica,Hip-Hop,,
2179,Demun Jones,Demun Jones - RedWhiteBlue,Hip-Hop,,
2341,Jelly Roll,Jelly Roll  - Train Tracks,Hip-Hop,,
2181,Demun Jones & Long Cut,Demun Jones - The Leaves,Hip-Hop,,
2335,Jawga Boyz,Jawga Boys - Welcome 2 Jawga,Hip-Hop,,
2216,Eminem,Eminem - Without Me,Hip-Hop,,
1972,Avenged Sevenfold,Avenged Sevenfold - Hail To The King,Metal,,
1978,Bad Wolves,Bad Wolves - If Tomorrow Never Comes,Metal,,
2223,Five Finger Death Punch,Five Finger Death Punch - Blue On Black,Metal,,
2226,Five Finger Death Punch,Five Finger Death Punch - Darkness Settles In,Metal,,
2227,Five Finger Death Punch,Five Finger Death Punch - Gone Away,Metal,,
2319,Iron Maiden,Iron Maiden - Wasted Years ,Metal,,
2376,Judas Priest,Judas Priest - Turbo Lover,Metal,,
2488,Pop Evil,Pop Evil - Boss's Daughter,Metal,,
2013,Bob Marley & The Wailers,Bob Marley - Three Little Birds,Other,,
2297,Television's Greatest Hits Band,Greg Kihn Band - Jeopardy,Other,,
2382,Kapena,Kapena - Don't Say Goodbye ,Other,,
2534,Sammy Johnson,Sammy Johnson - Don't Say Goodbye,Other,,
2550,Shaggy,Shaggy - Angel,Other,,
2551,Shaggy,Shaggy - It Wasn't Me,Other,,
2774,Stick Figure,Stick Figure – ＂Angels Above Me＂ (Official Music Video),Other,,
2835,Stick Figure,Stick Figure – Angels Above Me,Other,,
1921,38 Special,38 Special - Back Where You Belong,Pop,,
1968,Animotion,Animotion - Obsession,Pop,,
1989,Billy Joel,Billy Joel - Pressure,Pop,,
1993,Billy Squier,Billy Squier - Everybody Wants You,Pop,,
2035,Bryan Adams,Brian Adams - Summer of '69,Pop,,
2065,Carrie Underwood,Carrie Underwood - Before He Cheats,Pop,,
2151,Daryle Singletary,Daryle Singletary - Too Much Fun,Pop,,
2213,Elton John,Elton John - Levon,Pop,,
2308,Hootie & The Blowfish,Hootie & The Blowfish - Only Wanna Be With You,Pop,,
2332,Jason Aldean,Jason Aldean - Take a Little Ride,Pop,,
2339,Jd Crutch,Jd Crutch - Bente Uno Yo' Gi Presu,Pop,,
2406,LEN,Len - Steal My Sunshine,Pop,,
2416,The B-52's,Love Shack - The B-52's,Pop,,
2430,Mark Chesnutt,Mark Chestnut - It Sure Is Monday,Pop,,
2518,Robin Thicke,Robin Thick - Blurred Lines,Pop,,
2523,Roxette,Roxette - Joyride,Pop,,
2735,Travis Tritt,Travis Tritt - Where Corn Don't Grow,Pop,,
2740,Uncle Kracker,Uncle Kracker - Good To Be Me,Pop,,
